TradeID,EntryTime,Type,EntryPrice,SL,TP,Risk,WindowType,WindowHigh,WindowLow,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Is_Consolidating,Is_Tight_Range,Consolidation_Score,Trend_Score,EMA_9_Above_21,EMA_21_Above_50,Price_Above_EMA200_1H,ExitTime,ExitPrice,P&L,R_Multiple,Status,EntryHour,EntryDayOfWeek,RangeSize,RangeSizePct,RangeCategory,TradeID_x,ReachedTP,WaitDuration_Min,BestPossibleP&L,WouldHaveWon,TradeID_y,MaxFavorable_Min30,MinAdverse_Min30,WentAgainstFirst,Duration_Minutes,EMA_Pattern,Risk_Range,ATR_Range,RangeSize_Category,ShouldAvoid
30.0,2024-12-05 16:55:00,BUY,2653.25,2647.52,2664.71,5.730000000000018,1630,2651.06,2647.52,2650.7486401438728,2650.04308881374,2648.981670849592,2644.537082630734,1.5267530725919591,0.0575427521941754,1.1104698407156648,0,0,0.0,1.0,1,1,1,2024-12-05 17:20:00,2647.52,-5.730000000000018,-1.0,SL_HIT,16.0,3.0,3.539999999999964,0.1334212757938363,Small (0.1-0.15%),51.0,False,,-1.3400000000001455,False,30.0,2.519999999999982,6.199999999999818,False,,111,5-10,1.0-1.2,3-5,False
39.0,2024-12-11 10:20:00,BUY,2695.59,2686.78,2713.21,8.809999999999945,1000,2695.31,2686.78,2690.112051698105,2688.280271150667,2690.449661662336,2654.700648881033,4.425973155610412,0.1641931137751071,1.1803687692568685,0,0,0.0,0.6666666666666666,1,0,1,2024-12-11 13:05:00,2686.78,-8.809999999999945,-1.0,SL_HIT,10.0,2.0,8.529999999999745,0.3164427824706184,Very Large (>0.3%),62.0,True,365.0,30.559999999999945,True,39.0,5.279999999999745,1.5300000000002,False,,101,5-10,1.0-1.2,7-10,False
48.0,2024-12-16 17:00:00,BUY,2663.07,2657.4,2674.4100000000003,5.670000000000073,1630,2661.9,2657.4,2661.0585260749467,2661.05621835754,2659.8372801664987,2667.8763734155045,1.9077537052272016,0.0716373848688619,1.2145099017635463,0,0,0.0,0.6666666666666666,1,1,0,2024-12-16 18:20:00,2657.4,-5.670000000000073,-1.0,SL_HIT,17.0,0.0,4.5,0.1689779089547026,Medium (0.15-0.2%),72.0,False,,-3.019999999999982,False,48.0,7.210000000000036,4.610000000000127,False,,110,5-10,1.2-1.5,3-5,False
,2024-12-19 03:15:00,BUY,2592.13,2582.92,2610.55,9.210000000000036,300,2590.14,2582.92,2589.3408995049213,2592.5087434385864,2604.0475821431337,2656.5775541853664,2.9820173475908187,0.1150411957575746,0.771700400597332,0,1,0.5,0.0,0,0,0,2024-12-19 05:35:00,2610.55,18.42000000000008,2.0,TP_HIT,3.0,3.0,7.2199999999998,0.2785354129615335,Large (0.2-0.3%),79.0,,,,,,,,,,000,5-10,<0.8,7-10,False
,2024-12-20 18:15:00,BUY,2613.84,2603.2,2635.120000000001,10.640000000000327,1630,2606.2,2603.2,2611.0464994953086,2608.2576966326887,2606.1066219284435,2639.8455781299326,2.946363566379432,0.1127216496181645,1.257136575127774,0,0,0.0,0.6666666666666666,1,1,0,2024-12-26 19:15:00,2635.120000000001,21.28000000000065,2.0,TP_HIT,18.0,4.0,3.0,0.1147736663299972,Small (0.1-0.15%),82.0,,,,,,,,,,110,10-15,1.2-1.5,<3,False
55.0,2024-12-26 19:20:00,BUY,2634.85,2625.95,2652.65,8.900000000000091,1630,2627.23,2625.95,2631.777302059665,2629.323016052156,2627.976203515273,2630.660191157477,1.92030258328911,0.0728809071973398,1.0993653740488831,0,0,0.0,1.0,1,1,1,2024-12-27 13:10:00,2625.95,-8.900000000000091,-1.0,SL_HIT,19.0,3.0,1.2800000000002,0.048579615537894,Very Small (<0.1%),83.0,False,,-3.3299999999999272,False,55.0,1.75,4.889999999999873,False,,111,5-10,1.0-1.2,<3,False
,2024-12-27 13:15:00,SELL,2627.22,2633.9,2613.859999999999,6.680000000000291,1000,2633.9,2631.21,2627.249558863785,2629.171622320629,2631.266554646145,2630.8692406911,1.4591653456910332,0.0555402800561442,0.9161192946510596,0,0,0.0,0.0,0,0,0,2024-12-27 18:30:00,2613.859999999999,13.360000000000582,2.0,TP_HIT,13.0,4.0,2.6900000000000546,0.1023895981303451,Small (0.1-0.15%),84.0,,,,,,,,,,000,5-10,0.8-1.0,<3,False
56.0,2024-12-27 18:35:00,SELL,2614.82,2629.9,2584.6600000000003,15.079999999999927,1630,2629.9,2627.55,2616.305177562689,2619.204931431005,2622.886741625083,2630.49039880453,2.56379886717598,0.0980487707442952,1.0447166142841062,0,0,0.0,0.0,0,0,0,2025-01-02 05:05:00,2629.9,-15.079999999999927,-1.0,SL_HIT,18.0,4.0,2.349999999999909,0.0898723430293446,Very Small (<0.1%),85.0,False,,-12.429999999999836,False,56.0,2.150000000000091,1.4800000000000182,False,,000,15-20,1.0-1.2,<3,False
,2025-01-02 05:10:00,BUY,2629.59,2624.01,2640.75,5.579999999999927,300,2625.29,2624.01,2627.446613066689,2626.191908387483,2625.027902151813,2624.1167021210604,1.6385113799488464,0.0623105267341618,1.4935442728020327,0,0,0.0,1.0,1,1,1,2025-01-02 14:15:00,2640.75,11.159999999999854,2.0,TP_HIT,5.0,3.0,1.2799999999997451,0.0486767899178102,Very Small (<0.1%),86.0,,,,,,,,,,111,5-10,1.2-1.5,<3,False
57.0,2025-01-02 14:20:00,BUY,2645.43,2631.45,2673.39,13.980000000000018,1000,2634.03,2631.45,2639.529792184416,2637.836734562596,2636.1551353649443,2625.120986410197,2.6246290871008795,0.0992137039007223,1.453345930105077,0,0,0.0,1.0,1,1,1,2025-01-06 10:20:00,2631.45,-13.980000000000018,-1.0,SL_HIT,14.0,3.0,2.580000000000382,0.0975266780825945,Very Small (<0.1%),87.0,False,,4.019999999999982,True,57.0,0.3800000000001091,4.799999999999727,False,,111,10-15,1.2-1.5,<3,False
59.0,2025-01-06 17:05:00,BUY,2647.83,2642.05,2659.3899999999994,5.779999999999745,1630,2646.7,2642.05,2645.005768062288,2643.5138021550083,2639.9464511782,2633.3881773836224,3.244582214502203,0.1225374066500569,1.164595581443282,0,1,0.5,1.0,1,1,1,2025-01-06 17:25:00,2642.05,-5.779999999999745,-1.0,SL_HIT,17.0,0.0,4.649999999999636,0.1756155040164828,Medium (0.15-0.2%),89.0,True,1435.0,13.159999999999854,True,59.0,0.7300000000000182,2.2100000000000364,False,,111,5-10,1.0-1.2,3-5,False
,2025-01-07 17:00:00,BUY,2652.86,2647.68,2663.2200000000007,5.180000000000291,1630,2652.05,2647.68,2650.4743556949807,2648.688165419734,2646.13908998382,2634.7647015664616,2.143080246454195,0.0807837671966932,1.2761728733968742,0,0,0.0,1.0,1,1,1,2025-01-07 17:50:00,2663.2200000000007,10.360000000000582,2.0,TP_HIT,17.0,1.0,4.370000000000346,0.16472787859142,Medium (0.15-0.2%),92.0,,,,,,,,,,111,5-10,1.2-1.5,3-5,False
69.0,2025-01-13 18:50:00,BUY,2673.63,2664.59,2691.71,9.039999999999964,1630,2672.4,2664.59,2669.791552268205,2669.67133954599,2672.485031030856,2657.416349756903,3.229641705737762,0.1207961350574971,1.114642476102947,0,0,0.0,0.6666666666666666,1,0,1,2025-01-13 19:25:00,2664.59,-9.039999999999964,-1.0,SL_HIT,18.0,0.0,7.809999999999945,0.2921122219604039,Large (0.2-0.3%),104.0,False,,1.7300000000000182,True,69.0,0.4600000000000364,7.199999999999818,False,,101,5-10,1.0-1.2,7-10,False
87.0,2025-01-23 17:10:00,SELL,2740.78,2745.84,2730.6600000000003,5.059999999999945,1630,2745.84,2742.08,2743.9941804178547,2746.2886496624983,2748.371853780229,2713.15188132746,2.790219619898058,0.1018038521843437,1.2548392435767384,0,0,0.0,0.3333333333333333,0,0,1,2025-01-23 18:20:00,2745.84,-5.059999999999945,-1.0,SL_HIT,17.0,3.0,3.7600000000002174,0.1371872240749063,Small (0.1-0.15%),128.0,False,,0.2400000000002364,True,87.0,0.9400000000000546,4.889999999999873,False,,001,5-10,1.2-1.5,3-5,False
