Model,Trades,WinRate,TotalP&L,AvgP&L,WinRateImprovement,P&LImprovement,P&LImprovementPct,TradesTakenPct,Score
Baseline,545,36.51376146788991,965.9200000000046,1.7723302752293664,0.0,0.0,0.0,100.0,0.7460550458715596
Random Forest ML,151,87.41721854304636,2288.6500000000055,15.156622516556329,50.90345707515645,1322.730000000001,136.9399122080498,27.706422018348626,3.0077894786783865
Deep Learning,46,69.56521739130434,717.2500000000014,15.592391304347856,33.05145592341444,-248.67000000000326,-25.744368063607965,8.440366972477065,2.33481902362964
LSTM,300,39.33333333333333,841.3900000000026,2.804633333333342,2.8195718654434216,-124.53000000000202,-12.892372039092411,55.04587155963303,0.822254893434928
