WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2024-10-30_1630,1630,BREAKOUT,BUY,2024-10-30 16:45:00,2024-10-31 05:15:00,166.377,166.164,166.164,166.80300000000005,0.21300000000002228,-0.21300000000002228,-1.0,SL_HIT,0.056000000000011596,0.42857142857156666,0.49252339097034425,0.1570000000000107,166.2425,0.13450000000000273,1.3808245068273803,1,0.1137001836393664,166.195342267745,166.0589279347767,165.94827254346743,165.86473457814267,165.8342985074627,0.1137001836393664,0.06833888316255636,,0.0,1.0,0,0,1,1,1630,166.321,166.164
2024-10-31_1000,1000,BREAKOUT,SELL,2024-10-31 10:25:00,2024-10-31 10:45:00,165.037,165.334,165.334,164.443,0.29699999999999704,-0.29699999999999704,-1.0,SL_HIT,0.05099999999998772,0.5609756097559496,0.3251275701222181,0.24600000000000932,165.211,-0.1740000000000066,1.5682623970605478,0,0.1568615051034165,165.19733409047672,165.3331077758241,165.58286140236595,166.01090750463857,165.88814097759266,0.1568615051034165,0.09504626544557675,0.9099921285065867,0.0,0.0,0,0,0,0,1000,165.334,165.088
2024-10-31_1630,1630,BREAKOUT,SELL,2024-10-31 16:55:00,2024-10-31 17:25:00,165.792,165.39200000000002,165.992,165.39200000000002,0.19999999999998863,0.39999999999997726,2.0,TP_HIT,0.002999999999985903,0.2400000000000091,0.023386116716414485,0.19700000000000273,165.8935,-0.10149999999998727,1.5356883310517886,0,0.12828123781150175,165.8678957786702,165.95499644595824,165.9507558933788,165.94464141747926,165.88895624195982,0.12828123781150175,0.07737480566704168,1.0772839829087073,0.0,0.3333333333333333,0,0,0,0,1630,165.992,165.795
2024-11-01_1000,1000,BREAKOUT,SELL,2024-11-01 10:15:00,2024-11-01 10:45:00,165.682,165.841,165.901,165.24399999999994,0.2190000000000225,-0.15900000000002024,-0.7260273972602918,FILTER_EXIT,0.056000000000011596,0.9518072289157741,0.5669543271355539,0.16300000000001091,165.8195,-0.13750000000001705,1.650242059340756,1,0.09877338847194736,165.7430797197768,165.7456224638338,165.75038383676105,165.67294344181727,165.8360150653042,0.09877338847194736,0.05961624586373135,1.1462509475134235,0.0,0.0,0,0,1,0,1000,165.901,165.738
2024-11-01_1630,1630,BREAKOUT,BUY,2024-11-01 17:00:00,2024-11-01 19:45:00,166.04,165.799,165.807,166.506,0.2330000000000041,-0.24099999999998545,-1.0343347639484173,FILTER_EXIT,0.05299999999999727,0.8777777777775146,0.4711658353390418,0.18000000000000682,165.897,0.14300000000000068,1.6001858558685869,1,0.11248693352704467,165.9292703281553,165.84595334768676,165.80147125431512,165.74717379918923,165.8340538110369,0.11248693352704467,0.06774688841667349,0.7928809293555764,0.0,1.0,0,0,1,1,1630,165.987,165.807
2024-11-04_0300,0300,BREAKOUT,SELL,2024-11-04 03:45:00,2024-11-04 04:40:00,165.252,165.446,165.446,164.86400000000003,0.1939999999999884,-0.1939999999999884,-1.0,SL_HIT,0.031999999999982265,0.6037735849056249,0.38049513485077474,0.16200000000000614,165.365,-0.11299999999999955,1.9262566201831877,0,0.08410094392542562,165.32916168029396,165.39319280569148,165.52041482422177,165.69291479972827,165.81866184481123,0.08410094392542562,0.05089254225390653,1.021927319565552,0.5,0.0,0,1,0,0,0300,165.446,165.284
2024-11-04_1000,1000,BREAKOUT,SELL,2024-11-04 10:30:00,2024-11-05 06:00:00,165.6,165.775,165.799,165.20199999999997,0.19900000000001228,-0.17500000000001137,-0.879396984924626,FILTER_EXIT,0.0020000000000095497,0.14285714285736037,0.02120603633991496,0.19700000000000273,165.7005,-0.10050000000001091,2.0887945794716787,0,0.09431276868299332,165.68410809841504,165.6817815328994,165.6132180310476,165.60301267433235,165.8003381579584,0.09431276868299332,0.05695215500180756,1.2161134823370285,0.0,0.6666666666666666,0,0,0,0,1000,165.799,165.602
2024-11-05_1000,1000,BREAKOUT,SELL,2024-11-05 10:55:00,2024-11-05 11:00:00,165.754,165.856,165.889,165.48399999999995,0.13500000000001933,-0.10200000000000387,-0.755555555555476,FILTER_EXIT,0.016999999999995907,0.39285714285741474,0.24824205012387215,0.11800000000002342,165.82999999999998,-0.0759999999999934,1.7230918773311634,1,0.0684815485189272,165.79015597600954,165.78963293936903,165.77107653252722,165.66520002405684,165.75580546405894,0.0684815485189272,0.041315170987684884,1.0837207309759063,0.0,0.6666666666666666,0,0,1,0,1000,165.889,165.771
2024-11-05_1630,1630,BREAKOUT,SELL,2024-11-05 16:55:00,2024-11-05 17:00:00,165.516,165.652,165.652,165.244,0.13599999999999568,-0.13599999999999568,-1.0,SL_HIT,0.04400000000001114,0.567307692307595,0.58154554418322,0.09199999999998454,165.606,-0.09000000000000341,1.215958865109857,0,0.0756604541812956,165.5955697137959,165.65808229911156,165.72743919410485,165.71623799771703,165.7552896958879,0.0756604541812956,0.045711867240203735,1.158911609215443,0.0,0.0,0,0,0,0,1630,165.652,165.56
2024-11-06_0300,0300,BREAKOUT,BUY,2024-11-06 03:20:00,2024-11-06 03:25:00,165.872,165.737,165.598,166.42000000000002,0.2740000000000009,-0.13500000000001933,-0.4927007299270762,FILTER_EXIT,0.007000000000005002,0.5360000000000582,0.038910988611217785,0.2669999999999959,165.7315,0.14050000000000296,1.4841762798839377,1,0.17989776795305962,165.73347950729175,165.6822939367064,165.65402120474434,165.67173990764962,165.74718459115667,0.17989776795305962,0.10845577792096292,1.1388902360193613,0.0,1.0,0,0,1,1,0300,165.865,165.598
