Model,Trades,WinRate,TotalP&L,AvgP&L,Threshold
Baseline,530,36.79245283018868,990.0300000000057,1.8679811320754824,
Deep LSTM,530,36.79245283018868,990.0300000000057,1.8679811320754824,0.3
