WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,Market
2025-10-07_1630,1630,REVERSAL,BUY,2025-10-07 19:00:00,2025-10-08 05:25:00,24819.885000000002,24889.195000000007,24785.23,24889.195000000007,34.655000000002474,69.31000000000495,2.0,TP_HIT,0.0,0.44781931464176483,0.0,45.13000000000102,25032.415,-212.52999999999884,1.0855178636896436,0,41.574626737698686,24841.52321731477,24891.243230319586,24942.586967469186,24962.79854890741,24753.04883561047,42.07771507531877,0.1693542177660884,1.2708485306190471,0.0,0.3333333333333333,0,0,0,1,1630,25054.98,25009.85,reversal_only,UT100
2025-10-09_0300,0300,REVERSAL,BUY,2025-10-09 03:25:00,2025-10-09 04:05:00,25164.695,25159.35,25159.35,25175.385000000002,5.345000000001164,-5.345000000001164,-1.0,SL_HIT,0.0,0.40165441176457467,0.0,13.75,25173.355,-8.659999999999854,1.8110075718681207,1,7.592458592437784,25171.594550935515,25172.02143228436,25151.459247737886,25040.951646810245,24806.45489683741,7.169357787208806,0.02848617497008607,1.0025771476536236,0.5,0.6666666666666666,0,1,1,1,0300,25180.23,25166.48,reversal_only,UT100
2025-10-09_1000,1000,REVERSAL,BUY,2025-10-09 10:40:00,2025-10-09 10:45:00,25133.7275,25144.982500000006,25128.1,25144.982500000006,5.627500000002328,11.255000000004657,2.0,TP_HIT,0.0,0.39369442198863236,0.0,15.880000000001019,25142.29,-8.5625,1.495248026453255,1,10.620311626605892,25139.483607805247,25143.614284681287,25143.882600880122,25099.23730071903,24828.70687053116,9.79872295509521,0.038978405754818576,1.0333053127880765,0.0,0.3333333333333333,0,0,1,1,1000,25150.23,25134.35,reversal_only,UT100
2025-10-09_1630,1630,REVERSAL,BUY,2025-10-09 17:50:00,2025-10-09 20:15:00,25028.1325,24995.23,24995.23,25093.9375,32.902500000000146,-32.902500000000146,-1.0,SL_HIT,0.0,0.7584376185059072,0.0,74.88000000000102,25096.04,-67.90750000000116,2.8844023319271304,0,25.960317384007972,25042.04250383423,25065.56494826985,25091.27596105618,25102.89549270793,24847.14321924321,26.362630824639492,0.10528165152950465,1.1526808070004373,0.0,0.3333333333333333,0,0,0,1,1630,25133.48,25058.6,reversal_only,UT100
2025-10-13_0300,0300,REVERSAL,SELL,2025-10-13 05:55:00,2025-10-13 06:00:00,24650.195,24622.885000000002,24663.85,24622.885000000002,13.654999999998836,27.30999999999767,2.0,TP_HIT,0.0,0.5980487804879042,0.0,37.25,24600.975,49.220000000001164,3.1043163728775096,0,11.99942129785939,24657.91067795205,24655.8433218548,24615.76744620688,24699.41003171526,24855.82419983853,12.99539460124766,0.05275661528887647,0.9236569835870695,0.5,0.6666666666666666,0,1,0,0,0300,24619.6,24582.35,reversal_only,UT100
2025-10-13_1000,1000,REVERSAL,SELL,2025-10-13 10:35:00,2025-10-13 10:50:00,24754.760000000002,24722.08000000001,24771.1,24722.08000000001,16.339999999996508,32.679999999993015,2.0,TP_HIT,0.0,0.6666666666666666,0.0,62.5,24690.48,64.28000000000247,2.944363219199197,1,21.22700066094381,24725.623738524784,24694.68622652146,24665.116661898537,24681.13803611473,24846.451857065374,21.941723375352453,0.08866471237895916,1.217825062044351,0.0,0.6666666666666666,0,0,1,0,1000,24721.73,24659.23,reversal_only,UT100
2025-10-13_1630,1630,REVERSAL,SELL,2025-10-13 17:10:00,2025-10-13 17:15:00,24722.6025,24697.107500000006,24735.35,24697.107500000006,12.747499999997672,25.494999999995343,2.0,TP_HIT,0.0,0.8467594287806822,0.0,115.5,24609.23,113.37250000000131,2.3711952802176293,1,48.70961112464738,24687.296264537916,24667.32876287779,24659.11920121181,24671.061891974798,24833.36336280307,44.183115745437256,0.1788185603062821,1.2573470482850966,0.0,0.6666666666666666,0,0,1,0,1630,24666.98,24551.48,reversal_only,UT100
2025-10-14_0300,0300,REVERSAL,SELL,2025-10-14 03:45:00,2025-10-14 03:55:00,24839.7875,24829.98,24856.48,24806.402499999997,16.69250000000102,9.807499999998981,0.5875393140631051,FILTER_EXIT,0.0,0.8532591906085836,0.0,46.0,24750.6,89.1875,2.991585459116494,1,15.376461955923933,24812.534412363224,24784.214792500934,24759.449477103288,24717.529141585524,24826.00285374626,19.315831884291832,0.07781864136192604,1.4634445900806454,0.0,0.6666666666666666,0,0,1,0,0300,24773.6,24727.6,reversal_only,UT100
2025-10-14_1000,1000,REVERSAL,SELL,2025-10-14 10:35:00,2025-10-14 10:55:00,24507.7875,24441.6625,24540.85,24441.6625,33.0625,66.125,2.0,TP_HIT,0.0,0.6607253886010573,0.0,70.75,24487.975,19.8125,2.004888028189158,0,35.28875378836112,24506.987603831127,24524.850771549398,24582.237469562668,24676.15205067865,24813.243715740115,41.82190808788853,0.17087184006883807,1.3014327263867902,0.0,0.0,0,0,0,0,1000,24523.35,24452.6,reversal_only,UT100
2025-10-14_1630,1630,REVERSAL,SELL,2025-10-14 17:45:00,2025-10-14 17:50:00,24549.32,24520.760000000002,24563.6,24520.760000000002,14.279999999998836,28.55999999999767,2.0,TP_HIT,0.0,0.846713246827323,0.0,209.11999999999898,24358.79,190.52999999999884,3.8996245059484687,0,53.62567592879989,24509.429369275767,24470.468983786086,24456.32022447963,24545.531808353164,24789.115010437898,44.493716454494276,0.1812659300438533,0.9848069801342433,0.0,0.6666666666666666,0,0,1,0,1630,24463.35,24254.23,reversal_only,UT100
