Model,Trades,WinRate,TotalP&L,AvgP&L,TradesTaken,TradesTakenPct,P&LImprovement,P&LImprovementPct,WinRateImprovement,Score
Baseline (No Filter),545,36.51376146788991,965.9200000000046,1.7723302752293664,545,100.0,0.0,0.0,0.0,0.7460550458715596
Random Forest ML,151,87.41721854304636,2288.6500000000055,15.156622516556329,151,27.706422018348626,1322.730000000001,136.9399122080498,50.90345707515645,3.0077894786783865
Deep Learning,46,69.56521739130434,717.2500000000014,15.592391304347856,46,8.440366972477065,-248.67000000000326,-25.744368063607965,33.05145592341444,2.33481902362964
