WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,RSI_14,RSI_21,StochK_14,StochD_14,ATR14,CandleBody,CandleRange,BodyPct,UpperWickPct,LowerWickPct,CandleLabel,RSI_Diff,WinFlag
2025-07-01_0300,300,BREAKOUT,BUY,2025-07-01 03:35:00,2025-07-01 05:50:00,22687.03,22670.4,22670.4,22720.29,16.62999999999738,-16.62999999999738,-1.0,SL_HIT,0.25,0.6129999999997381,0.0276791872820218,16.37999999999738,22678.59,8.43999999999869,1.8135403507177816,0,9.03205709953701,22679.80633546568,22671.877525438584,22675.14374133736,23384.770723465062,22648.52179660529,9.03205709953701,0.0398115447440101,0.9781984627520972,0.5,0.6666666666666666,0,1,0,1,300,22686.78,22670.4,baseline_breakout,62.49171017056696,32.12321061010938,96.05581395348352,89.77364341084949,9.03205709953701,6.129999999997381,10.0,0.6129999999997381,0.15,0.2370000000002619,bullish_full,30.36849956045758,0
2025-07-03_0300,300,BREAKOUT,BUY,2025-07-03 04:20:00,2025-07-03 05:10:00,22651.78,22631.28,22631.28,22692.78,20.5,-20.5,-1.0,SL_HIT,5.25,0.8,0.7908121203707499,15.25,22638.905,12.875,2.29712092107694,1,6.638744987290643,22643.199911640066,22641.078113492345,22635.57428989948,22593.97066153266,22617.71260816061,6.638744987290643,0.0293078291740898,1.1483505308224442,0.5,1.0,0,1,1,1,300,22646.53,22631.28,baseline_breakout,64.33778157213004,61.24934827714607,100.0,63.08889128167383,6.638744987290643,9.0,11.25,0.8,0.0,0.2,bullish_full,3.088433294983972,0
2025-07-03_1000,1000,BREAKOUT,BUY,2025-07-03 10:35:00,2025-07-03 11:40:00,22693.03,22670.53,22670.53,22738.03,22.5,-22.5,-1.0,SL_HIT,5.379999999997381,0.8333333333333334,0.5795897210459189,17.12000000000262,22679.09,13.93999999999869,1.844344985931688,1,9.282428249915672,22681.45360584857,22675.15058470055,22665.819428551466,22629.02635484824,22620.321703866462,9.282428249915672,0.0409043140114637,1.1171129424432766,0.0,1.0,0,0,1,1,1000,22687.65,22670.53,baseline_breakout,67.84793734147065,64.9089880664762,94.5945945945946,77.2493766493688,9.282428249915672,12.5,15.0,0.8333333333333334,0.1,0.0666666666666666,bullish_full,2.938949274994457,0
2025-07-08_1000,1000,BREAKOUT,BUY,2025-07-08 11:00:00,2025-07-08 12:50:00,22754.78,22728.65,22728.65,22807.04,26.12999999999738,-26.12999999999738,-1.0,SL_HIT,2.6299999999973807,0.8009075439594281,0.2223861605713518,23.5,22740.4,14.37999999999738,1.9871006743087347,1,11.826275489627667,22754.67550417441,22747.496679076325,22737.235579335585,22717.24770951496,22678.1271192504,11.826275489627667,0.0519727085457546,1.1840313172688388,0.0,1.0,0,0,1,1,1000,22752.15,22728.65,baseline_breakout,57.07895805749003,57.47671672285994,58.13953488372093,77.72859881637073,11.826275489627667,14.12000000000262,17.62999999999738,0.8009075439594281,0.021554169029917,0.1775382870106548,bearish_full,-0.3977586653699134,0
2025-07-22_0300,300,BREAKOUT,BUY,2025-07-22 03:20:00,2025-07-22 03:50:00,23201.65,23188.15,23188.15,23228.65,13.5,-13.5,-1.0,SL_HIT,2.87000000000262,0.6730434782613252,0.5135480648326191,10.62999999999738,23193.465,8.18500000000131,1.9020961425659968,1,5.588571346166089,23194.5273917889,23191.85989119601,23182.18650221649,23037.936406213623,22813.856889848583,5.588571346166089,0.0240869565145844,1.070014916628608,0.5,1.0,0,1,1,1,300,23198.78,23188.15,baseline_breakout,62.94573785032886,60.062970697116064,94.84536082474226,94.55600452727322,5.588571346166089,3.8700000000026193,5.75,0.6730434782613252,0.217391304347826,0.1095652173908488,bullish_full,2.8827671532127965,0
2025-07-25_0300,300,BREAKOUT,BUY,2025-07-25 04:35:00,2025-07-25 07:40:00,23276.4,23256.15,23256.15,23316.9,20.25,-20.25,-1.0,SL_HIT,0.8700000000026193,0.6,0.1499803685597933,19.37999999999738,23265.84,10.56000000000131,3.3409420030800594,1,5.800759181730991,23271.68554563423,23268.210201731592,23261.20450337921,23238.94755281529,22993.01468543137,5.800759181730991,0.0249212042314575,0.8648986386339524,0.5,1.0,0,1,1,1,300,23275.53,23256.15,baseline_breakout,61.69892249732045,59.67217289464988,91.4869466515336,79.96575244888574,5.800759181730991,2.25,3.75,0.6,0.4,0.0,normal,2.02674960267057,0
2025-07-28_0300,300,BREAKOUT,BUY,2025-07-28 03:15:00,2025-07-28 08:45:00,23397.65,23429.15,23381.9,23429.15,15.75,31.5,2.0,TP_HIT,4.870000000002619,0.6020512820515507,0.5095456735581425,10.87999999999738,23387.34,10.31000000000131,1.138368979118742,1,9.55753380456663,23392.19366334178,23382.596621557088,23355.370025081786,23296.643067525267,23051.62387109517,9.55753380456663,0.0408482638408841,0.8497744377756989,0.5,1.0,0,1,1,1,300,23392.78,23381.9,baseline_breakout,63.97527396061237,64.4196583472656,65.26946107784431,50.10830104496472,9.55753380456663,5.870000000002619,9.75,0.6020512820515507,0.3846153846153846,0.0133333333330646,bullish_full,-0.4443843866532262,1
2025-07-29_0300,300,BREAKOUT,BUY,2025-07-29 03:25:00,2025-07-29 10:25:00,23393.28,23422.28,23378.78,23422.28,14.5,29.0,2.0,TP_HIT,2.3799999999973807,0.5974193548383717,0.3815511576545208,12.12000000000262,23384.84,8.43999999999869,1.9430252230163363,1,6.237695659548685,23388.05976996996,23385.160172004413,23373.337721795288,23360.38895860817,23118.509844659733,6.237695659548685,0.0266644765486015,1.2019809011548717,0.5,1.0,0,1,1,1,300,23390.9,23378.78,baseline_breakout,65.21270062610753,64.3092443361286,84.05797101449275,66.66305341469618,6.237695659548685,4.629999999997381,7.75,0.5974193548383717,0.3548387096774194,0.0477419354842089,normal,0.9034562899789336,1
2025-07-30_0300,300,BREAKOUT,BUY,2025-07-30 05:05:00,2025-07-30 11:30:00,23356.4,23334.28,23334.28,23400.640000000007,22.12000000000262,-22.12000000000262,-1.0,SL_HIT,4.870000000002619,1.0,0.8751369943969877,17.25,23342.905,13.49500000000262,3.0998178959630223,0,5.564843025929087,23348.66887673233,23345.396344872766,23341.227233752536,23363.184735802333,23178.002910978368,5.564843025929087,0.0238257737747644,0.932349959801714,0.0,1.0,0,0,0,1,300,23351.53,23334.28,baseline_breakout,67.43367842776078,62.06601319893634,100.0,88.26366559486108,5.564843025929087,5.620000000002619,5.620000000002619,1.0,0.0,0.0,marubozu,5.367665228824443,0
2025-07-31_0300,300,BREAKOUT,BUY,2025-07-31 03:15:00,2025-07-31 05:55:00,23603.28,23653.78,23578.03,23653.78,25.25,50.5,2.0,TP_HIT,11.87999999999738,0.9119999999998768,1.1804951909925858,13.37000000000262,23584.715,18.56499999999869,1.3285539312775627,1,10.063573397540416,23592.727561291205,23582.79643138645,23532.135539482977,23429.38909244001,23221.44903846431,10.063573397540416,0.0426363344312333,0.8929788056377684,0.5,1.0,0,1,1,1,300,23591.4,23578.03,baseline_breakout,64.8599409063578,64.58635209599741,92.6605504587156,42.81345565749234,10.063573397540416,19.37999999999738,21.25,0.9119999999998768,0.0880000000001232,0.0,marubozu,0.273588810360394,1
