WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode
2025-07-07_1630,1630,REVERSAL,BUY,2025-07-07 17:05:00,2025-07-07 17:15:00,20445.065,20455.074999999993,20440.06,20455.074999999993,5.004999999997381,10.009999999994761,2.0,TP_HIT,0.0,1.0,0.0,10.479999999999563,20468.97,-23.905000000002474,0.7096184517859628,1,14.768499851749306,20462.351233381174,20487.79650451958,20508.07897385751,20412.748450873467,19883.232957695895,13.116964199790477,0.06414768826490949,0.6741011251885489,1.0,0.3333333333333333,1,1,1,1,1630,20474.21,20463.73,reversal_only
2025-07-08_1630,1630,REVERSAL,BUY,2025-07-08 17:30:00,2025-07-08 17:45:00,20395.455,20418.02500000001,20384.17,20418.02500000001,11.285000000003492,22.570000000006985,2.0,TP_HIT,0.0,0.7969034608379187,0.0,39.20000000000073,20444.239999999998,-48.78499999999622,1.6892899008920221,0,23.205016486099478,20411.7489636645,20416.389542968413,20417.847156903095,20414.01008824352,19920.245551418902,20.193063473243125,0.09894714198472421,1.029833113952818,0.0,0.3333333333333333,0,0,0,1,1630,20463.84,20424.64,reversal_only
2025-07-09_1630,1630,REVERSAL,BUY,2025-07-09 17:05:00,2025-07-09 17:15:00,20506.385,20494.6,20494.6,20529.954999999998,11.784999999999854,-11.784999999999854,-1.0,SL_HIT,0.0,0.05426356589126154,0.0,48.0,20556.3,-49.91500000000087,2.3068298808892926,1,20.807776246376605,20529.65304349029,20533.794475796723,20502.02703056085,20447.621013902703,19959.50089915689,18.892606367856857,0.09213613378065388,0.9006519661840651,0.0,0.6666666666666666,0,0,1,1,1630,20580.3,20532.3,reversal_only
2025-07-11_1630,1630,REVERSAL,BUY,2025-07-11 17:20:00,2025-07-11 17:35:00,20574.454999999998,20607.944999999996,20557.71,20607.944999999996,16.74499999999898,33.48999999999796,2.0,TP_HIT,0.0,0.85600245624812,0.0,27.770000000000437,20621.565000000002,-47.11000000000422,1.4496335791525843,1,19.156565079179533,20590.32592300039,20598.54266074558,20605.933424129442,20565.843832392595,20044.67026782848,19.511089227612473,0.09477015138874709,0.9417828490372396,0.0,0.3333333333333333,0,0,1,1,1630,20635.45,20607.68,reversal_only
2025-07-15_1630,1630,REVERSAL,BUY,2025-07-15 17:05:00,2025-07-15 17:10:00,20736.065,20755.214999999993,20726.49,20755.214999999993,9.57499999999709,19.14999999999418,2.0,TP_HIT,0.0,0.21412300683344304,0.0,10.720000000001164,20777.57,-41.50500000000102,0.60400489150264,1,17.748200636806114,20754.666919707975,20748.467880972283,20713.25179314643,20641.432516619203,20129.111733365702,17.250357570093364,0.08314968112200752,0.7254264428185498,0.0,1.0,0,0,1,1,1630,20782.93,20772.21,reversal_only
2025-07-16_1630,1630,REVERSAL,BUY,2025-07-16 17:25:00,2025-07-16 17:30:00,20596.315,20579.28,20579.28,20630.385,17.034999999999854,-17.034999999999854,-1.0,SL_HIT,0.0,1.0,0.0,28.840000000000146,20678.120000000003,-81.80500000000393,1.140869586473455,0,25.278962943650328,20647.291834905962,20666.270230104317,20693.691806454415,20685.850234375634,20168.2804974418,29.679754388786225,0.1439446913592033,1.4500608553180556,0.0,0.3333333333333333,0,0,0,1,1630,20692.54,20663.7,reversal_only
2025-07-21_1630,1630,REVERSAL,BUY,2025-07-21 17:00:00,2025-07-21 17:05:00,21050.42,21048.7,21048.7,21053.859999999993,1.7199999999975262,-1.7199999999975262,-1.0,SL_HIT,0.0,0.7043189368771126,0.0,16.959999999999127,21064.84,-14.420000000001892,1.408391257824998,1,12.042108260591405,21051.454027464035,21022.789428725922,20969.610382717132,20877.073614010988,20311.185140588488,9.691505732894797,0.04603791401745842,0.663862284844334,0.5,1.0,1,0,1,1,1630,21073.32,21056.36,reversal_only
2025-07-28_1630,1630,REVERSAL,BUY,2025-07-28 17:25:00,2025-07-28 18:20:00,21143.095,21179.245000000003,21125.02,21179.245000000003,18.075000000000728,36.150000000001455,2.0,TP_HIT,0.0,0.6433070866139988,0.0,17.17000000000189,21185.184999999998,-42.08999999999651,1.2400070582261078,1,13.846695376528288,21162.568567224393,21166.252642982654,21156.783987355702,21095.293707430887,20532.96717431351,15.356149952484257,0.07258638197328594,0.9563516331481277,0.0,0.6666666666666666,0,0,1,1,1630,21193.77,21176.6,reversal_only
2025-07-29_1630,1630,REVERSAL,BUY,2025-07-29 18:45:00,2025-07-29 18:55:00,21122.145,21156.855,21104.79,21156.855,17.354999999999563,34.70999999999913,2.0,TP_HIT,0.0,0.489843750000062,0.0,20.93000000000029,21216.315,-94.16999999999825,0.9207604837709503,1,22.73121009090445,21126.73772270681,21138.57588679688,21155.113142596318,21136.48696364488,20583.261876023567,17.470551172381,0.0826878387509324,0.8669198392275755,0.5,0.3333333333333333,0,1,0,1,1630,21226.78,21205.85,reversal_only
2025-07-30_1630,1630,REVERSAL,BUY,2025-07-30 17:20:00,2025-07-30 17:50:00,21148.427499999998,21167.362499999996,21138.96,21167.362499999996,9.467499999998836,18.93499999999767,2.0,TP_HIT,0.0,1.0,0.0,16.450000000000728,21179.735,-31.30750000000262,1.0890375937578023,1,15.105080021378162,21162.597665656205,21159.337075853902,21151.857749749593,21141.22697715159,20616.986731996294,16.719946905768055,0.07901455916762272,0.9897857138556269,0.0,1.0,0,0,1,1,1630,21187.96,21171.51,reversal_only
