WindowID,EntryTime,best_strategy,best_result,strategy_votes,baseline_breakout_result,pullback_only_result,pullback_ema_result,pullback_ema_reversal_result,reversal_only_result,reversal_failed_move_result
2025-07-03_1630,2025-07-03 16:50:00,NONE,SKIP,"{'baseline_breakout': {'win': 0.0, 'loss': 1.0, 'taken': 1.0}, 'pullback_only': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema_reversal': {'win': nan, 'loss': nan, 'taken': nan}, 'reversal_only': {'win': nan, 'loss': nan, 'taken': nan}, 'reversal_failed_move': {'win': nan, 'loss': nan, 'taken': nan}}",LOSS,,,,,
2025-07-04_0300,2025-07-04 04:15:00,NONE,SKIP,"{'baseline_breakout': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_only': {'win': 0.0, 'loss': 1.0, 'taken': 1.0}, 'pullback_ema': {'win': 0.0, 'loss': 1.0, 'taken': 1.0}, 'pullback_ema_reversal': {'win': 0.0, 'loss': 1.0, 'taken': 1.0}, 'reversal_only': {'win': nan, 'loss': nan, 'taken': nan}, 'reversal_failed_move': {'win': nan, 'loss': nan, 'taken': nan}}",,LOSS,LOSS,LOSS,,
2025-07-04_0300,2025-07-04 05:25:00,NONE,SKIP,"{'baseline_breakout': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_only': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema_reversal': {'win': nan, 'loss': nan, 'taken': nan}, 'reversal_only': {'win': 0.0, 'loss': 1.0, 'taken': 1.0}, 'reversal_failed_move': {'win': nan, 'loss': nan, 'taken': nan}}",,,,,LOSS,
2025-07-04_1000,2025-07-04 10:25:00,pullback_only,WIN,"{'baseline_breakout': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_only': {'win': 1.0, 'loss': 0.0, 'taken': 1.0}, 'pullback_ema': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema_reversal': {'win': nan, 'loss': nan, 'taken': nan}, 'reversal_only': {'win': nan, 'loss': nan, 'taken': nan}, 'reversal_failed_move': {'win': nan, 'loss': nan, 'taken': nan}}",,WIN,,,,
2025-07-04_1000,2025-07-04 11:20:00,NONE,SKIP,"{'baseline_breakout': {'win': 0.0, 'loss': 1.0, 'taken': 1.0}, 'pullback_only': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema_reversal': {'win': nan, 'loss': nan, 'taken': nan}, 'reversal_only': {'win': nan, 'loss': nan, 'taken': nan}, 'reversal_failed_move': {'win': nan, 'loss': nan, 'taken': nan}}",LOSS,,,,,
2025-07-04_1000,2025-07-04 12:05:00,NONE,SKIP,"{'baseline_breakout': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_only': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema_reversal': {'win': 0.0, 'loss': 1.0, 'taken': 1.0}, 'reversal_only': {'win': 0.0, 'loss': 1.0, 'taken': 1.0}, 'reversal_failed_move': {'win': nan, 'loss': nan, 'taken': nan}}",,,,LOSS,LOSS,
2025-07-04_1630,2025-07-04 16:55:00,pullback_only,WIN,"{'baseline_breakout': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_only': {'win': 1.0, 'loss': 0.0, 'taken': 1.0}, 'pullback_ema': {'win': 1.0, 'loss': 0.0, 'taken': 1.0}, 'pullback_ema_reversal': {'win': 1.0, 'loss': 0.0, 'taken': 1.0}, 'reversal_only': {'win': nan, 'loss': nan, 'taken': nan}, 'reversal_failed_move': {'win': nan, 'loss': nan, 'taken': nan}}",,WIN,WIN,WIN,,
2025-07-07_0300,2025-07-07 03:40:00,NONE,SKIP,"{'baseline_breakout': {'win': 0.0, 'loss': 1.0, 'taken': 1.0}, 'pullback_only': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema_reversal': {'win': nan, 'loss': nan, 'taken': nan}, 'reversal_only': {'win': nan, 'loss': nan, 'taken': nan}, 'reversal_failed_move': {'win': nan, 'loss': nan, 'taken': nan}}",LOSS,,,,,
2025-07-07_0300,2025-07-07 05:05:00,pullback_ema_reversal,WIN,"{'baseline_breakout': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_only': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema_reversal': {'win': 1.0, 'loss': 0.0, 'taken': 1.0}, 'reversal_only': {'win': 1.0, 'loss': 0.0, 'taken': 1.0}, 'reversal_failed_move': {'win': nan, 'loss': nan, 'taken': nan}}",,,,WIN,WIN,
2025-07-07_1000,2025-07-07 11:20:00,NONE,SKIP,"{'baseline_breakout': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_only': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema': {'win': nan, 'loss': nan, 'taken': nan}, 'pullback_ema_reversal': {'win': nan, 'loss': nan, 'taken': nan}, 'reversal_only': {'win': 0.0, 'loss': 1.0, 'taken': 1.0}, 'reversal_failed_move': {'win': nan, 'loss': nan, 'taken': nan}}",,,,,LOSS,
