WindowID,EntryTime,Loss_baseline_breakout,Loss_pullback_ema,Loss_pullback_ema_reversal,Loss_pullback_only,Loss_reversal_failed_move,Loss_reversal_only,R_Multiple_baseline_breakout,R_Multiple_pullback_ema,R_Multiple_pullback_ema_reversal,R_Multiple_pullback_only,R_Multiple_reversal_failed_move,R_Multiple_reversal_only,TradeTaken_baseline_breakout,TradeTaken_pullback_ema,TradeTaken_pullback_ema_reversal,TradeTaken_pullback_only,TradeTaken_reversal_failed_move,TradeTaken_reversal_only,Win_baseline_breakout,Win_pullback_ema,Win_pullback_ema_reversal,Win_pullback_only,Win_reversal_failed_move,Win_reversal_only,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,RangeHigh,RangeLow,RangeWidth,RangeMid,EntryOffset,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeAtrRatio,ATR_Value,PriceAboveEMA200_5M,Price_Above_EMA200_5M,Price_Above_EMA200_1H,Market,BestMode,BestResult,BestRR,TargetWin
2025-07-02_0300,2025-07-02 04:30:00,0.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,22500.83877720604,22501.574134172497,22500.654675415208,22576.93203519756,22630.361822583072,6.671293685029,0.0296567450011358,0.9568657746182077,0.5,0.3333333333333333,0,1,22508.28,22496.15,12.12999999999738,22502.215,-7.18500000000131,1.1200000000026191,0.6479663394115451,0.167883480008683,1.8182380468751087,6.671293685029,0,0,0,UT100,baseline_breakout,WIN,2.0,1
2025-07-02_0300,2025-07-02 04:35:00,,0.0,0.0,0.0,,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,22500.327021764828,22501.274667429545,22500.56155088912,22576.149427882166,22630.361822583072,6.3151211936918,0.0280693510512439,0.9129033343107904,0.5,0.3333333333333333,0,1,22508.28,22496.15,12.12999999999738,22502.215,-6.06499999999869,1.1200000000026191,0.6479663394115451,0.167883480008683,1.8182380468751087,6.671293685029,0,0,0,UT100,pullback_only,WIN,2.0,1
2025-07-02_1000,2025-07-02 10:15:00,0.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,22554.363700361995,22554.269614931964,22545.76653284921,22558.373901882347,22625.235236220444,10.707120520625118,0.0475016360335143,1.193290361403334,0.5,0.6666666666666666,0,1,22566.15,22548.4,17.75,22557.275,-16.74500000000262,7.870000000002619,0.8659558263522382,0.7350248822587403,1.657775306237395,10.707120520625118,0,0,0,UT100,baseline_breakout,WIN,2.0,1
2025-07-02_1630,2025-07-02 16:45:00,0.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,22463.392799400783,22451.00071254205,22461.799719148345,22511.95348907304,22616.311820917177,27.10930130726392,0.120486319082591,1.1658080481389868,0.0,0.3333333333333333,0,0,22496.03,22441.15,54.87999999999738,22468.59,31.31000000000131,3.8700000000026193,0.4811940298508244,0.1427554312868128,2.024397433853905,27.10930130726392,0,0,0,UT100,baseline_breakout,WIN,2.0,1
2025-07-02_1630,2025-07-02 16:50:00,,,,0.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,22473.74423952063,22456.832465947315,22463.89188702488,22511.98529515192,22616.311820917177,26.51072779962908,0.1177461744631018,1.1139100101802348,0.0,0.3333333333333333,0,0,22496.03,22441.15,54.87999999999738,22468.59,27.43999999999869,3.8700000000026193,0.4811940298508244,0.1427554312868128,2.024397433853905,27.10930130726392,0,1,0,UT100,pullback_only,WIN,2.0,1
2025-07-02_1630,2025-07-02 17:40:00,,,1.0,,1.0,1.0,,,-1.0,,-1.0,-1.0,,,1.0,,1.0,1.0,,,0.0,,0.0,0.0,22559.056045314013,22521.316301341853,22494.853304588232,22516.12663028204,22616.17667842049,23.43156275764942,0.1038148079649375,0.9746859026823808,0.0,0.6666666666666666,0,0,22496.03,22441.15,54.87999999999738,22468.59,118.55750000000262,0.0,0.4811940298508244,0.0,2.024397433853905,27.10930130726392,0,1,0,UT100,pullback_ema_reversal,LOSS,-1.0,0
2025-07-03_0300,2025-07-03 04:20:00,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,,,,22643.199911640066,22641.078113492345,22635.57428989948,22593.97066153266,22617.71260816061,6.638744987290643,0.0293078291740898,1.1483505308224442,0.5,1.0,0,1,22646.53,22631.28,15.25,22638.905,12.875,5.25,0.8,0.7908121203707499,2.29712092107694,6.638744987290643,1,1,1,UT100,baseline_breakout,LOSS,-1.0,0
2025-07-03_0300,2025-07-03 04:35:00,,1.0,1.0,1.0,,,,-1.0,-1.0,-1.0,,,,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,22646.398994759715,22643.292496988983,22637.2149733691,22595.63059397989,22617.71260816061,6.917132662837441,0.0305427230624152,1.1144917855882015,0.0,1.0,0,0,22646.53,22631.28,15.25,22638.905,7.625,5.25,0.8,0.7908121203707499,2.29712092107694,6.638744987290643,1,1,1,UT100,pullback_only,LOSS,-1.0,0
2025-07-03_0300,2025-07-03 05:40:00,,,,,,0.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,22633.70133981026,22637.177841812263,22636.59669131946,22600.58662579365,22617.932184198817,7.332822350656913,0.0323969764033002,1.1050460878097912,0.0,0.6666666666666666,0,0,22646.53,22631.28,15.25,22638.905,-9.095000000001164,0.0,0.85,0.0,2.294579760289989,6.646097147685425,1,1,1,UT100,reversal_only,WIN,2.0,1
2025-07-03_1000,2025-07-03 10:35:00,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,,,,22681.45360584857,22675.15058470055,22665.819428551466,22629.02635484824,22620.321703866462,9.282428249915672,0.0409043140114637,1.1171129424432766,0.0,1.0,0,0,22687.65,22670.53,17.12000000000262,22679.09,13.93999999999869,5.379999999997381,0.8333333333333334,0.5795897210459189,1.844344985931688,9.282428249915672,1,1,1,UT100,baseline_breakout,LOSS,-1.0,0
2025-07-03_1000,2025-07-03 10:45:00,,1.0,1.0,1.0,,,,-1.0,-1.0,-1.0,,,,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,22684.494307743087,22677.74759066161,22667.694712784338,22630.23883513639,22620.321703866462,8.837023885492565,0.0389520996059072,1.0609323358840086,0.0,1.0,0,0,22687.65,22670.53,17.12000000000262,22679.09,8.56000000000131,5.379999999997381,0.8333333333333334,0.5795897210459189,1.844344985931688,9.282428249915672,1,1,1,UT100,pullback_only,LOSS,-1.0,0
2025-07-03_1000,2025-07-03 12:20:00,,,,,,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,22659.48252428152,22666.370103742684,22667.514941630867,22636.98667338552,22620.866415059427,10.644550046234064,0.0469734494851195,1.1502765400489816,0.0,0.3333333333333333,0,0,22687.65,22670.53,17.12000000000262,22679.09,-23.375,0.0,0.8505263157896575,0.0,1.7027563851814902,10.054286185030437,1,1,1,UT100,reversal_only,LOSS,-1.0,0
2025-07-03_1630,2025-07-03 16:50:00,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,,,,22749.50155385416,22720.49965845052,22692.51030818925,22654.80698928424,22623.95784799544,26.258143176002992,0.115196194729568,1.3776840782160618,0.0,1.0,0,0,22782.15,22728.03,54.12000000000262,22755.09,39.18999999999869,12.12999999999738,0.7384346814080723,0.4619519331086154,2.0610749068297505,26.258143176002992,1,1,1,UT100,baseline_breakout,LOSS,-1.0,0
2025-07-04_0300,2025-07-04 04:15:00,,1.0,1.0,1.0,,,,-1.0,-1.0,-1.0,,,,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,22836.72825535095,22837.04877133758,22837.332604733776,22762.54927145421,22641.505165552106,7.203493483973918,0.0315311382428336,0.9321494430381644,0.5,0.3333333333333333,0,1,22839.65,22821.65,18.0,22830.65,9.0,1.1299999999973809,0.4364754098357631,0.1635995878303066,2.606011133586147,6.907107866124154,1,1,1,UT100,pullback_only,LOSS,-1.0,0
2025-07-04_0300,2025-07-04 05:25:00,,,,,,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,22821.4846108336,22828.83774290763,22833.583129070867,22771.3738242932,22643.274069377458,9.94850349633398,0.043602901875794,1.2953680809738664,0.0,0.3333333333333333,0,0,22839.65,22821.65,18.0,22830.65,-18.71749999999884,0.0,0.3848648648650064,0.0,2.182238454062269,8.248411151628613,1,1,1,UT100,reversal_only,LOSS,-1.0,0
2025-07-04_1000,2025-07-04 10:25:00,,,,0.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,22780.67429948807,22790.637578761794,22801.656319861937,22785.998292738648,22650.613425246065,13.6282232399179,0.059854210916837,1.4739645144282625,0.0,0.3333333333333333,0,0,22804.9,22776.53,28.37000000000262,22790.715,-14.18500000000131,16.5,0.7142294048088589,1.2850525153789771,2.2095115067457543,12.839942183323112,0,0,1,UT100,pullback_only,WIN,2.0,1
2025-07-04_1000,2025-07-04 11:20:00,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,,,,22749.60263933317,22763.88840337777,22783.631950234816,22782.45159816581,22651.351401114265,12.69455445233691,0.0557989394195955,1.1046536121305748,0.0,0.3333333333333333,0,0,22804.9,22776.53,28.37000000000262,22790.715,-40.18500000000131,26.0,0.7205882352941176,2.04812229508486,2.234816519675494,12.69455445233691,0,0,1,UT100,baseline_breakout,LOSS,-1.0,0
2025-07-04_1000,2025-07-04 12:05:00,,,1.0,,,1.0,,,-1.0,,,-1.0,,,1.0,,,1.0,,,0.0,,,0.0,22740.809703662264,22751.53092210549,22771.63119266717,22779.21065230908,22652.26611354099,15.460618944792182,0.0679952877756411,1.160927512826037,0.0,0.3333333333333333,0,0,22804.9,22776.53,28.37000000000262,22790.715,-58.625,0.0,0.8102456874020973,0.0,2.0933231253990323,13.55261385869164,0,0,1,UT100,pullback_ema_reversal,LOSS,-1.0,0
2025-07-04_1630,2025-07-04 16:55:00,,0.0,0.0,0.0,,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,22716.850914257386,22717.21419711952,22724.381796387977,22753.865088584207,22654.73932422206,17.167572643322963,0.0755626633479079,1.461596139081083,0.0,0.3333333333333333,0,0,22725.78,22685.4,40.37999999999738,22705.59,20.18999999999869,1.0,0.7185454545452641,0.0664100210026977,2.681636648088763,15.05796843460382,0,0,1,UT100,pullback_only,WIN,2.0,1
