Strategy,Trades,WinRate,TotalP&L,AvgP&L
Baseline (All Trades),530,36.60377358490566,1086.930000000004,2.0508113207547245
ML Filtered (Predicted Wins),148,85.13513513513513,2228.7500000000023,15.059121621621637
High Confidence (>60%),101,89.10891089108911,1832.660000000003,18.145148514851517
Medium+ Confidence (>50%),148,85.13513513513513,2228.7500000000023,15.059121621621637
