WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice_x,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,MAE,MFE,BarsTracked,EntryPrice_y,StopPrice,TargetPrice,Bar1_Move,Bar3_Move,Bar5_Move,Bar10_Move,WinFlag,Depth_to_Stop,Depth_to_Range
2025-08-22_1630,1630,BREAKOUT,BUY,2025-08-22 17:05:00,2025-09-02 15:05:00,23494.45,23133.78,23133.78,24215.790000000005,360.6700000000019,-360.6700000000019,-1.0,SL_HIT,244.29999999999927,0.8274569402229107,3.4044023612371443,116.37000000000262,23191.965,302.4850000000006,1.6216549438279844,1,71.7600254252032,23299.289503170847,23242.895593678004,23206.23778417068,23168.6893464157,23429.959352226902,71.7600254252032,0.3054339447197239,3.172585307416235,0.0,1.0,0,0,1,1,1630,23250.15,23133.78,baseline_breakout,83.17000000000189,82.96999999999753,20,23494.45,23133.78,24215.790000000005,0.0,-2.860000000000582,-15.580000000001746,51.7599999999984,0,0.23059860814595462,0.7147031021741
2025-09-02_1630,1630,BREAKOUT,BUY,2025-09-02 16:45:00,2025-09-04 13:10:00,23151.9,23492.9,22981.4,23492.9,170.5,341.0,2.0,TP_HIT,19.25,0.7689075630252101,0.4467932628224406,151.25,23057.025,94.875,3.5105184936048905,0,43.08480364810271,23092.19363147769,23101.63462350352,23152.45078500599,23288.889323980744,23460.34310245734,43.08480364810271,0.1860961892894436,1.674088264435652,0.0,0.0,0,0,0,0,1630,23132.65,22981.4,baseline_breakout,101.9800000000032,81.37999999999738,20,23151.9,22981.4,23492.9,0.0,32.0,13.859999999996944,50.669999999998254,1,0.598123167155444,0.6742479338843187
2025-09-04_1630,1630,BREAKOUT,SELL,2025-09-04 17:00:00,2025-09-04 18:25:00,23389.9,23506.65,23506.65,23156.4,116.75,-116.75,-1.0,SL_HIT,26.37999999999738,0.7982179320586209,0.733348765107549,90.37000000000262,23461.465,-71.56499999999869,2.5122338098096173,0,35.97197030273669,23432.201221731444,23440.300494780637,23448.280940559496,23434.60240838629,23423.491253834727,35.97197030273669,0.1537927494462853,1.8142064002054727,0.0,0.0,0,0,0,0,1630,23506.65,23416.28,baseline_breakout,122.28999999999724,20.62000000000262,18,23389.9,23506.65,23156.4,0.0,-5.629999999997381,-46.5,-88.25,0,1.047451820128456,1.3532145623546938
2025-09-05_0300,300,BREAKOUT,BUY,2025-09-05 03:15:00,2025-09-05 08:35:00,23687.28,23730.78,23665.53,23730.78,21.75,43.5,2.0,TP_HIT,0.5,0.3783783783783784,0.0581052068901689,21.25,23676.155,11.125,2.469471292832179,1,8.605080796719395,23678.21549278285,23671.108683692797,23644.082033290848,23542.929792184445,23438.923627408407,8.605080796719395,0.0363278552738828,1.1570804968168904,0.5,1.0,0,1,1,1,300,23686.78,23665.53,baseline_breakout,7.5,15.5,20,23687.28,23665.53,23730.78,0.0,2.25,-2.8799999999973807,6.870000000002619,1,0.3448275862068966,0.35294117647058826
2025-09-05_1000,1000,BREAKOUT,BUY,2025-09-05 11:25:00,2025-09-05 15:30:00,23740.03,23706.78,23706.78,23806.53,33.25,-33.25,-1.0,SL_HIT,1.6299999999973809,0.4270588235291036,0.1838476692772507,31.62000000000262,23722.59,17.43999999999869,3.566419204022388,1,8.866035704479154,23730.328502909066,23727.22970134744,23721.42755554109,23650.043560123748,23460.365411825936,8.866035704479154,0.037346354256836,1.0080092863218977,0.0,1.0,0,0,1,1,1000,23738.4,23706.78,baseline_breakout,7.379999999997381,14.62000000000262,20,23740.03,23706.78,23806.53,0.0,-0.6299999999973807,-6.0,3.25,0,0.22195488721796633,0.23339658444012554
2025-09-05_1630,1630,BREAKOUT,SELL,2025-09-05 17:05:00,2025-09-05 17:45:00,23759.28,23548.039999999997,23864.9,23548.039999999997,105.62000000000262,211.24000000000524,2.0,TP_HIT,25.87000000000262,0.7934355345912874,0.6548442777384691,79.75,23825.025,-65.74500000000262,2.018702402382591,1,39.5055754161061,23808.401838759477,23806.966215119064,23785.46753083823,23711.161274077884,23476.058048847528,39.5055754161061,0.1662742954168059,1.4291810874678628,0.0,1.0,0,0,1,1,1630,23864.9,23785.15,baseline_breakout,41.0,228.12999999999735,9,23759.28,23864.9,23548.04,0.0,100.37999999999738,141.62999999999738,,1,0.3881840560499809,0.5141065830721003
2025-09-08_0300,300,BREAKOUT,SELL,2025-09-08 03:55:00,2025-09-08 16:20:00,23730.53,23757.65,23757.65,23676.289999999997,27.12000000000262,-27.12000000000262,-1.0,SL_HIT,1.3700000000026191,0.4,0.155302444929037,25.75,23744.775,-14.24500000000262,2.919005807967195,1,8.821496664966343,23738.781598423186,23731.93284763737,23702.523560517733,23673.182700149693,23492.71280403899,8.821496664966343,0.0371736183935476,0.774504653532886,0.5,1.0,0,1,1,1,300,23757.65,23731.9,baseline_breakout,15.0,28.37999999999738,20,23730.53,23757.65,23676.29,0.0,1.75,1.25,-11.5,0,0.5530973451326899,0.5825242718446602
2025-09-08_1630,1630,BREAKOUT,BUY,2025-09-08 16:45:00,2025-09-08 20:50:00,23815.65,23738.03,23738.03,23970.890000000007,77.62000000000262,-77.62000000000262,-1.0,SL_HIT,3.37000000000262,0.4931543624161777,0.1342742727401488,74.25,23775.155,40.49500000000262,2.9584168400440065,1,25.09788309577616,23774.624446602236,23756.42099612152,23744.55512314353,23719.980803395058,23521.805601550463,25.09788309577616,0.1053839937006806,2.038201453224337,0.0,1.0,0,0,1,1,1630,23812.28,23738.03,baseline_breakout,44.92000000000189,36.06999999999971,20,23815.65,23738.03,23970.890000000007,0.0,-4.110000000000582,3.5499999999992724,5.919999999998254,0,0.5787168255604274,0.6049831649831905
2025-09-09_0300,300,BREAKOUT,SELL,2025-09-09 04:20:00,2025-09-09 05:10:00,23763.78,23794.4,23794.4,23702.539999999997,30.62000000000262,-30.62000000000262,-1.0,SL_HIT,7.370000000002619,0.8863636363636364,1.1072387533634327,23.25,23782.775,-18.99500000000262,3.492985212441067,1,6.6561976607257884,23774.4050658017,23777.83843871461,23777.631528911155,23762.70082658627,23548.7859824118,6.6561976607257884,0.0280098438073647,0.93490136237001,0.0,0.6666666666666666,0,0,1,1,300,23794.4,23771.15,baseline_breakout,34.12000000000262,5.129999999997381,11,23763.78,23794.4,23702.54,0.0,0.8799999999973807,-7.75,-27.62000000000262,0,1.11430437622468,1.4675268817205427
2025-09-09_1000,1000,BREAKOUT,BUY,2025-09-09 10:25:00,2025-09-09 11:05:00,23834.78,23814.28,23814.28,23875.78,20.5,-20.5,-1.0,SL_HIT,3.5,0.5412844036695673,0.4709769991139879,17.0,23822.78,12.0,2.287602567125084,1,7.431360781066328,23826.08393767449,23818.537241913215,23809.02888535896,23784.369569015067,23563.91074259345,7.431360781066328,0.0311786422239531,0.9355618602258446,0.0,1.0,0,0,1,1,1000,23831.28,23814.28,baseline_breakout,28.12999999999738,17.87000000000262,9,23834.78,23814.28,23875.78,0.0,4.5,-14.37999999999738,,0,1.3721951219510917,1.6547058823527871
