WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,Market
2025-03-14_1630,1630,PULLBACK,BUY,2025-03-14 18:30:00,2025-03-14 21:30:00,2986.75,2982.79,2982.79,2994.67,3.9600000000000364,-3.9600000000000364,-1.0,SL_HIT,1.5399999999999636,0.7245283018869194,0.5601830463478134,3.9600000000000364,2984.77,1.9800000000000182,1.4404706906087104,1,2.749101405407027,2986.393306141267,2985.76928365524,2987.601822463817,2986.585910996218,2930.5373988405886,2.2112080047373266,0.07403168581970666,0.7124594413874706,0.0,0.6666666666666666,0,0,1,1,1630,2986.75,2982.79,pullback_ema,XAUUSD5
2025-03-17_0300,0300,PULLBACK,BUY,2025-03-17 03:25:00,2025-03-17 04:20:00,2992.75,2988.67,2988.67,3000.91,4.079999999999927,-4.079999999999927,-1.0,SL_HIT,0.05999999999994543,0.7089337175792092,0.030205173662359378,4.079999999999927,2990.71,2.0399999999999636,2.0539518090422693,1,1.9864146675877357,2991.0549127907534,2990.4700721867366,2989.419379803053,2987.5684956542664,2935.2696028451937,1.9908927119093687,0.06654386790478696,1.2415977165313632,0.0,1.0,0,0,1,1,0300,2992.75,2988.67,pullback_ema,XAUUSD5
2025-03-17_1000,1000,PULLBACK,BUY,2025-03-17 10:40:00,2025-03-17 11:15:00,2986.67,2991.1100000000006,2984.45,2991.1100000000006,2.2200000000002547,4.440000000000509,2.0,TP_HIT,0.19000000000005457,0.6307053941907829,0.12785848826943463,2.2200000000002547,2985.56,1.1100000000001273,1.4939254945162943,0,1.486017882517662,2986.164763581337,2986.411409881503,2986.6836671601245,2987.117651124946,2938.752150243165,1.4598821648486355,0.04886422230492515,1.1663292156230596,0.0,0.3333333333333333,0,0,1,1,1000,2986.67,2984.45,pullback_ema,XAUUSD5
2025-03-18_0300,0300,PULLBACK,BUY,2025-03-18 03:20:00,2025-03-18 03:55:00,3001.78,3006.2200000000007,2999.56,3006.2200000000007,2.2200000000002547,4.440000000000509,2.0,TP_HIT,0.1799999999998363,0.40789473684203836,0.11987283920474737,2.2200000000002547,3000.67,1.1100000000001273,1.4784316835267317,1,1.5015911960872925,3001.7687990997665,3001.5086925773294,3000.9220797856005,2996.8790689942284,2947.4951896725906,1.6053790366090135,0.053453123409571125,1.4030585464186962,0.0,1.0,0,0,1,1,0300,3001.78,2999.56,pullback_ema,XAUUSD5
2025-03-18_1000,1000,PULLBACK,BUY,2025-03-18 11:30:00,2025-03-18 13:35:00,3019.69,3026.31,3016.38,3026.31,3.3099999999999454,6.619999999999891,2.0,TP_HIT,3.480000000000018,0.8292682926828998,2.1446497265315996,3.3099999999999454,3018.035,1.6550000000002,2.0398823548331726,1,1.6226425961072872,3023.960956230942,3022.835937296877,3019.2238604001973,3008.6480103407594,2952.7656098808516,1.9409569166263447,0.0642313875951031,1.051966462388802,0.0,1.0,0,0,1,1,1000,3019.69,3016.38,pullback_ema,XAUUSD5
2025-03-18_1630,1630,PULLBACK,BUY,2025-03-18 17:30:00,2025-03-18 21:15:00,3030.83,3037.5699999999997,3027.46,3037.5699999999997,3.369999999999891,6.739999999999782,2.0,TP_HIT,0.38999999999987267,0.9288256227757022,0.12280745331134797,3.369999999999891,3029.145,1.6849999999999454,1.0611823529727293,1,3.1757030170727827,3029.9164166738997,3029.763035419892,3029.0129862053186,3018.88990485333,2957.244446256241,2.6854835994902637,0.08859122756720714,0.7627050294111484,0.0,1.0,0,0,1,1,1630,3030.83,3027.46,pullback_ema,XAUUSD5
2025-03-19_0300,0300,PULLBACK,BUY,2025-03-19 04:50:00,2025-03-19 07:30:00,3032.69,3039.4100000000003,3029.33,3039.4100000000003,3.3600000000001273,6.720000000000255,2.0,TP_HIT,0.2699999999999818,0.13333333333322106,0.1797721611008751,3.3600000000001273,3031.01,1.6799999999998363,2.2371646714777924,1,1.5019010638052985,3031.787788356297,3031.1166681415534,3031.5359582095894,3028.747387799985,2964.497221888393,1.4149809219646408,0.04665623361947259,0.9990220503275501,0.0,0.6666666666666666,0,0,1,1,0300,3032.69,3029.33,pullback_ema,XAUUSD5
2025-03-19_1000,1000,PULLBACK,BUY,2025-03-19 12:40:00,2025-03-19 15:30:00,3037.01,3031.46,3031.46,3048.1100000000006,5.550000000000182,-5.550000000000182,-1.0,SL_HIT,0.2199999999997999,0.8502673796792718,0.11138668524607583,5.550000000000182,3034.235,2.775000000000091,2.809982286892288,1,1.9751014182150695,3034.4174748304695,3032.511554231572,3033.0715501563777,3032.4628786124476,2969.9624825499445,1.947754562453058,0.06412297368101905,0.9844612433543749,0.0,0.6666666666666666,0,0,1,1,1000,3037.01,3031.46,pullback_ema,XAUUSD5
2025-03-19_1630,1630,PULLBACK,BUY,2025-03-19 17:25:00,2025-03-19 20:15:00,3032.02,3040.0399999999995,3028.01,3040.0399999999995,4.0099999999997635,8.019999999999527,2.0,TP_HIT,0.21000000000003638,0.6232558139535297,0.08770082410391396,4.0099999999997635,3030.0150000000003,2.0049999999996544,1.6746681174124443,0,2.3945042950932134,3030.8331343695995,3030.9114090454655,3032.421337730011,3033.0489466144013,2973.0667126244916,2.287237055747471,0.07543458799726495,0.8858182915401024,0.0,0.3333333333333333,0,0,0,1,1630,3032.02,3028.01,pullback_ema,XAUUSD5
2025-03-20_0300,0300,PULLBACK,BUY,2025-03-20 03:20:00,2025-03-20 03:55:00,3055.33,3050.42,3050.42,3065.1499999999996,4.9099999999998545,-4.9099999999998545,-1.0,SL_HIT,0.32999999999992724,0.34439834024895327,0.14352838317085842,4.9099999999998545,3052.875,2.4549999999999272,2.135528367784998,1,2.2991968049071527,3053.914860404756,3052.778032895718,3050.125932113881,3041.5578787283202,2979.3142035292817,2.2566372309195346,0.07386773784749227,1.3537401357853494,0.0,1.0,0,0,1,1,0300,3055.33,3050.42,pullback_ema,XAUUSD5
2025-03-20_1000,1000,PULLBACK,BUY,2025-03-20 11:40:00,2025-03-20 12:00:00,3044.01,3040.55,3040.55,3050.9300000000003,3.4600000000000364,-3.4600000000000364,-1.0,SL_HIT,1.169999999999618,0.7456140350877228,0.6249125629311209,3.4600000000000364,3042.28,1.7300000000000182,1.8480320237114587,1,1.8722619281516635,3044.2098270589877,3043.7688468699107,3045.072504167437,3045.028280065334,2984.451213733949,1.7448397615790425,0.057307632684412614,0.9382418025067818,0.0,0.6666666666666666,0,0,0,1,1000,3044.01,3040.55,pullback_ema,XAUUSD5
2025-03-20_1630,1630,PULLBACK,BUY,2025-03-20 16:50:00,2025-03-21 05:05:00,3038.5,3032.28,3032.28,3050.9399999999996,6.2199999999998,-6.2199999999998,-1.0,SL_HIT,1.3699999999998909,0.8514285714284467,0.4890476646335029,6.2199999999998,3035.3900000000003,3.1099999999996726,2.2203477912558633,0,2.8013629326429403,3036.4910292864042,3035.605622730575,3035.9997723282668,3040.342849316173,2986.9879434893455,2.8878478749572514,0.09505190195963542,0.946752120935613,0.5,0.6666666666666666,0,1,0,1,1630,3038.5,3032.28,pullback_ema,XAUUSD5
2025-03-21_1630,1630,PULLBACK,BUY,2025-03-21 17:30:00,2025-03-21 21:20:00,3010.95,3021.6899999999996,3005.58,3021.6899999999996,5.369999999999891,10.739999999999782,2.0,TP_HIT,1.830000000000382,0.6785714285715192,0.4143218741891428,5.369999999999891,3008.265,2.6849999999999454,1.2157969750793371,0,4.416855864976527,3013.1970674097947,3014.160440292696,3019.546686627468,3029.439553738024,2996.793823850973,3.3326754496707967,0.11068665120082621,0.7641157696582213,0.0,0.3333333333333333,0,0,0,1,1630,3010.95,3005.58,pullback_ema,XAUUSD5
2025-03-24_0300,0300,PULLBACK,BUY,2025-03-24 03:35:00,2025-03-24 04:40:00,3023.49,3018.42,3018.42,3033.629999999999,5.069999999999709,-5.069999999999709,-1.0,SL_HIT,0.38000000000010914,0.7982195845697749,0.20119803742185524,5.069999999999709,3020.955,2.5349999999998545,2.684405394022249,1,1.8886864149840432,3022.562412948026,3022.574407849578,3022.548948475031,3023.8760847728718,2998.9524029038216,1.9568615596528496,0.06468985218638242,1.4142377148269496,0.0,0.6666666666666666,0,0,1,1,0300,3023.49,3018.42,pullback_ema,XAUUSD5
2025-03-24_1000,1000,PULLBACK,BUY,2025-03-24 10:35:00,2025-03-24 12:25:00,3025.31,3032.2099999999996,3021.86,3032.2099999999996,3.449999999999818,6.899999999999636,2.0,TP_HIT,0.25,0.5164556962024868,0.12314560036920635,3.449999999999818,3023.585,1.724999999999909,1.699409285094958,1,2.0301171885188576,3024.3165703085706,3023.8146513396855,3022.7956589209407,3022.5968088406853,3000.488242221497,1.9621015633830077,0.06485428582610589,1.17690704114588,0.0,1.0,0,0,1,1,1000,3025.31,3021.86,pullback_ema,XAUUSD5
2025-03-26_0300,0300,PULLBACK,BUY,2025-03-26 05:25:00,2025-03-26 06:05:00,3018.9,3016.44,3016.44,3023.82,2.4600000000000364,-2.4600000000000364,-1.0,SL_HIT,4.549999999999727,0.884375000000044,2.6842681652133096,2.4600000000000364,3017.67,1.2300000000000182,1.4512746563571945,1,1.6950616406234338,3021.296994311786,3022.173659362081,3021.837812781823,3020.9235212245167,3006.4988125627547,1.5004679769656426,0.04970510799093803,0.9571051285758722,0.0,0.6666666666666666,0,0,0,1,0300,3018.9,3016.44,pullback_ema,XAUUSD5
2025-03-27_0300,0300,PULLBACK,BUY,2025-03-27 03:25:00,2025-03-27 03:40:00,3027.25,3025.05,3025.05,3031.6499999999996,2.199999999999818,-2.199999999999818,-1.0,SL_HIT,0.09999999999990905,0.5432098765431613,0.0707572910013727,2.199999999999818,3026.15,1.099999999999909,1.5566604020314865,1,1.4132819188621712,3025.82959995683,3024.2427654941416,3022.212823938935,3020.8143599975006,3009.267139634298,1.446177663013923,0.047775938652590784,1.1414600767142444,0.0,1.0,0,0,1,1,0300,3027.25,3025.05,pullback_ema,XAUUSD5
2025-03-27_1630,1630,PULLBACK,BUY,2025-03-27 16:50:00,2025-03-27 18:40:00,3058.08,3049.87,3049.87,3074.5,8.210000000000036,-8.210000000000036,-1.0,SL_HIT,0.8899999999998727,0.7678571428570574,0.21960915819779814,8.210000000000036,3053.975,4.105000000000018,2.0258327964092007,1,4.052654303233862,3053.1927773111943,3049.5558807320504,3047.4420348212084,3037.790711586503,3013.099652618152,4.060300396136031,0.13277286389290116,1.063825889140733,0.0,1.0,0,0,1,1,1630,3058.08,3049.87,pullback_ema,XAUUSD5
2025-03-31_1000,1000,PULLBACK,BUY,2025-03-31 10:25:00,2025-03-31 10:35:00,3124.58,3118.69,3118.69,3136.3599999999997,5.889999999999873,-5.889999999999873,-1.0,SL_HIT,0.2800000000002001,0.28753180661581584,0.07593911723541967,5.889999999999873,3121.635,2.944999999999709,1.5974335732724736,1,3.68716427308694,3121.5358543722123,3119.1192110152856,3113.7453393605965,3096.1083691718445,3035.4467016866897,3.6528757033419925,0.1169998495683059,1.0120387625301233,0.0,1.0,0,0,1,1,1000,3124.58,3118.69,pullback_ema,XAUUSD5
2025-03-31_1630,1630,PULLBACK,BUY,2025-03-31 17:40:00,2025-04-01 19:15:00,3119.02,3103.78,3103.78,3149.4999999999995,15.239999999999782,-15.239999999999782,-1.0,SL_HIT,0.8600000000001273,0.4431486880466631,0.19793562005240123,15.239999999999782,3111.4,7.619999999999891,3.5076033134861686,1,4.34484707589494,3116.126907293198,3115.776180995375,3116.836555030879,3108.929414194718,3041.128511570273,4.216200799108963,0.13515500088503596,1.018017728769949,0.0,0.6666666666666666,0,0,1,1,1630,3119.02,3103.78,pullback_ema,XAUUSD5
2025-04-02_1000,1000,PULLBACK,BUY,2025-04-02 10:25:00,2025-04-02 11:05:00,3117.14,3127.0799999999995,3112.17,3127.0799999999995,4.9699999999998,9.9399999999996,2.0,TP_HIT,0.5900000000001455,0.36942675159227184,0.22842242264682516,4.9699999999998,3114.6549999999997,2.4850000000001273,1.9241685433125344,0,2.5829338169325555,3116.1749135520804,3116.6470077751032,3118.8245657625607,3121.58309645616,3068.0870768668574,2.5278759746748913,0.08110745258365873,0.9663620984757729,0.5,0.3333333333333333,0,1,0,1,1000,3117.14,3112.17,pullback_ema,XAUUSD5
2025-04-03_1000,1000,PULLBACK,BUY,2025-04-03 11:10:00,2025-04-03 13:00:00,3128.03,3119.86,3119.86,3144.3700000000003,8.170000000000073,-8.170000000000073,-1.0,SL_HIT,0.1499999999996362,0.7896440129449643,0.041748285654615164,8.170000000000073,3123.945,4.085000000000036,2.273889958660241,0,3.592961906043059,3127.4602178826785,3127.174395448713,3131.3805441318273,3135.171148107382,3082.009130343315,3.2403394567604096,0.10354341679082299,0.813508699134158,0.5,0.6666666666666666,0,1,0,1,1000,3128.03,3119.86,pullback_ema,XAUUSD5
2025-04-03_1630,1630,PULLBACK,BUY,2025-04-03 16:50:00,2025-04-04 11:20:00,3088.91,3086.11,3064.22,3138.29,24.690000000000055,-2.799999999999727,-0.11340623734304256,FILTER_EXIT,1.2800000000002,0.4895209580838416,0.15323869518976352,24.690000000000055,3076.5649999999996,12.345000000000255,2.9558307689333425,0,8.352981591334414,3079.7797499339404,3079.1809309648543,3089.9075668531377,3116.3865412193613,3082.6057574291976,8.12325071248984,0.26310805502619794,1.1758855859215553,0.0,0.6666666666666666,0,0,0,1,1630,3088.91,3064.22,pullback_ema,XAUUSD5
2025-04-07_1630,1630,PULLBACK,SELL,2025-04-07 17:40:00,2025-04-09 09:20:00,3001.73,3026.74,3026.74,2951.7100000000005,25.009999999999764,-25.009999999999764,-1.0,SL_HIT,3.650000000000091,0.6484230055658726,0.35854588478905497,25.009999999999764,3014.2349999999997,-12.504999999999654,2.4567760489243717,0,10.180008068276988,3009.8449069188637,3015.3829181096908,3021.520068261157,3029.2102207424614,3072.753954481532,9.676006992506736,0.32220384448270384,1.2483015079541502,0.0,0.0,0,0,0,0,1630,3026.74,3001.73,pullback_ema,XAUUSD5
2025-04-09_1630,1630,PULLBACK,BUY,2025-04-09 17:35:00,2025-04-09 20:25:00,3077.86,3060.21,3060.21,3113.1600000000003,17.65000000000009,-17.65000000000009,-1.0,SL_HIT,3.1399999999998727,0.8462643678160693,0.505839218526545,17.65000000000009,3069.035,8.825000000000273,2.843331913055391,1,6.207506031553571,3077.591367540209,3071.535794020627,3062.053929898186,3034.084209908945,3049.0298660135754,5.48294162503119,0.1780985391096989,0.8842483366833673,0.0,1.0,0,0,1,1,1630,3077.86,3060.21,pullback_ema,XAUUSD5
2025-04-10_0300,0300,PULLBACK,BUY,2025-04-10 04:10:00,2025-04-10 04:35:00,3088.39,3081.36,3081.36,3102.4499999999994,7.029999999999745,-7.029999999999745,-1.0,SL_HIT,1.3600000000001273,0.7186700767262719,0.35920302292974654,7.029999999999745,3084.875,3.5149999999998727,1.856762684702787,1,3.786159673456084,3092.426827874842,3090.7084110092255,3086.9533190550123,3067.7650669500063,3052.379453615846,5.324802866250953,0.17251912736921926,1.2947562213270825,0.0,1.0,0,0,1,1,0300,3088.39,3081.36,pullback_ema,XAUUSD5
