direction,breakout_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,result,entry_type,pnl,rr_multiple,range_high,range_low,range_width,breakout_close,ema_value
LONG,2025-01-21 14:20:00,2025-01-21 14:50:00,2025-01-21 18:15:00,2724.94,2716.43,2741.9600000000005,2741.9600000000005,WIN,PULLBACK,17.020000000000437,2.0,2724.94,2716.43,8.510000000000218,2725.71,2690.5650953540076
LONG,2025-01-22 07:45:00,2025-01-22 08:00:00,2025-01-22 08:15:00,2755.68,2750.25,2766.5399999999995,2750.25,LOSS,PULLBACK,-5.429999999999836,-1.0,2755.68,2750.25,5.429999999999836,2756.45,2698.577928946107
LONG,2025-01-22 09:30:00,2025-01-22 09:35:00,2025-01-22 11:25:00,2751.3,2745.94,2762.0200000000004,2762.0200000000004,WIN,PULLBACK,10.720000000000255,2.0,2751.3,2745.94,5.360000000000127,2751.95,2699.5488216676513
LONG,2025-01-22 12:35:00,2025-01-22 12:40:00,2025-01-22 13:15:00,2762.73,2757.5,2773.19,2757.5,LOSS,PULLBACK,-5.230000000000018,-1.0,2762.73,2757.5,5.230000000000018,2763.07,2701.254750766018
LONG,2025-01-22 14:55:00,2025-01-22 15:15:00,2025-01-22 15:35:00,2757.94,2751.64,2770.5400000000004,2751.64,LOSS,PULLBACK,-6.300000000000182,-1.0,2757.94,2751.64,6.300000000000182,2758.15,2702.364121806022
SHORT,2025-01-23 15:35:00,2025-01-23 15:40:00,2025-01-23 16:30:00,2737.52,2746.46,2719.64,2746.46,LOSS,PULLBACK,-8.940000000000055,-1.0,2746.46,2737.52,8.940000000000055,2736.38,2713.1517509895675
SHORT,2025-01-24 16:20:00,2025-01-24 16:30:00,2025-01-24 17:20:00,2776.69,2784.58,2760.9100000000003,2784.58,LOSS,PULLBACK,-7.889999999999873,-1.0,2784.58,2776.69,7.889999999999873,2776.09,2724.5209116172005
LONG,2025-01-24 17:25:00,2025-01-24 17:30:00,2025-01-24 18:15:00,2784.79,2773.87,2806.63,2773.87,LOSS,PULLBACK,-10.920000000000073,-1.0,2784.79,2773.87,10.920000000000073,2784.93,2725.0313503075763
LONG,2025-01-27 03:00:00,2025-01-27 03:05:00,2025-01-27 03:35:00,2770.94,2765.83,2781.1600000000003,2765.83,LOSS,PULLBACK,-5.110000000000127,-1.0,2770.94,2765.83,5.110000000000127,2771.6,2729.1909214604884
LONG,2025-01-27 12:25:00,2025-01-27 13:05:00,2025-01-27 15:00:00,2765.66,2760.13,2776.7199999999993,2760.13,LOSS,PULLBACK,-5.529999999999745,-1.0,2765.66,2760.13,5.529999999999745,2767.64,2731.6691945570064
