EntryTime,Type,EntryPrice,SL,TP,Risk,WindowType,WindowHigh,WindowLow,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Is_Consolidating,Is_Tight_Range,Consolidation_Score,Trend_Score,EMA_9_Above_21,EMA_21_Above_50,Price_Above_EMA200_1H,ExitTime,ExitPrice,P&L,R_Multiple,Status
2025-02-04 03:20:00,BUY,2820.25,2815.91,2828.9300000000003,4.3400000000001455,0300,2817.91,2815.91,2817.260772557721,2816.0649027971476,2815.8274869804636,2769.594948797528,1.4649610911539706,0.05194436986628741,0.9530711233054041,0,0,0.0,1.0,1,1,1,2025-02-04 07:05:00,2815.91,-4.3400000000001455,-1.0,SL_HIT
2025-02-04 10:15:00,BUY,2818.71,2810.29,2835.55,8.420000000000073,1000,2814.34,2810.29,2813.482531257077,2813.0321182674975,2814.4450507554266,2772.799150835285,2.684058241075711,0.09522292967618914,1.4238369593463143,0,0,0.0,0.6666666666666666,1,0,1,2025-02-04 15:30:00,2835.55,16.840000000000146,2.0,TP_HIT
2025-02-04 17:05:00,BUY,2842.76,2835.97,2856.340000000001,6.790000000000418,1630,2841.17,2835.97,2839.6753757415477,2835.8080430960167,2829.13722154384,2776.3826615499,3.0590382639657343,0.10760803810260923,1.0441957898664038,0,0,0.0,1.0,1,1,1,2025-02-04 17:40:00,2835.97,-6.790000000000418,-1.0,SL_HIT
2025-02-05 03:30:00,SELL,2842.17,2849.01,2828.49,6.8400000000001455,0300,2849.01,2842.85,2844.0664191669775,2843.8679329201104,2843.0358473316414,2782.126333710162,2.3230389788611725,0.08173469492891602,1.4385309501792984,0,0,0.0,1.0,1,1,1,2025-02-05 04:05:00,2849.01,-6.8400000000001455,-1.0,SL_HIT
2025-02-05 10:20:00,BUY,2865.81,2863.58,2870.27,2.230000000000018,1000,2865.45,2863.58,2863.529311291555,2861.383198731378,2858.4480049342533,2787.2871880917855,1.7735172685674843,0.06188537511445226,1.035547910369504,0,0,0.0,1.0,1,1,1,2025-02-05 11:20:00,2870.27,4.460000000000036,2.0,TP_HIT
2025-02-05 16:45:00,BUY,2870.87,2864.51,2883.5899999999992,6.359999999999673,1630,2870.03,2864.51,2866.7751112051187,2866.0553801242295,2866.4272427686883,2791.9962235616595,3.3665916468677417,0.11726729691235556,1.1873844161426323,0,0,0.0,0.6666666666666666,1,0,1,2025-02-05 18:20:00,2864.51,-6.359999999999673,-1.0,SL_HIT
2025-02-06 03:55:00,BUY,2871.39,2863.75,2886.6699999999996,7.639999999999873,0300,2870.81,2863.75,2869.1271366734663,2868.4238364964076,2867.7510052965245,2799.395038032934,1.8638120909321811,0.0649097507107074,1.244738482192639,0,0,0.0,1.0,1,1,1,2025-02-06 08:45:00,2863.75,-7.639999999999873,-1.0,SL_HIT
2025-02-06 10:20:00,SELL,2850.0,2856.97,2836.0600000000004,6.9699999999998,1000,2856.97,2853.69,2855.2206068056316,2858.482833582776,2862.5619208938097,2803.754988821567,2.703434836353617,0.09485736267907428,1.2095316034119856,0,0,0.0,0.3333333333333333,0,0,1,2025-02-06 10:35:00,2856.97,-6.9699999999998,-1.0,SL_HIT
2025-02-06 16:45:00,SELL,2848.54,2858.32,2828.9799999999996,9.7800000000002,1630,2858.32,2854.15,2855.051037117185,2857.7651466691514,2860.0037921515104,2806.906254444267,3.3147408394791045,0.11636630833616886,1.3111445867484501,0,0,0.0,0.3333333333333333,0,0,1,2025-02-07 01:40:00,2858.32,-9.7800000000002,-1.0,SL_HIT
2025-02-07 03:15:00,BUY,2862.63,2857.73,2872.4300000000003,4.900000000000091,0300,2859.98,2857.73,2859.7481559159996,2859.040130644848,2857.458046968383,2811.5253555301706,1.519169053280534,0.053068997854439234,1.6533391169733198,0,0,0.0,1.0,1,1,1,2025-02-07 15:30:00,2857.73,-4.900000000000091,-1.0,SL_HIT
2025-02-07 15:35:00,BUY,2868.0,2863.37,2877.26,4.630000000000109,1000,2865.86,2863.37,2863.887867701887,2864.5054207172507,2865.293773409723,2817.624202552985,4.600804364028768,0.1604185622046293,2.4960791144828627,0,0,0.0,0.3333333333333333,0,0,1,2025-02-07 15:35:00,2863.37,-4.630000000000109,-1.0,SL_HIT
2025-02-07 17:00:00,BUY,2878.61,2871.2,2893.4300000000007,7.410000000000309,1630,2878.34,2871.2,2874.411865106198,2870.58429488423,2867.896595279413,2818.824006962718,4.377197926806087,0.1520594289190299,0.9510341106007966,0,0,0.0,1.0,1,1,1,2025-02-07 18:00:00,2871.2,-7.410000000000309,-1.0,SL_HIT
2025-02-10 03:35:00,SELL,2867.72,2876.54,2850.0799999999995,8.820000000000164,0300,2876.54,2867.79,2869.3356848974017,2868.650844032482,2866.746423199318,2822.9584634842518,2.438810409048606,0.08504353315695416,1.1319352790576693,0,0,0.0,1.0,1,1,1,2025-02-10 06:10:00,2876.54,-8.820000000000164,-1.0,SL_HIT
2025-02-10 10:15:00,SELL,2892.57,2896.58,2884.5500000000006,4.0099999999997635,1000,2896.58,2893.31,2893.365665241925,2890.923542734052,2885.569252786004,2827.0972372619235,2.1959924093285785,0.07591838432012288,0.9911666303808458,0,0,0.0,1.0,1,1,1,2025-02-10 10:35:00,2896.58,-4.0099999999997635,-1.0,SL_HIT
2025-02-10 16:50:00,BUY,2908.32,2901.78,2921.4,6.539999999999964,1630,2906.81,2901.78,2904.8962210420736,2903.786600432013,2902.50709128563,2831.5640356813583,3.172483540608067,0.10908302871101071,1.018144803876104,0,0,0.0,1.0,1,1,1,2025-02-10 18:45:00,2901.78,-6.539999999999964,-1.0,SL_HIT
2025-02-11 03:40:00,BUY,2931.71,2919.62,2955.8900000000003,12.090000000000146,0300,2931.28,2919.62,2928.455939923933,2924.351468113713,2917.9711597279093,2839.176348676184,2.849368949694143,0.09719136441510733,1.2203686981983473,0,0,0.0,1.0,1,1,1,2025-02-11 04:35:00,2919.62,-12.090000000000146,-1.0,SL_HIT
2025-02-11 10:50:00,SELL,2907.69,2915.38,2892.31,7.690000000000055,1000,2915.38,2910.64,2911.2689715075817,2912.827683152791,2915.6043348603353,2844.407715757112,3.001196851864006,0.10321584666398434,0.9703309420236339,0,0,0.0,0.3333333333333333,0,0,1,2025-02-11 14:50:00,2892.31,15.38000000000011,2.0,TP_HIT
2025-02-11 16:55:00,SELL,2896.64,2904.28,2881.359999999999,7.640000000000327,1630,2904.28,2899.08,2899.435421745284,2898.102526263399,2899.29657033792,2847.5649125777427,3.974606878050391,0.13721438901797917,0.951066710345612,0,0,0.0,0.6666666666666666,1,0,1,2025-02-11 17:40:00,2904.28,-7.640000000000327,-1.0,SL_HIT
2025-02-12 03:15:00,SELL,2889.75,2897.81,2873.63,8.059999999999945,0300,2897.81,2891.03,2893.2879408272656,2894.988778331937,2897.104774496243,2852.5279480868303,2.868846794864158,0.09927664313051848,1.7884562184677926,0,0,0.0,0.3333333333333333,0,0,1,2025-02-12 15:20:00,2873.63,16.11999999999989,2.0,TP_HIT
