EntryTime,Type,EntryPrice,SL,TP,Risk,WindowType,WindowHigh,WindowLow,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Is_Consolidating,Is_Tight_Range,Consolidation_Score,Trend_Score,EMA_9_Above_21,EMA_21_Above_50,Price_Above_EMA200_1H,ExitTime,ExitPrice,P&L,R_Multiple,Status
2025-10-20 15:40:00,BUY,4320.14,4234.73,4490.960000000002,85.41000000000076,1000,4257.14,4234.73,4298.970753796881,4283.474463523108,4270.020150877306,4147.348873702066,8.66815740469829,0.2006452893817859,1.5845364933401311,0,0,0.0,1.0,1,1,1,2025-10-21 15:10:00,4234.73,-85.41000000000076,-1.0,SL_HIT
2024-11-11 16:55:00,SELL,2657.24,2662.41,2646.9,5.170000000000073,1630,2662.41,2657.83,2659.5884449573614,2661.456406049833,2664.409546016313,2686.116336213037,2.34806237764124,0.0883647084057608,1.0334217183689909,0,0,0.0,0.0,0,0,0,2024-11-11 17:30:00,2646.9,10.340000000000146,2.0,TP_HIT
2024-11-13 12:00:00,SELL,2604.49,2607.44,2598.5899999999992,2.950000000000273,1000,2607.44,2604.61,2605.954673123541,2606.0510868630163,2606.3434937924967,2659.5158886004624,1.4560569902942546,0.0559056471821452,1.016934492150108,0,1,0.5,0.0,0,0,0,2024-11-13 12:30:00,2607.44,-2.950000000000273,-1.0,SL_HIT
2024-11-13 16:50:00,SELL,2609.4,2611.6,2605.0000000000005,2.199999999999818,1630,2611.6,2609.49,2610.3307856232045,2610.078696287371,2609.2707277106524,2657.556718551894,1.5098767679279326,0.057862986430901,0.9487819809571294,0,0,0.0,0.6666666666666666,1,1,0,2024-11-13 17:30:00,2611.6,-2.199999999999818,-1.0,SL_HIT
2024-11-14 10:30:00,SELL,2555.11,2560.5,2544.3300000000004,5.389999999999873,1000,2560.5,2557.57,2557.8547898379666,2559.016854266144,2561.3509105223848,2644.8043846215287,1.905566784790068,0.074578659423276,1.124380201450888,0,0,0.0,0.0,0,0,0,2024-11-14 13:35:00,2544.3300000000004,10.779999999999744,2.0,TP_HIT
2024-11-14 16:45:00,SELL,2551.03,2556.52,2540.0500000000006,5.489999999999782,1630,2556.52,2553.21,2553.439177659267,2552.1072449808557,2551.45894476474,2639.371081092949,2.1661388648292443,0.0849123242309672,0.8931020241024782,0,0,0.0,0.6666666666666666,1,1,0,2024-11-14 17:20:00,2556.52,-5.489999999999782,-1.0,SL_HIT
2024-11-15 10:15:00,SELL,2555.07,2561.88,2541.4500000000003,6.809999999999945,1000,2561.88,2556.07,2560.069242170675,2563.1381837852728,2565.5530604223063,2628.022861749554,2.0860773401429618,0.0816446257888418,1.6904624686805922,0,0,0.0,0.0,0,0,0,2024-11-15 10:45:00,2561.88,-6.809999999999945,-1.0,SL_HIT
2024-11-26 03:30:00,SELL,2623.79,2627.91,2615.55,4.119999999999891,300,2627.91,2625.01,2626.1212630747023,2626.222630069974,2627.130838929325,2647.6524503886885,1.4285582527445977,0.0544463639523207,1.1272693415416446,0,1,0.5,0.0,0,0,0,2024-11-26 03:40:00,2615.55,8.239999999999782,2.0,TP_HIT
2024-11-26 10:15:00,SELL,2622.68,2625.95,2616.14,3.269999999999982,1000,2625.95,2622.84,2623.458835051861,2624.1228273716797,2625.1902085282168,2646.134290430696,2.2357961748006465,0.0852485310751081,1.1595437627995155,0,0,0.0,0.0,0,0,0,2024-11-26 11:25:00,2616.14,6.539999999999964,2.0,TP_HIT
2024-11-28 03:25:00,SELL,2636.27,2638.04,2632.73,1.7699999999999818,300,2638.04,2636.32,2636.640341259037,2636.6819558587954,2637.5545172038564,2643.110791002553,0.8175086796917735,0.0310100513108207,0.8144116808143134,0,1,0.5,0.0,0,0,0,2024-11-28 04:35:00,2638.04,-1.7699999999999818,-1.0,SL_HIT
