Market,Total Trades,Winners,Losers,Filter Exits,Breakouts,Pullbacks,Reversals,Win Rate %,Total P&L,Avg R Multiple,Profit Factor
Gold (XAUUSD),608,212,286,110,137,196,275,34.868421052631575,412.4930000000195,0.15702641638571793,1.6036604644025663
GBPJPY,546,167,269,110,111,213,222,30.586080586080588,-1.0835500000002583,0.012664828444153904,1.1919322395366259
EURJPY,541,183,248,110,128,199,214,33.826247689463955,7.7883000000005325,0.11582765930537459,1.5073725496769412
USDJPY,517,170,261,86,90,215,212,32.88201160541586,5.215049999999934,0.04858030974361006,1.3656945803007432
UT100,217,75,113,29,29,82,106,34.56221198156682,-890.1189999999478,0.0869572240507062,0.8817051174206435
