Model,Trades,WinRate,TotalP&L,AvgP&L,WinRateImprovement,P&LImprovement,P&LImprovementPct,TradesTakenPct,Score
Baseline (No Filter),386,36.26943005181347,5.460000000000036,0.014145077720207348,0.0,0.0,0.0,100.0,0.7450777202072538
Random Forest ML,386,36.26943005181347,5.460000000000036,0.014145077720207348,0.0,0.0,0.0,100.0,0.7450777202072538
Deep Learning,4,25.0,-0.8820000000000334,-0.22050000000000836,-11.269430051813472,-6.34200000000007,-116.15384615384666,1.0362694300518136,-3.0823076923077917
