feature,importance
WindowID_2025-09-30_1000,0.00043408258313767684
WindowID_2025-01-30_1630,0.0004287591103545058
WindowID_2025-05-28_0300,0.0004274002693754536
WindowID_2025-03-21_1630,0.0004203300884561251
WindowID_2024-11-29_1000,0.0004182585279009323
WindowID_2025-07-30_1000,0.0004166327518013499
WindowID_2024-12-10_1000,0.00041572242944068406
WindowID_2025-06-25_1000,0.0004128407249870401
WindowID_2025-09-05_1000,0.0004115494524709301
WindowID_2025-05-22_0300,0.00041084529529990645
WindowID_2025-01-22_0300,0.0004092129902432688
WindowID_2025-01-15_1000,0.0004046497491322714
WindowID_2025-03-12_0300,0.0003977367198944873
WindowID_2025-09-09_1630,0.000397173553714141
WindowID_2025-02-26_1630,0.00039624929218653044
WindowID_2025-04-21_1630,0.00039429977972695485
WindowID_2024-12-23_1000,0.0003908298576722458
WindowID_2024-12-19_1000,0.0003893281096970236
WindowID_2025-03-14_1000,0.00038707772295812077
WindowID_2025-09-25_1000,0.00038684541914722087
WindowID_2025-01-23_1630,0.00038114637713341484
WindowID_2025-03-03_1630,0.0003791540105266864
WindowID_2024-12-18_0300,0.0003782426078262593
WindowID_2024-12-19_0300,0.0003772845313069131
WindowID_2025-05-20_1630,0.00037710683342677355
WindowID_2025-10-02_1630,0.000375679560899935
WindowID_2025-03-18_1000,0.00037448328485143394
WindowID_2025-08-21_1000,0.0003714865761798671
WindowID_2025-09-05_0300,0.000371225128538688
WindowID_2025-04-08_1000,0.0003711549808014873
WindowID_2025-05-13_1000,0.00037041280957122937
WindowID_2025-04-16_1630,0.0003657302102959096
WindowID_2025-09-03_1630,0.0003615695134130944
WindowID_2024-12-24_1000,0.00035978838932037985
WindowID_2025-10-13_1000,0.0003594459201371155
WindowID_2025-09-26_1000,0.0003573294173700581
WindowID_2024-12-20_1630,0.00035728579713799406
WindowID_2025-10-31_1000,0.00035710595456478196
WindowID_2025-08-28_1000,0.00035531897624974514
WindowID_2024-12-09_1000,0.0003525749035919723
WindowID_2025-08-15_0300,0.0003503418169830785
WindowID_2025-07-02_1000,0.0003495429129495202
WindowID_2025-09-11_0300,0.000347133754149975
WindowID_2025-05-16_0300,0.0003461775685606907
WindowID_2025-06-27_1000,0.0003461325842013523
WindowID_2025-09-12_1000,0.0003427512642239516
WindowID_2025-06-19_0300,0.0003420319510735878
WindowID_2025-09-01_1630,0.00033825785881816064
WindowID_2025-01-14_0300,0.00033823806266721477
WindowID_2025-09-24_0300,0.00033666000008001495
WindowID_2025-03-18_0300,0.00033564207664645604
WindowID_2025-09-11_1630,0.00033563221572204704
WindowID_2025-08-07_0300,0.0003355683409552353
WindowID_2025-03-26_0300,0.0003336653008807297
WindowID_2025-03-24_1000,0.0003319896592059475
WindowID_2025-10-06_1630,0.00032929282520433923
WindowID_2025-10-01_0300,0.0003287884729857483
WindowID_2025-10-13_1630,0.0003284792368432794
WindowID_2025-05-07_0300,0.00032427720746262703
WindowID_2025-06-10_0300,0.00032157528232793316
WindowID_2025-06-12_0300,0.0003193427496761305
WindowID_2025-04-14_1630,0.00031897169760243603
WindowID_2025-05-23_1630,0.0003174353771820644
WindowID_2025-06-02_1000,0.00031626984377557756
WindowID_2025-09-08_1630,0.00031604069280685265
WindowID_2025-09-23_1000,0.00031490050803299947
WindowID_2025-02-18_1630,0.0003108365633472932
WindowID_2025-10-08_1630,0.0003102839565192192
WindowID_2025-03-17_0300,0.00031014553047484635
WindowID_2025-07-11_1000,0.00030907667549594383
WindowID_2025-09-25_0300,0.0003087653032683566
WindowID_2025-01-15_0300,0.00030734852415712893
WindowID_2025-03-31_1000,0.0003062200516384046
WindowID_2025-09-29_0300,0.0003042060300707148
WindowID_2024-12-30_1000,0.00030315974612363917
WindowID_2024-12-16_1000,0.00030210913089569224
WindowID_2025-01-30_1000,0.000300321708485075
WindowID_2025-07-24_0300,0.000297098912644693
WindowID_2025-10-16_0300,0.00029669334523424977
WindowID_2025-10-03_0300,0.00029488534413754674
WindowID_2025-03-13_1000,0.0002917200349454314
WindowID_2024-12-23_1630,0.00027979340685327673
WindowID_2025-08-05_1630,0.00027972376039791977
