WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EntryOffsetRatio,ATR_Ratio_Entry,Trend_Score_Entry,Consolidation_Score_Entry,MaxRetestDepth,MaxMaeRatio,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Market,Won
2025-04-07_0300,0300,BREAKOUT,BUY,2025-04-07 03:35:00,2025-04-07 09:40:00,187.941,187.322,187.322,189.179,0.6189999999999998,-0.6189999999999998,-1.0,SL_HIT,0.01099999999999568,0.48882681564248426,0.03493445570979187,0.6080000000000041,187.626,0.3149999999999977,1.9309226428692672,0,0.31487537952144085,0.5180921052631506,0.9700431976260104,0.3333333333333333,0.5,0.0,0.0,187.67267113471,187.4763393372865,187.60414893980877,188.73549802283236,192.43072776808378,0.31487537952144085,0.15966799565953482,0.9700431976260104,0.5,0.3333333333333333,0,1,0,0,0300,187.93,187.322,GBPJPY,0
2025-04-07_1000,1000,BREAKOUT,BUY,2025-04-07 10:20:00,2025-04-07 14:15:00,187.952,187.365,187.365,189.12599999999998,0.5869999999999891,-0.5869999999999891,-1.0,SL_HIT,0.132000000000005,0.5940170940171864,0.45920416459053337,0.4549999999999841,187.5925,0.35949999999999704,1.5828628400657383,0,0.28745383900798843,0.7901098901099113,1.1664837574306377,0.0,0.0,0.0,0.0,187.70011896146116,187.8512611226433,188.05150166183734,188.45192596275123,192.1450644856003,0.28745383900798843,0.14795610212388527,1.1664837574306377,0.0,0.0,0,0,0,0,1000,187.82,187.365,GBPJPY,0
2025-04-07_1630,1630,BREAKOUT,BUY,2025-04-07 17:00:00,2025-04-07 17:10:00,188.231,189.56899999999996,187.562,189.56899999999996,0.6689999999999827,1.3379999999999654,2.0,TP_HIT,0.12399999999999523,0.7665847665847592,0.39699337892254205,0.5449999999999875,187.8345,0.3965000000000032,1.744849931554748,1,0.3123477785360976,0.7275229357798391,1.06108963239313,0.3333333333333333,0.0,0.0,0.0,187.98214891155436,187.9881408123429,187.94355616176122,188.15237408767976,191.8646431754725,0.3123477785360976,0.15963673632588332,1.06108963239313,0.0,0.6666666666666666,0,0,1,0,1630,188.107,187.562,GBPJPY,1
2025-04-08_0300,0300,BREAKOUT,BUY,2025-04-08 03:20:00,2025-04-08 10:05:00,188.477,187.999,187.999,189.43300000000002,0.47800000000000864,-0.47800000000000864,-1.0,SL_HIT,0.028999999999996362,0.2906976744186757,0.17723383530197884,0.4490000000000123,188.2235,0.2535000000000025,2.7440686914000225,1,0.16362564151808193,0.5645879732739322,1.2221884500938902,0.6666666666666666,0.0,0.0,0.0,188.34331473596595,188.31531519507843,188.2827213248735,188.26346237292353,191.52050884830643,0.16362564151808193,0.09003452994509417,1.2221884500938902,0.0,0.6666666666666666,0,0,1,0,0300,188.448,187.999,GBPJPY,0
2025-04-08_1000,1000,BREAKOUT,SELL,2025-04-08 10:20:00,2025-04-08 16:30:00,187.806,188.23,188.23,186.95800000000006,0.42399999999997817,-0.42399999999997817,-1.0,SL_HIT,0.09299999999998931,0.5186721991701558,0.519451502574153,0.33099999999998886,188.0645,-0.25849999999999795,1.8488005091619206,0,0.17903500045553017,-0.7809667673716213,1.197633689365148,0.0,0.0,0.0,0.0,188.12710219462565,188.32204430543166,188.43082311436203,188.37331992838114,191.31212966449823,0.17903500045553017,0.09534648182166827,1.197633689365148,0.0,0.0,0,0,0,0,1000,188.23,187.899,GBPJPY,0
2025-04-08_1630,1630,BREAKOUT,BUY,2025-04-08 16:55:00,2025-04-08 17:50:00,188.324,187.933,187.933,189.10600000000005,0.39100000000001955,-0.39100000000001955,-1.0,SL_HIT,0.05200000000002092,0.5789473684210884,0.24235523084804722,0.33899999999999864,188.1025,0.22150000000002024,1.5799696780279737,1,0.2145610796930728,0.6533923303835432,1.086596362714059,0.6666666666666666,0.0,0.0,0.0,188.0575196828719,187.88299654217226,187.78563057890884,188.00828250478466,191.10539698228934,0.2145610796930728,0.11340413050397208,1.086596362714059,0.0,0.6666666666666666,0,0,1,0,1630,188.272,187.933,GBPJPY,0
2025-04-09_0300,0300,BREAKOUT,SELL,2025-04-09 03:20:00,2025-04-09 04:00:00,185.989,186.57,186.57,184.82700000000003,0.5809999999999889,-0.5809999999999889,-1.0,SL_HIT,0.016999999999995907,0.5759493670885649,0.07626481843425813,0.563999999999993,186.288,-0.2990000000000066,2.530197505701847,0,0.22290749980150107,-0.5301418439716495,1.4127742535234404,0.0,0.0,0.0,0.0,186.20397405787153,186.31205357321724,186.51725045149013,187.2041321290419,190.67483722807725,0.22290749980150107,0.11803316740332641,1.4127742535234404,0.0,0.0,0,0,0,0,0300,186.57,186.006,GBPJPY,0
2025-04-09_1000,1000,BREAKOUT,SELL,2025-04-09 10:25:00,2025-04-09 11:00:00,185.766,186.405,186.405,184.48799999999997,0.63900000000001,-0.63900000000001,-1.0,SL_HIT,0.020000000000010232,0.7446808510638426,0.06392060785838209,0.6189999999999998,186.09550000000002,-0.32950000000002433,1.9783428132159129,0,0.31288813842823265,-0.5323101777060169,1.2176707550394155,0.0,0.0,0.0,0.0,186.01486926416365,186.15617599267966,186.28337407643411,186.72857384404608,190.3828090004495,0.31288813842823265,0.16231402519518182,1.2176707550394155,0.0,0.0,0,0,0,0,1000,186.405,185.786,GBPJPY,0
2025-04-09_1630,1630,BREAKOUT,SELL,2025-04-09 17:55:00,2025-04-09 19:10:00,184.39,185.407,185.407,182.35599999999994,1.0170000000000243,-1.0170000000000243,-1.0,SL_HIT,0.26700000000002433,0.8730512249443511,0.9023943434966362,0.75,185.032,-0.6420000000000243,2.5348155716195335,0,0.29587951423259296,-0.8560000000000324,1.0440095579374247,0.0,0.0,0.0,0.0,184.79077963127833,184.8866220945394,185.1166283221997,185.94982657395093,190.048420534035,0.29587951423259296,0.15789291231614877,1.0440095579374247,0.0,0.0,0,0,0,0,1630,185.407,184.657,GBPJPY,0
2025-04-10_0300,0300,BREAKOUT,SELL,2025-04-10 03:25:00,2025-04-10 09:45:00,188.758,189.137,189.137,188.00000000000003,0.3789999999999907,-0.3789999999999907,-1.0,SL_HIT,0.1419999999999959,0.8279569892472609,0.8497751527288866,0.23699999999999477,189.01850000000002,-0.2605000000000075,1.4182866985686442,1,0.16710302665827625,-1.0991561181435159,1.0682005235271885,0.3333333333333333,0.5,0.0,0.0,188.9561076753133,189.0046644876614,188.9120914366413,187.6113440554333,189.8668223361248,0.16710302665827625,0.09431043721033638,1.0682005235271885,0.0,0.3333333333333333,0,0,1,0,0300,189.137,188.9,GBPJPY,0
