WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,Market,RSI_14,RSI_21,StochK_14,StochD_14,ATR14,BodyPct,UpperWickPct,LowerWickPct,CandleLabel,RSI_Diff
2025-02-11_1000,1000,BREAKOUT,SELL,2025-02-11 10:50:00,2025-02-11 14:50:00,2907.69,2892.31,2915.38,2892.31,7.690000000000055,15.38000000000011,2.0,TP_HIT,2.949999999999818,0.9915014164306664,0.98294118833545,4.7400000000002365,2913.01,-5.320000000000164,1.579369909393408,0,3.001196851864006,2911.2689715075817,2912.827683152791,2915.6043348603357,2912.7121336086857,2844.407715757112,3.001196851864006,0.1032158466639843,0.970330942023634,0.0,0.3333333333333333,0,0,0,1,1000,2915.38,2910.64,baseline_breakout,XAUUSD5,35.97905466822161,38.6045304501796,0.0,30.59820771150852,3.001196851864006,0.9915014164306665,0.00849858356933357,0.0,marubozu,-2.625475781957995
2025-02-11_1630,1630,BREAKOUT,SELL,2025-02-11 16:55:00,2025-02-11 17:40:00,2896.64,2904.28,2904.28,2881.359999999999,7.640000000000327,-7.640000000000327,-1.0,SL_HIT,2.4400000000000546,0.7306889352818428,0.6138971915624808,5.200000000000273,2901.6800000000003,-5.040000000000418,1.3083054902151623,0,3.974606878050391,2899.435421745284,2898.102526263399,2899.29657033792,2906.2251398786834,2847.5649125777427,3.974606878050391,0.1372143890179791,0.951066710345612,0.0,0.6666666666666666,0,0,0,1,1630,2904.28,2899.08,baseline_breakout,XAUUSD5,47.475477605173985,47.45576287139848,39.365079365078515,60.396825396824774,3.974606878050391,0.7306889352818428,0.0939457202505796,0.1753653444675777,bearish_full,0.019714733775508364
2025-02-12_0300,300,BREAKOUT,SELL,2025-02-12 03:15:00,2025-02-12 15:20:00,2889.75,2873.63,2897.81,2873.63,8.059999999999945,16.11999999999989,2.0,TP_HIT,1.2800000000002,0.4900000000000091,0.4461723094769893,6.779999999999745,2894.42,-4.670000000000073,2.3633189517604696,0,2.868846794864158,2893.2879408272656,2894.988778331937,2897.104774496243,2901.7526558242903,2852.5279480868303,2.868846794864158,0.0992766431305184,1.7884562184677926,0.0,0.3333333333333333,0,0,0,1,300,2897.81,2891.03,baseline_breakout,XAUUSD5,35.40662965960354,36.83041903258991,3.659976387248557,32.790841607751176,2.868846794864158,0.4900000000000091,0.5099999999999909,0.0,normal,-1.42378937298637
2025-02-12_1630,1630,BREAKOUT,SELL,2025-02-12 16:50:00,2025-02-12 18:45:00,2890.82,2898.0,2898.0,2876.4600000000005,7.179999999999836,-7.179999999999836,-1.0,SL_HIT,1.6099999999996726,0.7967479674796778,0.3801733354795567,5.570000000000164,2895.215,-4.394999999999982,1.3152580612556668,1,4.234910367842587,2891.74408151043,2887.8927542207043,2885.6367539305807,2889.788137379943,2856.834641410921,4.234910367842587,0.1464951248380247,0.848732386534696,0.0,1.0,0,0,1,1,1630,2898.0,2892.43,baseline_breakout,XAUUSD5,56.11195695077388,55.43631244228604,73.52507374631318,81.0571951335466,4.234910367842587,0.7967479674796778,0.1544715447153044,0.04878048780501782,bearish_full,0.6756445084878422
2025-02-13_0300,300,BREAKOUT,SELL,2025-02-13 03:20:00,2025-02-13 03:55:00,2902.15,2907.08,2907.08,2892.2900000000004,4.929999999999836,-4.929999999999836,-1.0,SL_HIT,1.349999999999909,0.7730769230768592,0.676130945779056,3.5799999999999272,2905.29,-3.1399999999998727,1.792999100658618,1,1.9966546545867727,2904.82974201819,2905.114195812091,2903.6715194336266,2897.8394063108085,2861.1663480240773,1.9966546545867727,0.0687991542334742,1.2646258591776152,0.0,0.6666666666666666,0,0,1,1,300,2907.08,2903.5,baseline_breakout,XAUUSD5,40.025453525744325,44.80868859719309,0.0,16.696481812761643,1.9966546545867727,0.7730769230768592,0.22692307692314084,0.0,bearish_full,-4.783235071448765
2025-02-13_1000,1000,BREAKOUT,BUY,2025-02-13 12:45:00,2025-02-13 15:30:00,2919.16,2910.53,2910.53,2936.419999999999,8.629999999999654,-8.629999999999654,-1.0,SL_HIT,1.0599999999999454,0.7050359712230992,0.5161034497856877,7.569999999999709,2914.315,4.8449999999998,3.6857576555450073,1,2.053851801300904,2917.147573911968,2916.047661082175,2915.3000495925635,2909.3456652706163,2865.818171775171,2.053851801300904,0.0703576303217673,0.9245640983363032,0.5,1.0,0,1,1,1,1000,2918.1,2910.53,baseline_breakout,XAUUSD5,62.960257117128656,58.89295595973407,95.07389162561289,84.84571240674683,2.053851801300904,0.7050359712230992,0.21582733812964702,0.0791366906472537,bullish_full,4.0673011573945885
2025-02-13_1630,1630,BREAKOUT,BUY,2025-02-13 16:45:00,2025-02-14 03:25:00,2916.51,2933.710000000001,2907.91,2933.710000000001,8.600000000000364,17.200000000000728,2.0,TP_HIT,0.0400000000004183,0.6925465838508825,0.0119819818465701,8.559999999999945,2912.19,4.3200000000006185,2.564144115139178,1,3.3383459024241784,2913.060833978672,2913.1596785127376,2914.385457606891,2911.562665080183,2867.738634550158,3.3383459024241784,0.114463722134475,1.0353729530021116,0.0,0.3333333333333333,0,0,1,1,1630,2916.47,2907.91,baseline_breakout,XAUUSD5,58.54143636791438,54.717245403235154,99.43820224719154,84.16830380931977,3.3383459024241784,0.6925465838508825,0.018633540372652385,0.28881987577646506,bullish_full,3.824190964679225
2025-02-14_0300,300,BREAKOUT,SELL,2025-02-14 04:15:00,2025-02-14 08:25:00,2927.3,2933.5,2933.5,2914.9000000000005,6.199999999999818,-6.199999999999818,-1.0,SL_HIT,0.5899999999996908,0.3601895734596594,0.3194044386726845,5.610000000000127,2930.695,-3.394999999999527,3.0370489846690503,1,1.847187855157843,2929.075975700032,2929.656556747518,2928.920747505834,2921.932089327034,2873.74205472227,1.847187855157843,0.0631021027963598,1.1691133221423615,0.0,0.6666666666666666,0,0,1,1,300,2933.5,2927.89,baseline_breakout,XAUUSD5,38.13275607301136,43.45754789173656,16.349809885931364,17.260714236861954,1.847187855157843,0.36018957345965946,0.028436018957324522,0.611374407583016,normal,-5.324791818725203
2025-02-14_1000,1000,BREAKOUT,BUY,2025-02-14 10:15:00,2025-02-14 13:45:00,2937.21,2930.88,2930.88,2949.87,6.329999999999927,-6.329999999999927,-1.0,SL_HIT,1.0300000000002,0.5412371134021404,0.4904644320807017,5.299999999999727,2933.53,3.680000000000291,2.523749019443767,1,2.1000503454055206,2934.472768518549,2933.539286525287,2931.888201563753,2926.344483074902,2877.071741698014,2.1000503454055206,0.071498134127472,1.1148904463717488,0.0,1.0,0,0,1,1,1000,2936.18,2930.88,baseline_breakout,XAUUSD5,64.3362183422534,62.17987829169747,98.813056379823,94.04879657105221,2.1000503454055206,0.5412371134021404,0.04123711340202319,0.4175257731958364,normal,2.156340050555933
2025-02-14_1630,1630,BREAKOUT,SELL,2025-02-14 16:50:00,2025-02-14 17:20:00,2921.39,2907.13,2928.52,2907.13,7.130000000000109,14.260000000000218,2.0,TP_HIT,0.2100000000000363,0.4000000000001474,0.0510154715901977,6.920000000000073,2925.06,-3.6700000000000728,1.68108125430529,0,4.116398289658982,2922.8769758270555,2924.254046269785,2927.5195010950047,2928.6231342308797,2880.094807162283,4.116398289658982,0.1409054693025916,1.035086734141336,0.0,0.3333333333333333,0,0,0,1,1630,2928.52,2921.6,baseline_breakout,XAUUSD5,42.72434153522025,42.674380855085076,51.49659863945444,49.92931632850074,4.116398289658982,0.40000000000014746,0.18918918918914931,0.4108108108107032,normal,0.04996068013517174
2025-02-17_0300,300,BREAKOUT,BUY,2025-02-17 03:25:00,2025-02-18 05:05:00,2890.5,2907.28,2882.11,2907.28,8.389999999999873,16.779999999999745,2.0,TP_HIT,1.4200000000000728,0.5317460317461253,0.5036918130609124,6.9699999999998,2885.5950000000003,4.904999999999745,2.472346434531182,0,2.8191841979141907,2887.5047255420845,2886.0073252617867,2885.667528330906,2900.1511647045577,2880.7844912111595,2.8191841979141907,0.0975327520468497,0.9310967956174092,0.0,1.0,0,0,0,1,300,2889.08,2882.11,baseline_breakout,XAUUSD5,62.08314941678862,58.114233504618724,91.8219461697725,88.1133686586892,2.8191841979141907,0.5317460317461253,0.20899470899471345,0.2592592592591612,normal,3.968915912169898
2025-02-18_0300,300,BREAKOUT,BUY,2025-02-18 05:10:00,2025-02-18 21:45:00,2908.65,2936.23,2894.86,2936.23,13.789999999999964,27.579999999999927,2.0,TP_HIT,8.66000000000031,0.7202380952379921,3.793668770339089,5.129999999999654,2897.425,11.224999999999907,2.247288775038975,1,2.282750689176866,2904.216591444378,2901.371642035938,2899.5877470391115,2899.083407320547,2884.756366674737,2.282750689176866,0.0784814497851878,1.1865223103915374,0.0,1.0,0,0,1,1,300,2899.99,2894.86,baseline_breakout,XAUUSD5,75.88957255583185,70.93089322971915,96.53543307086578,92.84967216088909,2.282750689176866,0.7202380952379921,0.26190476190474904,0.017857142857258864,bullish_full,4.958679326112701
2025-02-19_0300,300,BREAKOUT,BUY,2025-02-19 03:35:00,2025-02-19 04:45:00,2934.68,2927.61,2927.61,2948.8199999999997,7.069999999999709,-7.069999999999709,-1.0,SL_HIT,1.5499999999997272,0.7935222672064106,0.9428221364559636,5.519999999999982,2930.37,4.309999999999945,3.3576633504760114,1,1.6440004323892146,2932.4363138932904,2932.4686781532264,2932.768903452167,2925.6916338177243,2892.195859212389,1.6440004323892146,0.0560197511275237,1.390543586399672,0.0,0.3333333333333333,0,0,1,1,300,2933.13,2927.61,baseline_breakout,XAUUSD5,60.12876924509956,56.53354898073943,95.54054054053543,80.18553923698603,1.6440004323892146,0.7935222672064106,0.13360323886653763,0.07287449392705171,bullish_full,3.5952202643601296
2025-02-19_1000,1000,BREAKOUT,BUY,2025-02-19 10:20:00,2025-02-19 11:15:00,2937.62,2945.1799999999994,2933.84,2945.1799999999994,3.779999999999745,7.559999999999491,2.0,TP_HIT,0.2100000000000363,0.1038961038960118,0.1407312878050803,3.569999999999709,2935.625,1.9949999999998909,2.3924318926857557,1,1.4922054880283384,2935.9460740102536,2934.727741409088,2933.287270223342,2929.368235695,2894.8952875667733,1.4922054880283384,0.0507964096114656,0.9281900348678754,0.0,1.0,0,0,1,1,1000,2937.41,2933.84,baseline_breakout,XAUUSD5,67.60997430219186,64.02958130252497,84.82428115015591,91.31569605590083,1.4922054880283384,0.10389610389601185,0.6168831168833087,0.2792207792206795,normal,3.580392999666884
2025-02-19_1630,1630,BREAKOUT,BUY,2025-02-19 16:50:00,2025-02-19 17:55:00,2939.04,2931.3,2931.3,2954.5199999999995,7.739999999999782,-7.739999999999782,-1.0,SL_HIT,1.1599999999998545,0.5965665236051142,0.3505323231276138,6.579999999999927,2934.59,4.449999999999818,1.988364384637899,1,3.3092525951666603,2936.766234321711,2937.024056939773,2937.8512520238964,2934.803374973399,2897.4540921106754,3.3092525951666603,0.1125963782448234,1.0983572071196257,0.0,0.3333333333333333,0,0,1,1,1630,2937.88,2931.3,baseline_breakout,XAUUSD5,55.23712492593136,52.63638745083503,78.56502242152511,66.56106851824977,3.3092525951666603,0.5965665236051142,0.3819742489269959,0.021459227467889898,normal,2.600737475096331
2025-02-20_0300,300,BREAKOUT,SELL,2025-02-20 03:25:00,2025-02-20 05:00:00,2936.54,2941.88,2941.88,2925.86,5.3400000000001455,-5.3400000000001455,-1.0,SL_HIT,2.619999999999891,1.0,1.350972824158338,2.7200000000002547,2940.52,-3.980000000000018,1.4025366724088455,1,1.939343229670192,2939.754770284116,2938.8853780518725,2936.4451563344323,2933.609659691328,2900.7227610280893,1.939343229670192,0.0660417780677325,1.433196972903517,0.0,1.0,0,0,1,1,300,2941.88,2939.16,baseline_breakout,XAUUSD5,42.75549929156241,48.43708550133259,0.0,48.99439595415452,1.9393432296701918,1.0,0.0,0.0,marubozu,-5.681586209770181
2025-02-20_1000,1000,BREAKOUT,BUY,2025-02-20 10:55:00,2025-02-20 13:45:00,2954.62,2948.92,2948.92,2966.0199999999995,5.699999999999818,-5.699999999999818,-1.0,SL_HIT,0.0899999999996907,0.6762589928058566,0.0615063955620905,5.610000000000127,2951.7250000000004,2.894999999999527,3.8338986567169058,1,1.463262465264055,2953.582492952274,2951.932763631473,2948.59680279745,2940.6970701782643,2903.7776805976,1.463262465264055,0.0495245569739612,0.86961329253039,0.0,1.0,0,0,1,1,1000,2954.53,2948.92,baseline_breakout,XAUUSD5,65.85960064203715,65.44099075292513,97.06703910614468,86.88163422800312,1.4632624652640547,0.6762589928058566,0.06474820143895954,0.25899280575518385,bullish_full,0.4186098891120196
