WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2025-05-12_0300,0300,BREAKOUT,BUY,2025-05-12 03:30:00,2025-05-12 05:30:00,163.887,163.728,163.728,164.20499999999998,0.15899999999999181,-0.15899999999999181,-1.0,SL_HIT,0.003999999999990678,0.8769230769229222,0.0562308389472637,0.15500000000000114,163.8055,0.08150000000000546,2.1789450092115628,1,0.0711353427207816,163.81974798007386,163.78327859177665,163.7297280341397,163.58682922981674,162.98829846879258,0.0711353427207816,0.043405116159781806,1.0502369030723042,0.5,1.0,0,1,1,1,0300,163.883,163.728
2025-05-12_1000,1000,BREAKOUT,BUY,2025-05-12 10:55:00,2025-05-13 18:20:00,164.248,165.152,163.796,165.152,0.4519999999999982,0.9039999999999964,2.0,TP_HIT,0.05699999999998795,0.6903553299492071,0.3977749556342039,0.39500000000001023,163.99349999999998,0.2545000000000073,2.756510657465751,1,0.14329710604607665,164.1217008078949,164.0412396057621,163.95123355859653,163.7762722253541,163.04986999407933,0.14329710604607665,0.08724435368837163,1.391611279011663,0.0,1.0,0,0,1,1,1000,164.191,163.796
2025-05-13_1630,1630,BREAKOUT,BUY,2025-05-13 18:25:00,2025-05-14 04:30:00,165.146,164.603,164.603,166.23199999999994,0.542999999999978,-0.542999999999978,-1.0,SL_HIT,0.41699999999997317,0.03174603174617496,5.074547226400547,0.12600000000000477,164.666,0.47999999999998977,1.5333164281211853,1,0.0821748190322307,165.04417540671858,164.92053189872195,164.75472168399546,164.5029050965129,163.4442012722559,0.0821748190322307,0.049758891545802326,1.0114341892938028,0.0,1.0,0,0,1,1,1630,164.729,164.603
2025-05-14_0300,0300,BREAKOUT,SELL,2025-05-14 04:35:00,2025-05-15 03:50:00,164.658,163.67799999999997,165.148,163.67799999999997,0.4900000000000091,0.9800000000000182,2.0,TP_HIT,0.32600000000002183,0.3749999999998816,4.106755976008015,0.16399999999998727,165.066,-0.40800000000001546,2.0659753989730585,0,0.07938139054390837,164.74838199687255,164.851123265329,164.91307533506765,164.81894605929364,163.5858348387775,0.07938139054390837,0.04820985955368605,1.2474969809932894,0.0,0.3333333333333333,0,0,0,1,0300,165.148,164.984
2025-05-15_0300,0300,BREAKOUT,SELL,2025-05-15 03:55:00,2025-05-15 19:05:00,163.631,162.86499999999998,164.014,162.86499999999998,0.3830000000000098,0.7660000000000196,2.0,TP_HIT,0.28700000000000614,0.340659340659375,3.2256697983005025,0.09600000000000364,163.966,-0.33500000000000796,1.078969688630151,0,0.08897376915368611,163.79408819312513,163.86006507782736,163.90355940600278,164.06713739364204,163.6993250672711,0.08897376915368611,0.054374641207158854,1.4735496414082352,0.0,0.0,0,0,0,0,0300,164.014,163.918
2025-05-15_1630,1630,BREAKOUT,SELL,2025-05-15 19:10:00,2025-05-23 14:45:00,162.816,161.634,163.407,161.634,0.5910000000000082,1.1820000000000164,2.0,TP_HIT,0.44700000000000273,0.6447368421054058,6.245726219044715,0.14400000000000546,163.335,-0.5190000000000055,2.0120460302963483,0,0.07156893919509194,162.93390935893345,163.03069449284084,163.15833516250672,163.4435737281151,163.64950944762245,0.07156893919509194,0.0439569447689981,0.9715928455155293,0.0,0.0,0,0,0,0,1630,163.407,163.263
2025-05-23_1630,1630,BREAKOUT,SELL,2025-05-23 16:50:00,2025-05-23 17:35:00,161.618,161.872,161.872,161.10999999999996,0.2540000000000191,-0.2540000000000191,-1.0,SL_HIT,0.016999999999995907,0.2560975609757239,0.13153113710259096,0.2370000000000232,161.7535,-0.1355000000000075,1.8336987937249771,0,0.12924696292054663,161.67679386986077,161.71372197903472,161.93351314242489,162.2517528221815,162.85366367992543,0.12924696292054663,0.07997064864095994,0.7283716088231218,0.5,0.0,0,1,0,0,1630,161.872,161.635
2025-05-26_0300,0300,BREAKOUT,BUY,2025-05-26 03:20:00,2025-05-26 04:00:00,162.532,162.432,162.432,162.73200000000006,0.10000000000002274,-0.10000000000002274,-1.0,SL_HIT,0.005000000000023874,0.11290322580651076,0.06903633607619948,0.09499999999999886,162.47949999999997,0.05250000000003752,1.3116903854415114,1,0.07242562807077535,162.49264260928638,162.44786681383806,162.3047642915222,162.1517131454603,162.76708188109015,0.07242562807077535,0.0445608422161638,0.9928538569255668,0.5,0.6666666666666666,0,1,1,0,0300,162.527,162.432
2025-05-26_1000,1000,BREAKOUT,SELL,2025-05-26 11:15:00,2025-05-27 03:20:00,162.662,162.25000000000003,162.868,162.25000000000003,0.20599999999998886,0.4119999999999777,2.0,TP_HIT,0.04999999999998295,0.8208955223884206,0.8545191716625485,0.1560000000000059,162.79,-0.1279999999999859,2.666099815588162,1,0.05851243793945919,162.72782829214643,162.7531043049753,162.7213434787195,162.4630081990275,162.7569387473533,0.05851243793945919,0.035971793006024266,0.946391402379517,0.0,0.3333333333333333,0,0,1,0,1000,162.868,162.712
2025-05-27_0300,0300,BREAKOUT,SELL,2025-05-27 03:30:00,2025-05-27 07:30:00,162.261,162.419,162.419,161.94499999999996,0.15800000000001546,-0.15800000000001546,-1.0,SL_HIT,0.003999999999990678,0.423076923076818,0.06989698606329266,0.15400000000002478,162.34199999999998,-0.08099999999998886,2.691033963443472,0,0.057227074088267896,162.32237363014488,162.39560428381336,162.4564286722285,162.50014198308415,162.72089421229833,0.057227074088267896,0.03526853285032626,1.4204935526336588,0.0,0.0,0,0,0,0,0300,162.419,162.265
