WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,RSI_14,RSI_21,StochK_14,StochD_14,ATR14,CandleBody,CandleRange,BodyPct,UpperWickPct,LowerWickPct,CandleLabel,RSI_Diff,WinFlag
2025-07-29_1000,1000,BREAKOUT,BUY,2025-07-29 10:30:00,2025-07-29 12:55:00,23425.15,23462.65,23406.4,23462.65,18.75,37.5,2.0,TP_HIT,9.12000000000262,0.5328596802844398,1.4729437919509565,9.62999999999738,23411.215,13.93500000000131,1.5553123592631335,1,6.191682296255798,23417.03071353815,23413.631942759414,23408.60030044,23386.29381801465,23138.179574146696,6.191682296255798,0.0264317722458801,1.2987901703936604,0.0,1.0,0,0,1,1,1000,23416.03,23406.4,baseline_breakout,67.35756579881064,64.02278241019017,95.03296703297856,85.00236330552748,6.191682296255798,3.0,5.629999999997381,0.5328596802844398,0.2007104795733404,0.2664298401422199,normal,3.3347833886204654,1
2025-07-31_0300,300,BREAKOUT,BUY,2025-07-31 03:15:00,2025-07-31 05:55:00,23603.28,23653.78,23578.03,23653.78,25.25,50.5,2.0,TP_HIT,11.87999999999738,0.9119999999998768,1.1804951909925858,13.37000000000262,23584.715,18.56499999999869,1.3285539312775627,1,10.063573397540416,23592.727561291205,23582.79643138645,23532.135539482977,23429.38909244001,23221.44903846431,10.063573397540416,0.0426363344312333,0.8929788056377684,0.5,1.0,0,1,1,1,300,23591.4,23578.03,baseline_breakout,64.8599409063578,64.58635209599741,92.6605504587156,42.81345565749234,10.063573397540416,19.37999999999738,21.25,0.9119999999998768,0.0880000000001232,0.0,marubozu,0.273588810360394,1
2025-09-11_1630,1630,BREAKOUT,BUY,2025-09-11 17:35:00,2025-09-15 16:30:00,23983.9,24179.140000000007,23886.28,24179.140000000007,97.62000000000262,195.24000000000524,2.0,TP_HIT,12.37000000000262,0.8914392059553526,0.4522002812705143,85.25,23928.905,54.99500000000262,3.116416651439223,1,27.35513557233429,23952.680216345623,23940.57913114122,23926.948546801126,23899.83173634886,23692.118307175137,27.35513557233429,0.1140562442819319,1.0378804084637734,0.0,1.0,0,0,1,1,1630,23971.53,23886.28,baseline_breakout,63.3633190286198,61.27678760398787,99.74619289340102,82.54501520051163,27.35513557233429,14.37000000000262,16.12000000000262,0.8914392059553526,0.015508684863521,0.0930521091811263,marubozu,2.0865314246319286,1
2025-09-18_1630,1630,BREAKOUT,BUY,2025-09-18 17:00:00,2025-09-22 17:40:00,24472.78,24670.04,24374.15,24670.04,98.62999999999738,197.2599999999948,2.0,TP_HIT,10.62999999999738,0.7518796992481203,0.286716449800621,88.0,24418.15,54.62999999999738,2.373569857239969,1,37.07495683414518,24434.012683042984,24441.922324465537,24449.96738631281,24392.42394035144,24072.5607694762,37.07495683414518,0.1514946680930617,1.6806363168563474,0.0,0.3333333333333333,0,0,1,1,1630,24462.15,24374.15,baseline_breakout,56.7465308505868,54.40171941968597,95.75289575289575,71.64850540668972,37.07495683414518,25.0,33.25,0.7518796992481203,0.1654135338345864,0.0827067669172932,bullish_full,2.344811430900833,1
2025-10-29_1000,1000,BREAKOUT,BUY,2025-10-29 10:35:00,2025-10-29 11:40:00,26150.1,26124.1,26124.1,26202.1,26.0,-26.0,-1.0,SL_HIT,9.5,0.7731249999999363,0.8854013676560434,16.5,26132.35,17.75,1.5378023754026018,1,10.72959716015541,26136.467471653294,26131.00620397009,26116.353862783984,26038.503934340097,25362.868948284347,10.72959716015541,0.0410308073780039,1.219092404482352,0.0,1.0,0,0,1,1,1000,26140.6,26124.1,baseline_breakout,64.79501629639984,63.81451666251596,94.85294117647058,71.0357242797547,10.72959716015541,12.36999999999898,16.0,0.7731249999999363,0.109375,0.1175000000000636,bullish_full,0.9804996338838804,0
2025-10-30_1000,1000,BREAKOUT,BUY,2025-10-30 10:15:00,2025-10-30 15:15:00,26135.23,26047.9,26047.9,26309.89,87.32999999999811,-87.32999999999811,-1.0,SL_HIT,8.0,0.4781077000503516,0.265759816354629,79.32999999999811,26087.565,47.66499999999724,2.635340778926527,1,30.10236878446976,26102.92021763199,26105.32656808114,26120.038467669805,26116.85572346696,25518.64060340262,30.10236878446976,0.1151792763425833,1.006045575310296,0.5,0.3333333333333333,0,1,1,1,1000,26127.23,26047.9,baseline_breakout,55.8311248725057,52.67800097814133,90.77962577962656,73.65737211271922,30.10236878446976,9.5,19.86999999999898,0.4781077000503516,0.4464016104680139,0.0754906894816344,normal,3.153123894364363,0
