WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode
2025-08-25_1630,1630,BREAKOUT,BUY,2025-08-25 16:55:00,2025-08-25 21:40:00,21531.08,21501.08,21501.08,21591.08,30.0,-30.0,-1.0,SL_HIT,9.780000000002474,0.9752633989921745,0.5362029772925461,20.219999999997526,21511.190000000002,19.889999999999418,1.1085914315798786,1,18.239361611501497,21511.718449863816,21499.988950001363,21485.499520242654,21364.999569410655,21156.0406339829,18.239361611501497,0.08471178227706876,0.8710392589672583,0.0,1.0,0,0,1,1,1630,21521.3,21501.08,baseline_breakout
2025-08-26_1630,1630,BREAKOUT,SELL,2025-08-26 17:30:00,2025-08-26 18:15:00,21466.98,21498.14,21498.14,21404.66,31.159999999999854,-31.159999999999854,-1.0,SL_HIT,9.220000000001164,0.07471980074748066,0.6768407343163252,21.93999999999869,21487.17,-20.18999999999869,1.6106166714639276,1,13.622111572989558,21481.881534999065,21481.72838256432,21491.11955710893,21447.469522532054,21183.35481522673,13.622111572989558,0.06345611526628132,0.8143475984894738,0.5,0.6666666666666666,0,1,1,1,1630,21498.14,21476.2,baseline_breakout
2025-08-27_1630,1630,BREAKOUT,SELL,2025-08-27 16:45:00,2025-08-27 16:55:00,21571.76,21578.42,21578.42,21558.44,6.6599999999998545,-6.6599999999998545,-1.0,SL_HIT,0.3600000000005821,0.9347826086956522,0.02681679527786791,6.299999999999272,21575.269999999997,-3.5099999999983993,0.4692939173618754,1,13.424422876423739,21560.610756519436,21539.9514403653,21518.046946789786,21476.55059410386,21203.254540578953,13.424422876423739,0.062231467791333386,0.8641873483324415,0.0,1.0,0,0,1,1,1630,21578.42,21572.12,baseline_breakout
2025-08-28_1630,1630,BREAKOUT,BUY,2025-08-28 16:45:00,2025-08-29 15:35:00,21656.85,21596.82,21596.82,21776.909999999996,60.029999999998836,-60.029999999998836,-1.0,SL_HIT,24.12999999999738,0.7483697736861763,0.8890832295798027,35.900000000001455,21614.77,42.07999999999811,1.3227554057985773,1,27.140316223714702,21619.577058910516,21608.733640354236,21594.61090197586,21536.778059299315,21230.056184677476,27.140316223714702,0.12531977745477624,1.1549681726298395,0.0,1.0,0,0,1,1,1630,21632.72,21596.82,baseline_breakout
2025-08-29_1630,1630,BREAKOUT,SELL,2025-08-29 16:45:00,2025-09-02 15:30:00,21440.51,21329.949999999993,21495.79,21329.949999999993,55.280000000002474,110.56000000000495,2.0,TP_HIT,20.88000000000102,0.7937254901961412,0.6959896573909342,34.400000000001455,21478.59,-38.080000000001746,1.1466496271191562,0,30.00044580874112,21478.53375091592,21534.690297244022,21600.328879633256,21592.97922314515,21257.191263213397,30.00044580874112,0.13992412404714777,1.1834902028728151,0.0,0.3333333333333333,0,0,0,1,1630,21495.79,21461.39,baseline_breakout
2025-09-02_1630,1630,BREAKOUT,SELL,2025-09-02 16:45:00,2025-09-02 21:50:00,21155.58,21265.19,21265.19,20936.360000000008,109.60999999999694,-109.60999999999694,-1.0,SL_HIT,34.0,0.8898981557941038,0.8305218815175917,75.60999999999694,21227.385000000002,-71.80500000000029,1.8469341018100756,0,40.93811464409903,21219.216978509412,21266.04445083911,21343.8233581113,21479.569858911807,21265.168703557618,40.93811464409903,0.19350977209842052,0.9070861152456465,0.0,0.0,0,0,0,0,1630,21265.19,21189.58,baseline_breakout
2025-09-03_1630,1630,BREAKOUT,SELL,2025-09-03 17:25:00,2025-09-04 15:30:00,21462.18,21546.04,21546.04,21294.46,83.86000000000058,-83.86000000000058,-1.0,SL_HIT,17.989999999997963,0.9821966584497988,0.7311181595309985,65.87000000000262,21513.105,-50.92499999999927,2.676973494625583,1,24.606145758352223,21505.60644544507,21476.92787300452,21387.168575330925,21368.97069538239,21267.478649806617,24.606145758352223,0.11464886492589393,0.7876375039446546,0.5,1.0,0,1,1,1,1630,21546.04,21480.17,baseline_breakout
2025-09-04_1630,1630,BREAKOUT,SELL,2025-09-04 17:10:00,2025-09-04 17:20:00,21537.49,21567.5,21567.5,21477.470000000005,30.0099999999984,-30.0099999999984,-1.0,SL_HIT,0.6799999999966531,0.6224256292910293,0.041330882844273484,29.330000000001746,21552.835,-15.344999999997526,1.7826982262185,1,16.45258831171735,21543.126112809445,21523.587293050725,21488.191732305244,21424.10563815971,21283.20341791181,16.45258831171735,0.07639046291706855,0.7076247897047899,0.0,1.0,0,0,1,1,1630,21567.5,21538.17,baseline_breakout
2025-09-05_1630,1630,BREAKOUT,SELL,2025-09-05 16:45:00,2025-09-05 17:35:00,21582.62,21659.18,21659.18,21429.499999999996,76.56000000000131,-76.56000000000131,-1.0,SL_HIT,18.580000000001746,0.7939042089987847,0.5498416473140632,57.97999999999956,21630.190000000002,-47.57000000000335,1.7158137088948409,1,33.79154724048953,21659.645179165185,21691.276972314925,21666.534573348752,21538.415540899106,21306.239976826964,33.79154724048953,0.15656832785125036,1.2059622053700374,0.0,0.6666666666666666,0,0,1,1,1630,21659.18,21601.2,baseline_breakout
2025-09-08_1630,1630,BREAKOUT,SELL,2025-09-08 17:15:00,2025-09-08 19:50:00,21852.42,21788.27999999999,21884.49,21788.27999999999,32.07000000000335,64.1400000000067,2.0,TP_HIT,7.210000000002765,0.9161947904868115,0.5035102521958762,24.860000000000582,21872.06,-19.640000000003056,1.736097762771841,1,14.31947009729987,21863.170260941242,21838.77605387247,21778.198094312647,21644.94082938064,21344.117181567388,14.31947009729987,0.06552807468143057,0.6733518217352634,1.0,1.0,1,1,1,1,1630,21884.49,21859.63,baseline_breakout
2025-09-09_1630,1630,BREAKOUT,BUY,2025-09-09 16:50:00,2025-09-09 21:55:00,21785.18,21883.78,21735.88,21883.78,49.29999999999927,98.59999999999854,2.0,TP_HIT,8.68999999999869,0.9361064891847487,0.3652989982391007,40.61000000000058,21756.185,28.99499999999898,1.7071107386067121,1,23.788732084917427,21781.744864679833,21795.615219248702,21802.868245829603,21731.369110931686,21371.832223470556,23.788732084917427,0.10919685807010743,1.2640324799979246,0.0,0.3333333333333333,0,0,1,1,1630,21776.49,21735.88,baseline_breakout
2025-09-10_1630,1630,BREAKOUT,SELL,2025-09-10 17:05:00,2025-09-10 18:20:00,21974.51,21927.049999999992,21998.24,21927.049999999992,23.7300000000032,47.4600000000064,2.0,TP_HIT,8.340000000000146,0.5626477541369308,0.6866385657335261,15.390000000003056,21990.545,-16.034999999999854,1.2670704468394343,1,12.1461281323321,21983.166766369686,21962.534950516234,21914.629386815384,21811.47950143673,21412.292971418843,12.1461281323321,0.05527371546547386,0.6676925846226842,1.0,1.0,1,1,1,1,1630,21998.24,21982.85,baseline_breakout
2025-09-11_1630,1630,BREAKOUT,BUY,2025-09-11 17:15:00,2025-09-12 20:30:00,22044.71,22161.21,21986.46,22161.21,58.25,116.5,2.0,TP_HIT,26.37999999999738,0.9736644093302943,1.5993953147346556,31.87000000000262,22002.395,42.31499999999869,1.932249002297298,1,16.493733448490126,22012.970321135013,21984.31068400993,21948.872889524937,21878.20732385303,21449.490618692384,16.493733448490126,0.07481946212261412,0.754431348207681,0.0,1.0,0,0,1,1,1630,22018.33,21986.46,baseline_breakout
2025-09-15_1630,1630,BREAKOUT,SELL,2025-09-15 16:45:00,2025-09-15 16:50:00,22286.35,22294.49,22294.49,22270.069999999992,8.140000000003056,-8.140000000003056,-1.0,SL_HIT,1.069999999999709,0.9003044140029677,0.09225408920713686,7.070000000003347,22290.955,-4.605000000003201,0.6095667389672372,1,11.598401861593933,22282.044669245457,22254.252763793647,22207.585604635886,22083.440838139108,21540.56165859367,11.598401861593933,0.052042626368130875,0.7169934791368204,0.0,1.0,0,0,1,1,1630,22294.49,22287.42,baseline_breakout
2025-09-16_1630,1630,BREAKOUT,SELL,2025-09-16 17:00:00,2025-09-16 19:10:00,22323.86,22353.61,22353.61,22264.36,29.75,-29.75,-1.0,SL_HIT,9.180000000000291,0.9269230769231074,0.7486567197518907,20.56999999999971,22343.325,-19.465000000000146,1.6775456127773078,1,12.26196166788244,22341.315884405063,22339.254385855533,22327.29267303583,22218.38331263058,21602.850864446358,12.26196166788244,0.05492760511794304,0.9512244812175491,0.0,1.0,0,0,1,1,1630,22353.61,22333.04,baseline_breakout
2025-09-17_1630,1630,BREAKOUT,SELL,2025-09-17 17:05:00,2025-09-17 19:40:00,22216.78,22244.16,22244.16,22162.019999999997,27.38000000000102,-27.38000000000102,-1.0,SL_HIT,1.4600000000027649,0.4762773722626017,0.1300121540186177,25.919999999998254,22231.2,-14.420000000001892,2.3081609809287413,0,11.22971933680672,22228.72531511963,22252.658953483424,22287.414270603855,22267.93762786184,21650.92886048601,11.22971933680672,0.05054611575937972,0.7729984226786271,0.0,0.3333333333333333,0,0,0,1,1630,22244.16,22218.24,baseline_breakout
2025-09-18_1630,1630,BREAKOUT,SELL,2025-09-18 16:45:00,2025-09-18 19:05:00,22506.59,22538.39,22538.39,22442.99,31.799999999999272,-31.799999999999272,-1.0,SL_HIT,0.00999999999839929,0.7987421383647734,0.0003995120544961113,31.790000000000873,22522.495,-15.904999999998836,1.270048821446471,1,25.030533837112603,22494.17898726897,22434.265306916095,22351.642248991044,22282.54784748137,21690.204625779934,25.030533837112603,0.11121424363758617,0.6446298274177472,0.5,1.0,1,0,1,1,1630,22538.39,22506.6,baseline_breakout
2025-09-19_1630,1630,BREAKOUT,SELL,2025-09-19 16:45:00,2025-09-19 18:15:00,22534.29,22571.41,22571.41,22460.050000000003,37.11999999999898,-37.11999999999898,-1.0,SL_HIT,10.389999999999418,0.9466840052015956,0.609685586353273,26.729999999999563,22558.045,-23.75499999999738,1.5685173939580013,1,17.041570659633557,22555.53681180413,22545.68175486111,22520.836687505707,22409.444925955133,21747.321976153995,17.041570659633557,0.07562506144916727,0.9466823933797076,0.0,1.0,0,0,1,1,1630,22571.41,22544.68,baseline_breakout
2025-09-22_1630,1630,BREAKOUT,BUY,2025-09-22 16:45:00,2025-09-22 18:15:00,22693.7,22734.860000000004,22673.12,22734.860000000004,20.580000000001746,41.16000000000349,2.0,TP_HIT,1.4000000000014552,0.6810810810794122,0.12562610503461002,19.18000000000029,22682.71,10.9900000000016,1.7210776389723947,1,11.144180579472353,22671.35773629712,22647.203841400416,22614.272294670347,22509.34603364846,21813.29680364514,11.144180579472353,0.04910693531452497,0.8646896178657835,0.0,1.0,0,0,1,1,1630,22692.3,22673.12,baseline_breakout
2025-09-23_1630,1630,BREAKOUT,SELL,2025-09-23 16:45:00,2025-09-23 17:20:00,22710.85,22738.31,22738.31,22655.929999999993,27.460000000002765,-27.460000000002765,-1.0,SL_HIT,4.470000000001164,0.6047582501919971,0.26506886777423433,22.9900000000016,22726.815000000002,-15.965000000003783,1.3632960335857909,1,16.86354205809025,22722.316011800787,22735.479948680753,22742.08529504214,22639.11682433526,21877.84222127577,16.86354205809025,0.07425324044714421,1.0742193263180102,0.0,0.3333333333333333,0,0,1,1,1630,22738.31,22715.32,baseline_breakout
2025-09-24_1630,1630,BREAKOUT,BUY,2025-09-24 16:45:00,2025-09-24 16:55:00,22584.81,22557.97,22557.97,22638.49,26.840000000000146,-26.840000000000146,-1.0,SL_HIT,1.6700000000018917,0.8468208092486746,0.08720708121425598,25.169999999998254,22570.555,14.255000000001019,1.3143725953054994,0,19.149821055229772,22574.312154121926,22574.581394308938,22594.298029168287,22625.864642028024,21928.319781452727,19.149821055229772,0.08479071134638623,0.9559345493647481,0.0,0.3333333333333333,0,0,0,1,1630,22583.14,22557.97,baseline_breakout
2025-09-25_1630,1630,BREAKOUT,BUY,2025-09-25 16:45:00,2025-09-25 17:05:00,22414.55,22371.01,22371.01,22501.63,43.54000000000087,-43.54000000000087,-1.0,SL_HIT,11.25,0.7603048146865778,0.3376537611496129,32.29000000000087,22387.155,27.395000000000437,0.9691413286685595,0,33.31815396249999,22376.986840335343,22375.881467783274,22415.671503910202,22525.958690990126,21962.545180307465,33.31815396249999,0.14864520573689854,0.9176523052094875,0.0,0.6666666666666666,0,0,0,1,1630,22403.3,22371.01,baseline_breakout
2025-09-26_1630,1630,BREAKOUT,BUY,2025-09-26 18:20:00,2025-09-29 15:30:00,22414.79,22624.43,22309.97,22624.43,104.81999999999971,209.63999999999942,2.0,TP_HIT,22.229999999999563,0.9868421052631579,0.931379773534452,82.59000000000015,22351.265,63.525000000001455,3.460308389393254,0,23.867814860999093,22368.750427739826,22364.144810091042,22367.24630978385,22429.47074597808,21999.574053358065,23.867814860999093,0.10648243798402346,0.8285784785164498,0.5,0.6666666666666666,0,1,0,1,1630,22392.56,22309.97,baseline_breakout
2025-09-29_1630,1630,BREAKOUT,SELL,2025-09-29 16:55:00,2025-09-29 17:15:00,22660.77,22616.05,22683.13,22616.05,22.360000000000582,44.720000000001164,2.0,TP_HIT,3.319999999999709,0.561444379732114,0.16252552060560854,19.040000000000873,22673.61,-12.840000000000146,0.932074069979277,1,20.427561084736745,22669.617912051413,22636.834880546503,22562.89474028714,22478.11612825319,22032.301129078616,20.427561084736745,0.09014504398895865,0.798540007568943,0.0,1.0,0,0,1,1,1630,22683.13,22664.09,baseline_breakout
2025-09-30_1630,1630,BREAKOUT,BUY,2025-09-30 16:45:00,2025-09-30 17:25:00,22586.55,22522.62,22522.62,22714.41,63.93000000000029,-63.93000000000029,-1.0,SL_HIT,25.040000000000873,0.8339589950909665,0.8278729366574706,38.88999999999942,22542.065,44.48500000000058,1.2857818892415107,1,30.246187417479355,22549.187814419238,22550.438166193984,22562.78241857799,22530.55258712105,22070.64744687178,30.246187417479355,0.1339123833320244,1.1846227083253058,0.0,0.3333333333333333,0,0,1,1,1630,22561.51,22522.62,baseline_breakout
2025-10-01_1630,1630,BREAKOUT,BUY,2025-10-01 17:00:00,2025-10-01 18:55:00,22656.13,22714.830000000005,22626.78,22714.830000000005,29.350000000002183,58.700000000004366,2.0,TP_HIT,0.1500000000014552,0.08974358974370933,0.007834303167835044,29.200000000000728,22641.379999999997,14.750000000003638,1.525077683323798,1,19.146565659764565,22639.978576319336,22621.633113407926,22599.28039477569,22559.33914137784,22111.856652380193,19.146565659764565,0.08450942707234009,0.6383127670064058,0.5,1.0,1,0,1,1,1630,22655.98,22626.78,baseline_breakout
2025-10-02_1630,1630,BREAKOUT,SELL,2025-10-02 16:45:00,2025-10-02 20:10:00,22796.81,22839.67,22839.67,22711.090000000007,42.859999999996944,-42.859999999996944,-1.0,SL_HIT,17.520000000000437,1.0,0.826371958393431,25.339999999996508,22827.0,-30.18999999999869,1.1952206293199847,1,21.201106622811206,22821.786456590246,22810.594393595922,22776.886524195812,22664.409498688663,22150.806014432983,21.201106622811206,0.09300032163627808,0.9848189413916849,0.0,1.0,0,0,1,1,1630,22839.67,22814.33,baseline_breakout
