WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,RSI_14,RSI_21,StochK_14,StochD_14,ATR14,CandleBody,CandleRange,BodyPct,UpperWickPct,LowerWickPct,CandleLabel,RSI_Diff,WinFlag
2025-07-31_0300,300,BREAKOUT,BUY,2025-07-31 03:15:00,2025-07-31 05:55:00,23603.28,23653.78,23578.03,23653.78,25.25,50.5,2.0,TP_HIT,11.87999999999738,0.9119999999998768,1.1804951909925858,13.37000000000262,23584.715,18.56499999999869,1.3285539312775627,1,10.063573397540416,23592.727561291205,23582.79643138645,23532.135539482977,23429.38909244001,23221.44903846431,10.063573397540416,0.0426363344312333,0.8929788056377684,0.5,1.0,0,1,1,1,300,23591.4,23578.03,baseline_breakout,64.8599409063578,64.58635209599741,92.6605504587156,42.81345565749234,10.063573397540416,19.37999999999738,21.25,0.9119999999998768,0.0880000000001232,0.0,marubozu,0.273588810360394,1
2025-09-11_1630,1630,BREAKOUT,BUY,2025-09-11 17:35:00,2025-09-15 16:30:00,23983.9,24179.140000000007,23886.28,24179.140000000007,97.62000000000262,195.24000000000524,2.0,TP_HIT,12.37000000000262,0.8914392059553526,0.4522002812705143,85.25,23928.905,54.99500000000262,3.116416651439223,1,27.35513557233429,23952.680216345623,23940.57913114122,23926.948546801126,23899.83173634886,23692.118307175137,27.35513557233429,0.1140562442819319,1.0378804084637734,0.0,1.0,0,0,1,1,1630,23971.53,23886.28,baseline_breakout,63.3633190286198,61.27678760398787,99.74619289340102,82.54501520051163,27.35513557233429,14.37000000000262,16.12000000000262,0.8914392059553526,0.015508684863521,0.0930521091811263,marubozu,2.0865314246319286,1
2025-10-01_1000,1000,BREAKOUT,BUY,2025-10-01 11:30:00,2025-10-01 17:15:00,24489.28,24636.28,24415.78,24636.28,73.5,147.0,2.0,TP_HIT,21.75,0.8543046357615894,1.2522215923911522,51.75,24441.655,47.625,2.979423788792741,0,17.369130297831525,24457.242040556204,24461.98258787748,24490.793735252504,24550.71016764668,24492.067162503765,17.369130297831525,0.0709254428788087,0.9385601776353076,0.0,0.0,0,0,0,0,1000,24467.53,24415.78,baseline_breakout,59.73163835402716,52.20606171687463,91.11182934712308,70.72050219513557,17.369130297831525,32.25,37.75,0.8543046357615894,0.1456953642384106,0.0,bullish_full,7.525576637152531,1
2025-11-05_1000,1000,BREAKOUT,BUY,2025-11-05 11:05:00,2025-11-05 12:50:00,25420.95,25330.7,25330.7,25601.45,90.25,-90.25,-1.0,SL_HIT,14.0,0.6853173113030154,0.6077703145245258,76.25,25368.825,52.125,3.3101776058925063,0,23.03501777797844,25401.830709150432,25393.127066882225,25380.93567357492,25428.79125204141,25672.99206119365,23.03501777797844,0.0906143074038477,1.0445674941646974,0.0,0.6666666666666666,0,0,0,0,1000,25406.95,25330.7,baseline_breakout,60.09354684375949,57.71234907460981,95.62407289679912,84.14471387042006,23.03501777797844,18.25,26.63000000000102,0.6853173113030154,0.155088246338748,0.1595944423582364,bullish_full,2.3811977691496864,0
