WindowID,EntryTime,Type,Status,MAE,MFE,BarsTracked,EntryPrice,StopPrice,TargetPrice,Bar1_Close,Bar3_Close,Bar5_Close,Bar10_Close
2025-07-07_0300,2025-07-07 03:40:00,SELL,SL_HIT,-16.0,52.12999999999738,20,22767.53,22800.28,22702.03,22767.53,22771.78,22746.03,22755.9
2025-07-07_1630,2025-07-07 17:55:00,SELL,SL_HIT,-61.599999999998545,62.590000000000146,20,22698.63,22776.15,22543.59,22698.63,22708.73,22707.32,22715.81
2025-07-08_1000,2025-07-08 11:00:00,BUY,SL_HIT,-20.25,14.5,20,22754.78,22728.65,22807.039999999997,22754.78,22753.03,22756.4,22752.28
2025-07-08_1630,2025-07-08 16:55:00,SELL,SL_HIT,-59.080000000001746,40.95999999999913,20,22687.03,22748.9,22563.289999999997,22687.03,22684.15,22686.43,22731.31
2025-07-09_0300,2025-07-09 03:30:00,SELL,SL_HIT,-34.75,11.12000000000262,19,22672.9,22706.15,22606.4,22672.9,22685.4,22686.03,22688.28
2025-07-09_1000,2025-07-09 12:10:00,BUY,TP_HIT,-16.25,33.12000000000262,20,22716.28,22682.9,22783.039999999997,22716.28,22735.9,22737.03,22731.28
2025-07-09_1630,2025-07-09 16:45:00,BUY,SL_HIT,-121.76000000000204,25.75,11,22892.4,22785.53,23106.140000000007,22892.4,22893.65,22896.3,22805.44
2025-07-10_0300,2025-07-10 03:25:00,SELL,SL_HIT,-9.119999999998981,24.88000000000102,20,22822.18,22844.3,22777.94,22822.18,22822.18,22821.68,22813.05
2025-07-10_1000,2025-07-10 11:25:00,BUY,SL_HIT,-24.75,13.369999999998981,20,22845.93,22792.55,22952.69,22845.93,22849.43,22844.68,22851.3
2025-07-10_1630,2025-07-10 16:55:00,SELL,SL_HIT,-49.01000000000204,58.86999999999898,20,22769.55,22898.8,22511.05,22769.55,22739.8,22774.05,22783.73
2025-07-22_0300,2025-07-22 03:20:00,BUY,SL_HIT,-15.25,2.1299999999973807,7,23201.65,23188.15,23228.65,23201.65,23198.9,23191.9,
2025-07-22_1000,2025-07-22 10:55:00,SELL,SL_HIT,-13.12000000000262,35.0,20,23147.28,23189.15,23063.539999999997,23147.28,23152.28,23151.9,23123.9
