<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NDQ,5,20250613,163000,19381.11,19415.9,19379.82,19411.18,88131617,0
^NDQ,5,20250613,163500,19410.03,19454.11,19410.03,19452.77,93455470,0
^NDQ,5,20250613,164000,19450.07,19474.92,19448.89,19448.89,77517943,0
^NDQ,5,20250613,164500,19448.3,19459.91,19432.64,19439.28,104747777,0
^NDQ,5,20250613,165000,19438.21,19483.01,19434.57,19478.29,98026004,0
^NDQ,5,20250613,165500,19481.43,19493.49,19479.64,19483.3,62399508,0
^NDQ,5,20250613,170000,19482.89,19489.59,19479.25,19488.31,75511393,0
^NDQ,5,20250613,170500,19488.05,19504.11,19488.05,19500.67,65650926,0
^NDQ,5,20250613,171000,19500.09,19506.92,19487.9,19506.92,81884350,0
^NDQ,5,20250613,171500,19506.53,19511.29,19495.37,19504.91,80440753,0
^NDQ,5,20250613,172000,19510.11,19538.7,19506.37,19527.49,79953485,0
^NDQ,5,20250613,172500,19520.61,19533.83,19520.61,19533.63,60170632,0
^NDQ,5,20250613,173000,19537.46,19544.99,19534.91,19540.74,54115612,0
^NDQ,5,20250613,173500,19539.54,19540.63,19530.6,19540.27,34983346,0
^NDQ,5,20250613,174000,19538.55,19551.32,19533.03,19550.77,48240126,0
^NDQ,5,20250613,174500,19550.51,19564.4,19549.57,19561.18,46690031,0
^NDQ,5,20250613,175000,19564.49,19575.26,19563.69,19575.06,36915695,0
^NDQ,5,20250613,175500,19573.12,19573.12,19555.73,19568.12,35235762,0
^NDQ,5,20250613,180000,19567.85,19569.33,19556.82,19560.91,41092784,0
^NDQ,5,20250613,180500,19560.17,19572.88,19559.45,19572.45,32379470,0
^NDQ,5,20250613,181000,19572.5,19587.52,19572.5,19586.31,34756387,0
^NDQ,5,20250613,181500,19581.81,19591.26,19577.19,19585.86,38046829,0
^NDQ,5,20250613,182000,19583.7,19591.34,19574.84,19587.67,38031333,0
^NDQ,5,20250613,182500,19589.24,19590.53,19563.61,19565.96,33478673,0
^NDQ,5,20250613,183000,19566.99,19576.63,19565.58,19574.61,29507231,0
^NDQ,5,20250613,183500,19574.32,19580.18,19558.06,19558.29,35496850,0
^NDQ,5,20250613,184000,19557.47,19565.8,19554.31,19559.53,33686473,0
^NDQ,5,20250613,184500,19559.65,19559.65,19550.09,19553.03,31143080,0
^NDQ,5,20250613,185000,19552.92,19573.23,19552.31,19572.57,36230992,0
