epoch,loss,val_loss,accuracy,val_accuracy
1,0.7662733197212219,0.6856458187103271,0.4938271641731262,0.5727699398994446
2,0.7339345812797546,0.686908483505249,0.5185185074806213,0.5704225301742554
3,0.7183968424797058,0.6835646033287048,0.5373309850692749,0.5727699398994446
4,0.7209538817405701,0.683957576751709,0.5138154029846191,0.5727699398994446
5,0.7213712334632874,0.6784964799880981,0.5008818507194519,0.5727699398994446
6,0.7183613181114197,0.7433142066001892,0.5202822089195251,0.5704225301742554
7,0.7221303582191467,0.6898269057273865,0.49735450744628906,0.5727699398994446
8,0.7043443918228149,0.687724232673645,0.527336835861206,0.5727699398994446
9,0.7096974849700928,0.6876148581504822,0.5249853134155273,0.5727699398994446
10,0.7049316763877869,0.6822906732559204,0.5196942687034607,0.5704225301742554
11,0.7116570472717285,0.8342402577400208,0.5167548656463623,0.5727699398994446
12,0.7074106931686401,0.682941198348999,0.527336835861206,0.5892018675804138
13,0.7096829414367676,0.6906862258911133,0.5085244178771973,0.5375586748123169
14,0.698029100894928,0.6885603666305542,0.5220458507537842,0.5328638553619385
15,0.7003282904624939,0.686430811882019,0.5390946269035339,0.5469483733177185
16,0.6990410089492798,0.6874915361404419,0.5532039999961853,0.5375586748123169
17,0.6950355768203735,0.6836168766021729,0.5379188656806946,0.5586854219436646
18,0.7082023024559021,0.7980569005012512,0.5055849552154541,0.5492957830429077
19,0.7003918886184692,0.6871601939201355,0.527336835861206,0.5446009635925293
20,0.6980769038200378,0.7579590678215027,0.527336835861206,0.579812228679657
21,0.7020545601844788,0.8108677268028259,0.5249853134155273,0.5680751204490662
22,0.6954739689826965,0.683258056640625,0.5349794030189514,0.5751173496246338
23,0.6999673247337341,0.6880143284797668,0.5114638209342957,0.5704225301742554
24,0.7005365490913391,0.6838746666908264,0.5267489552497864,0.577464759349823
25,0.6989932656288147,0.7062782049179077,0.517342746257782,0.5727699398994446
