WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EntryOffsetRatio,ATR_Ratio_Entry,Trend_Score_Entry,Consolidation_Score_Entry,MaxRetestDepth,MaxMaeRatio,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2024-11-28_1000,1000,BREAKOUT,BUY,2024-11-28 10:35:00,2024-11-28 10:55:00,2639.71,2644.534,2637.2980000000002,2644.534,2.411999999999989,4.824000000000069,2.0000000000000377,TP_HIT,1.1799999999998363,0.35576923076913824,0.7930273285368731,2.8400000000001455,2637.11,2.599999999999909,1.9086420449535146,1,1.4879688978397803,0.9154929577463999,0.9141902826114939,0.6666666666666666,0.0,1.1774461028193028,0.04560530679938965,2638.410029820601,2637.38176279848,2635.497041810304,2635.1177022376555,2641.5185012004367,1.4879688978397803,0.0563686502623311,0.9141902826114939,0.0,0.6666666666666666,0,0,1,0,1000,2638.53,2635.69
2024-11-29_1000,1000,BREAKOUT,BUY,2024-11-29 11:45:00,2024-11-29 13:55:00,2662.6,2659.59,2658.94,2669.9199999999996,3.659999999999945,-3.0099999999997635,-0.8224043715846472,FILTER_EXIT,0.06999999999970896,0.7981366459625794,0.031781481586157276,6.0300000000002,2659.5150000000003,3.0849999999995816,2.737747628076164,1,2.20254048918217,0.5116086235488357,1.096209246744094,1.0,0.0,1.6475409836066368,0.8606557377049558,2659.952626050198,2659.529961761628,2659.488020905802,2652.3588766158423,2643.092593419984,2.20254048918217,0.08272141850755539,1.096209246744094,0.0,1.0,0,0,1,1,1000,2662.53,2656.5
2024-11-29_1630,1630,BREAKOUT,BUY,2024-11-29 18:00:00,2024-11-29 18:05:00,2659.63,2658.43,2656.66,2665.5700000000006,2.9700000000001636,-1.2000000000002728,-0.40404040404047364,FILTER_EXIT,0.36999999999989086,0.23825503355705774,0.13154846154194216,4.580000000000382,2656.9700000000003,2.6599999999998545,1.6283566320603327,1,2.812651669680851,0.5807860262007931,1.0091436368387134,0.6666666666666666,0.0,1.5420875420875857,0.40404040404047364,2656.3848662327437,2656.2997552742986,2657.6892372745665,2655.942901793649,2644.185072270589,2.812651669680851,0.10575349464703176,1.0091436368387134,0.0,0.6666666666666666,0,0,1,1,1630,2659.26,2654.68
2024-12-02_1000,1000,BREAKOUT,BUY,2024-12-02 10:20:00,2024-12-02 10:25:00,2632.49,2630.11,2629.112,2639.245999999999,3.3779999999997927,-2.3799999999996544,-0.7045589105979279,FILTER_EXIT,0.6299999999996544,0.7892857142855136,0.28909757224423716,5.0,2629.36,3.1299999999996544,2.2944251765428234,0,2.1791950555275297,0.6259999999999308,1.1084511316008703,0.6666666666666666,0.0,1.4801657785672904,0.7164002368264555,2630.3798168565086,2629.346409565123,2628.8959118197627,2638.6797507652936,2643.2220232849972,2.1791950555275297,0.08278075341321449,1.1084511316008703,0.0,0.6666666666666666,0,0,0,0,1000,2631.86,2626.86
2024-12-03_1000,1000,BREAKOUT,BUY,2024-12-03 11:15:00,2024-12-03 11:30:00,2646.82,2645.23,2642.9320000000002,2654.596,3.8880000000000106,-1.5900000000001455,-0.40895061728398696,FILTER_EXIT,1.4400000000000546,0.35233160621779724,0.6133086815248137,5.039999999999964,2642.86,3.9600000000000364,2.146580385336751,1,2.347920457313458,0.7857142857142986,1.2668260535491318,1.0,0.0,1.2962962962962834,0.5478395061728661,2644.667787918555,2643.9413165919946,2643.3866860778994,2641.3616762701195,2642.6935136978473,2.347920457313458,0.08870722063885939,1.2668260535491318,0.0,1.0,0,0,1,1,1000,2645.38,2640.34
2024-12-04_1630,1630,BREAKOUT,BUY,2024-12-04 17:25:00,2024-12-04 17:45:00,2653.81,2652.04,2651.308,2658.814,2.5020000000000437,-1.7699999999999818,-0.7074340527577742,FILTER_EXIT,0.3400000000001455,0.5061425061424724,0.11540474765310807,3.8299999999999272,2651.555,2.255000000000109,1.300000539738842,1,2.9461526229591706,0.5887728459530422,0.9165283180004653,1.0,0.0,1.5307753796961872,0.8752997601918531,2651.389477969781,2649.590361148209,2646.9684581905403,2644.7123087836376,2643.2477065540234,2.9461526229591706,0.11101595905355585,0.9165283180004653,0.0,1.0,0,0,1,1,1630,2653.47,2649.64
2024-12-06_1000,1000,BREAKOUT,BUY,2024-12-06 10:45:00,2024-12-06 11:25:00,2642.14,2642.33,2640.1,2646.22,2.0400000000000547,0.19000000000005457,0.09313725490198504,FILTER_EXIT,0.6399999999998727,0.09401709401702094,0.3568790205113472,2.7600000000002183,2640.12,2.019999999999982,1.5390407759556126,1,1.7933248053720308,0.73188405797095,1.1351378214015584,0.6666666666666666,0.0,1.352941176470659,0.6666666666664883,2640.4018440331024,2639.552797423485,2638.3756795518398,2636.395004768494,2642.6714390380953,1.7933248053720308,0.06787395086452766,1.1351378214015584,0.0,0.6666666666666666,0,0,1,0,1000,2641.5,2638.74
2024-12-09_0300,0300,BREAKOUT,BUY,2024-12-09 03:15:00,2024-12-09 05:25:00,2646.22,2641.78,2637.046,2664.5679999999998,9.173999999999978,-4.4399999999996,-0.48397645519943433,FILTER_EXIT,2.6299999999996544,0.8514851485147601,0.7589596580032205,12.66000000000031,2637.26,8.959999999999582,3.6533951598183534,1,3.465269823325042,0.7077409162716716,1.2317004939968075,1.0,0.0,1.3799869195553018,0.6365816437758562,2637.281307433743,2635.6980924327627,2635.518285930687,2636.0834126397735,2641.8002423746893,3.465269823325042,0.13095169046130112,1.2317004939968075,0.0,1.0,0,0,1,1,0300,2643.59,2630.93
2024-12-09_1630,1630,BREAKOUT,BUY,2024-12-09 16:45:00,2024-12-09 17:30:00,2672.83,2670.46,2668.93,2680.63,3.9,-2.369999999999891,-0.6076923076922798,FILTER_EXIT,0.2899999999999636,0.14144736842100047,0.10059414975711671,6.210000000000036,2669.435,3.394999999999982,2.1541023103164716,1,2.8828714264215654,0.5466988727858232,1.1671578411501644,1.0,0.0,1.5923076923077017,0.725641025641007,2668.666719686813,2664.975723244256,2660.4322011845934,2649.866427649869,2643.0128968486283,2.8828714264215654,0.10785839078510662,1.1671578411501644,0.0,1.0,0,0,1,1,1630,2672.54,2666.33
2024-12-10_0300,0300,BREAKOUT,BUY,2024-12-10 04:25:00,2024-12-10 05:15:00,2668.02,2665.95,2664.936,2674.1879999999996,3.0839999999999237,-2.0700000000001637,-0.6712062256810035,FILTER_EXIT,1.449999999999818,0.3350000000000364,0.6668563913339656,3.6900000000000546,2664.7250000000004,3.294999999999618,1.6970345407052951,1,2.1743811993752784,0.8929539295391786,1.1354243137032665,1.0,0.0,1.1964980544747554,0.8365758754863785,2667.299792888107,2665.355413769634,2663.3349937265634,2659.402252760758,2645.197666360036,2.1743811993752784,0.08149793477467479,1.1354243137032665,0.0,1.0,0,0,1,1,0300,2666.57,2662.88
2024-12-10_1000,1000,BREAKOUT,BUY,2024-12-10 12:00:00,2024-12-10 12:05:00,2665.85,2665.16,2663.5460000000003,2670.4579999999996,2.303999999999814,-0.6900000000000546,-0.2994791666667145,FILTER_EXIT,0.27999999999974534,0.5704225352111999,0.1433042145117379,3.5599999999999454,2663.79,2.0599999999999454,1.8220107273651538,1,1.9538853128203766,0.578651685393252,1.044152773653527,0.6666666666666666,0.0,1.5451388888889899,0.6119791666666529,2664.8416654477164,2664.7173408054455,2665.6815747170176,2664.0962350496793,2646.983532299741,1.9538853128203766,0.07329314525649894,1.044152773653527,0.0,0.6666666666666666,0,0,1,1,1000,2665.57,2662.01
2024-12-10_1630,1630,BREAKOUT,BUY,2024-12-10 16:50:00,2024-12-10 16:55:00,2691.09,2688.88,2687.214,2698.842,3.8760000000000217,-2.2100000000000364,-0.5701754385964974,FILTER_EXIT,1.2100000000000364,0.5404255319149068,0.5061823062847899,5.25,2687.255,3.8350000000000364,2.196245543797576,1,2.3904430972331583,0.7304761904761974,0.9883422082893865,1.0,0.0,1.3544891640866796,0.6604747162022526,2687.0148197118833,2683.0460898102438,2678.2058788522168,2669.811107398276,2648.29605219576,2.3904430972331583,0.08882806213219023,0.9883422082893865,0.0,1.0,0,0,1,1,1630,2689.88,2684.63
2024-12-11_0300,0300,BREAKOUT,BUY,2024-12-11 03:30:00,2024-12-11 03:40:00,2701.52,2700.66,2698.502,2707.556,3.01800000000012,-0.8600000000001273,-0.2849569251160017,FILTER_EXIT,0.4600000000000364,0.4911242603549707,0.2200090380861616,4.570000000000164,2698.7749999999996,2.7450000000003456,2.185741965334163,1,2.09082319527204,0.600656455142286,1.149168194003163,1.0,0.0,1.5142478462557925,1.0768721007289168,2700.1316941940236,2698.6488349326787,2696.259380069372,2686.367511544753,2652.6616352263018,2.09082319527204,0.07739432598211526,1.149168194003163,0.0,1.0,0,0,1,1,0300,2701.06,2696.49
2024-12-11_1000,1000,BREAKOUT,BUY,2024-12-11 12:35:00,2024-12-11 12:40:00,2693.55,2692.52,2690.004,2700.6420000000007,3.5460000000001854,-1.0300000000002,-0.29046813310776826,FILTER_EXIT,0.9500000000002728,0.7697841726618658,0.3220659987143349,4.960000000000036,2690.12,3.430000000000291,1.6815235301291094,1,2.9497059726658725,0.6915322580645697,1.1107328000884966,1.0,0.0,1.3987591652565643,0.37225042301187106,2695.9922446278865,2694.6394453200924,2693.1260604774434,2690.550792683393,2656.081235829029,2.9497059726658725,0.10950997652413627,1.1107328000884966,0.0,1.0,0,0,1,1,1000,2692.6,2687.64
2024-12-11_1630,1630,BREAKOUT,BUY,2024-12-11 16:50:00,2024-12-11 17:35:00,2704.49,2714.1019999999994,2699.6839999999997,2714.1019999999994,4.805999999999858,9.611999999999625,1.9999999999999811,TP_HIT,2.3099999999999454,0.8902743142143428,0.7262722062510432,5.699999999999818,2699.33,5.1599999999998545,1.7921002491908709,1,3.1806256388688943,0.9052631578947402,1.0549579437734606,1.0,0.0,1.1860174781523067,0.0,2701.343168232643,2700.0293821305154,2697.903654286156,2693.3525764163937,2657.795202456914,3.1806256388688943,0.11760537620286614,1.0549579437734606,0.0,1.0,0,0,1,1,1630,2702.18,2696.48
2024-12-16_0300,0300,BREAKOUT,BUY,2024-12-16 03:45:00,2024-12-16 07:10:00,2652.09,2650.66,2648.904,2658.462,3.185999999999967,-1.430000000000291,-0.44883866917774823,FILTER_EXIT,0.45000000000027285,0.6693548387097366,0.23276230274457538,4.859999999999673,2649.21,2.880000000000109,2.5138328696397205,0,1.9333027500337372,0.592592592592655,1.0843712352414023,0.6666666666666666,0.0,1.5254237288134722,0.7219083490270577,2652.153241242717,2651.1850926243,2651.1406111026045,2660.179726735763,2669.2449828969675,1.9333027500337372,0.07289732814624456,1.0843712352414023,0.0,0.6666666666666666,0,0,0,0,0300,2651.64,2646.78
2024-12-16_1000,1000,BREAKOUT,BUY,2024-12-16 11:35:00,2024-12-16 13:20:00,2656.58,2661.728,2654.006,2661.728,2.573999999999978,5.148000000000138,2.0000000000000706,TP_HIT,1.3099999999999454,0.6432748538011027,0.736127693107015,2.980000000000018,2653.7799999999997,2.800000000000182,1.6745500194343583,0,1.7795825537696535,0.9395973154362969,0.991717734968656,0.6666666666666666,0.0,1.1577311577311746,0.31857031857020823,2657.657298373865,2657.1465403621983,2655.6369786796945,2656.6768034234274,2668.102225283325,1.7795825537696535,0.06698772684314622,0.991717734968656,0.0,0.6666666666666666,0,0,0,0,1000,2655.27,2652.29
