WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Market,is_win
2025-04-25_1630,1630,BREAKOUT,BUY,2025-04-25 17:45:00,2025-04-25 20:50:00,191.564,191.225,191.225,192.242,0.3389999999999986,-0.3389999999999986,-1.0,SL_HIT,0.0420000000000015,0.6160714285713538,0.3055893584050721,0.296999999999997,191.3735,0.1905000000000143,2.1609533201500493,1,0.1374393408828351,191.44734933928527,191.3413464538125,191.1524525953145,190.7328641399288,189.2513659288471,0.1374393408828351,0.0717459130540368,1.028553903695315,0.0,1.0,0,0,1,1,1630,191.522,191.225,GBPJPY,False
2025-04-28_0300,300,BREAKOUT,SELL,2025-04-28 03:30:00,2025-04-28 08:35:00,190.913,191.19,191.19,190.35900000000004,0.2769999999999868,-0.2769999999999868,-1.0,SL_HIT,0.0079999999999813,0.1649484536081417,0.078427433817642,0.2690000000000054,191.0555,-0.142499999999984,2.6371224621244136,0,0.1020051225771686,191.00622740317456,191.07735151231623,191.1378507159589,191.08397816169824,189.44979172879349,0.1020051225771686,0.0534301606371324,1.1865477840733158,0.0,0.3333333333333333,0,0,0,1,300,191.19,190.921,GBPJPY,False
2025-04-28_1000,1000,BREAKOUT,SELL,2025-04-28 10:35:00,2025-04-28 11:25:00,191.156,191.313,191.313,190.84200000000004,0.1569999999999822,-0.1569999999999822,-1.0,SL_HIT,0.0039999999999906,0.08988764044923,0.0420512899376785,0.1529999999999916,191.2365,-0.0804999999999722,1.6084618401198632,1,0.0951219333798991,191.2091854849612,191.18516612273623,191.10893183261567,191.04871622268325,189.554368886429,0.0951219333798991,0.0497614165288555,1.0931691513604345,0.0,1.0,0,0,1,1,1000,191.313,191.16,GBPJPY,False
2025-04-28_1630,1630,BREAKOUT,SELL,2025-04-28 16:55:00,2025-04-28 17:35:00,191.239,191.409,191.409,190.89900000000003,0.1699999999999875,-0.1699999999999875,-1.0,SL_HIT,0.0099999999999909,0.0,0.1054343889396837,0.1599999999999966,191.329,-0.0900000000000034,1.6869502230364382,1,0.0948457149565465,191.2829646984888,191.27780780283763,191.27750052580785,191.1831100701349,189.65600570801283,0.0948457149565465,0.0495953832411519,1.173570007923552,0.0,1.0,0,0,1,1,1630,191.409,191.249,GBPJPY,False
2025-04-29_0300,300,BREAKOUT,SELL,2025-04-29 03:45:00,2025-04-29 04:40:00,190.848,191.056,191.056,190.432,0.2079999999999984,-0.2079999999999984,-1.0,SL_HIT,0.0199999999999818,0.9133858267714704,0.2379889798834376,0.1880000000000166,190.962,-0.1139999999999759,2.237096410906546,0,0.0840375046347836,190.94390657385176,190.98149167343016,190.9773258814,191.0273744663808,189.79164008044228,0.0840375046347836,0.0440337360804323,1.1199036729059748,0.0,0.6666666666666666,0,0,0,1,300,191.056,190.868,GBPJPY,False
2025-04-29_1000,1000,BREAKOUT,BUY,2025-04-29 11:15:00,2025-04-29 13:45:00,191.179,190.948,190.948,191.641,0.2309999999999945,-0.2309999999999945,-1.0,SL_HIT,0.0579999999999927,0.9457013574661838,0.533696139510626,0.1730000000000018,191.0345,0.1444999999999936,1.5918867609543252,1,0.1086760718433825,191.0494774184021,191.03231093508225,191.0184066662841,191.02092003928476,189.88920435060624,0.1086760718433825,0.0568451931662905,1.153190807224405,0.0,1.0,0,0,1,1,1000,191.121,190.948,GBPJPY,False
2025-04-29_1630,1630,BREAKOUT,BUY,2025-04-29 16:50:00,2025-04-29 17:00:00,190.828,190.553,190.553,191.378,0.2750000000000057,-0.2750000000000057,-1.0,SL_HIT,0.0720000000000027,0.853773584905759,0.5774530907462807,0.2030000000000029,190.6545,0.1735000000000184,1.6280969086318366,0,0.1246854526433521,190.71444294057025,190.7821187090749,190.8912417918941,190.99633254803047,189.93893915291056,0.1246854526433521,0.0653391811701386,1.2202586120523784,0.0,0.3333333333333333,0,0,0,1,1630,190.756,190.553,GBPJPY,False
2025-04-30_0300,300,BREAKOUT,BUY,2025-04-30 03:50:00,2025-04-30 05:25:00,190.956,190.673,190.673,191.522,0.282999999999987,-0.282999999999987,-1.0,SL_HIT,0.100999999999999,0.7927927927927074,1.0418560566412334,0.1819999999999879,190.764,0.1919999999999788,1.8774039832543925,1,0.0969423744827149,190.8026395844982,190.774745895608,190.74509925291903,190.7756229666371,190.0163461505828,0.0969423744827149,0.0507668648708157,1.370320940267719,0.0,1.0,0,0,1,1,300,190.855,190.673,GBPJPY,False
2025-04-30_1000,1000,BREAKOUT,BUY,2025-04-30 10:20:00,2025-04-30 11:00:00,191.204,190.974,190.974,191.66400000000004,0.2300000000000182,-0.2300000000000182,-1.0,SL_HIT,0.0100000000000193,0.6551724137931598,0.1152709500073106,0.2199999999999988,191.084,0.1200000000000045,2.5359609001559207,1,0.0867521261808383,191.09822382431284,191.0239755680471,190.92241818454585,190.81834132354925,190.0745535424677,0.0867521261808383,0.0453715017368038,1.3505364518313951,0.0,1.0,0,0,1,1,1000,191.194,190.974,GBPJPY,False
2025-04-30_1630,1630,BREAKOUT,SELL,2025-04-30 16:45:00,2025-04-30 17:20:00,190.215,190.563,190.563,189.51900000000003,0.3479999999999847,-0.3479999999999847,-1.0,SL_HIT,0.0099999999999909,0.3727272727271976,0.0715269608685313,0.3379999999999938,190.394,-0.179000000000002,2.417611277358515,0,0.1398074219645819,190.43140441822231,190.60656180639737,190.80220827890116,190.8805442932518,190.11856480906087,0.1398074219645819,0.0734996829716804,1.2429654799727248,0.0,0.3333333333333333,0,0,0,1,1630,190.563,190.225,GBPJPY,False
2025-05-01_0300,300,BREAKOUT,SELL,2025-05-01 03:20:00,2025-05-01 04:50:00,190.424,190.522,190.522,190.22800000000004,0.0979999999999847,-0.0979999999999847,-1.0,SL_HIT,0.0089999999999861,0.125,0.1348245360863363,0.0889999999999986,190.4775,-0.0534999999999854,1.3332648568558043,0,0.0667534282797226,190.470299028956,190.49448376066204,190.51719858139728,190.6128143674009,190.1555969690753,0.0667534282797226,0.0350551549593132,0.9949767422048856,0.5,0.3333333333333333,0,1,0,1,300,190.522,190.433,GBPJPY,False
