Market,Status,Type,MaxFavorableR,MaxAdverseR,FirstMoveR,PostRetestDepthR,PreRetestDepthR,PreClosesBeyondEdge,BarsToHalfR,Risk,EntryTime
RUSS2000,SL_HIT,SELL,0.29411764705882876,0.8627450980392489,0.2843137254901655,0.8431372549020115,1.0,0.0,,5.099999999999909,2025-10-31 04:10:00
RUSS2000,SL_HIT,BUY,0.3292978208232299,0.375302663438255,0.10895883777239661,0.04358353510894103,0.6682808716706861,0.25,,20.65000000000009,2025-10-31 16:50:00
RUSS2000,TP_HIT,SELL,1.1627906976743694,1.0697674418605045,-0.1627906976743694,0.9302325581394956,0.953488372092856,0.1,4.0,2.150000000000091,2025-11-03 03:20:00
RUSS2000,SL_HIT,BUY,0.7647058823528939,0.3014705882353128,-0.11029411764705588,0.09558823529412847,0.7941176470588157,0.0,8.0,6.800000000000182,2025-11-03 10:40:00
RUSS2000,TP_HIT,SELL,0.28308207705191674,0.4472361809045293,0.21608040201004153,0.2428810720267977,0.8844221105527409,0.0,,29.850000000000364,2025-11-03 17:20:00
RUSS2000,SL_HIT,BUY,0.26234567901234124,0.8913580246913464,0.14814814814815128,0.8851851851851793,0.9938271604938329,0.3,,16.200000000000273,2025-11-07 16:50:00
RUSS2000,TP_HIT,BUY,0.6721311475411034,0.7704918032787277,0.34426229508205763,0.590163934426342,1.4590163934428428,0.0,1.0,3.049999999999727,2025-11-10 03:45:00
RUSS2000,TP_HIT,BUY,1.9473684210526316,0.05263157894736842,0.1999999999999617,0.0,1.0421052631578565,0.1,4.0,4.75,2025-11-10 10:35:00
RUSS2000,SL_HIT,SELL,1.349738219895249,1.0837696335078708,0.17801047120416605,0.8952879581151852,0.8115183246073144,0.0,3.0,9.550000000000182,2025-11-10 16:45:00
RUSS2000,SL_HIT,SELL,0.2558139534884459,1.2790697674418063,-0.7674418604651261,1.093023255813865,1.5348837209300408,0.0,,2.150000000000091,2025-11-11 04:00:00
