WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EntryOffsetRatio,ATR_Ratio_Entry,Trend_Score_Entry,Consolidation_Score_Entry,MaxRetestDepth,MaxMaeRatio,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2025-10-01_0300,0300,BREAKOUT,BUY,2025-10-01 04:45:00,2025-10-01 05:00:00,3865.95,3870.1859999999997,3863.832,3870.1859999999997,2.117999999999847,4.235999999999876,2.000000000000086,TP_HIT,0.8299999999999272,0.7333333333332727,0.4133781651773336,2.699999999999818,3863.77,2.1799999999998363,1.344724151781715,1,2.007846736761891,0.8074074074074011,1.0331851954684277,1.0,0.0,1.274787535410771,0.20774315391861736,3863.9742235830067,3863.03632154281,3861.9692984172116,3860.6668461624427,3860.033032009577,2.007846736761891,0.05535852846840196,1.0331851954684277,0.0,1.0,0,0,1,1,0300,3865.12,3862.42
2025-10-01_1000,1000,BREAKOUT,BUY,2025-10-01 10:20:00,2025-10-01 11:00:00,3868.44,3879.8160000000003,3862.752,3879.8160000000003,5.68800000000001,11.376000000000204,2.000000000000032,TP_HIT,1.3299999999999272,0.6153846153845514,0.39624352386343165,8.150000000000091,3863.035,5.4050000000002,2.428108811644497,1,3.356521734493563,0.6631901840490969,1.105836357657743,1.0,0.0,1.4328410689170317,0.1793248945147644,3863.7590759604573,3862.756376995511,3862.645695122014,3861.8401557803336,3860.343414674677,3.356521734493563,0.08316685676539053,1.105836357657743,0.0,1.0,0,0,1,1,1000,3867.11,3858.96
2025-10-01_1630,1630,BREAKOUT,BUY,2025-10-01 17:40:00,2025-10-01 17:45:00,3877.61,3877.07,3872.39,3888.0500000000006,5.220000000000163,-0.5399999999999636,-0.10344827586205876,FILTER_EXIT,0.6700000000000728,0.07011070110703027,0.15511947447243882,8.0300000000002,3872.925,4.684999999999945,1.8591184776322083,1,4.31925135305378,0.5834371108343498,0.8586010958810782,0.6666666666666666,0.0,3.967432950191454,4.09578544061292,3874.146516205932,3873.6917485475233,3876.0542808673517,3872.509335000976,3861.748910845668,4.31925135305378,0.10741834699863516,0.8586010958810782,0.0,0.6666666666666666,0,0,1,1,1630,3876.94,3868.91
2025-10-02_0300,0300,BREAKOUT,BUY,2025-10-02 04:30:00,2025-10-02 04:45:00,3863.79,3863.24,3859.992,3871.386,3.797999999999956,-0.5500000000001819,-0.1448130595050522,FILTER_EXIT,0.15999999999985448,0.22115384615387138,0.05297439456027384,6.170000000000073,3860.545,3.244999999999891,2.042825090232442,0,3.0203271095020776,0.5259319286871722,1.0716549294702435,0.6666666666666666,0.0,1.6245392311743403,0.34755134281205347,3860.465441214111,3860.228974005674,3861.496714568625,3866.165322445761,3861.974202617385,3.0203271095020776,0.07180841846734652,1.0716549294702435,0.0,0.6666666666666666,0,0,0,1,0300,3863.63,3857.46
2025-10-02_1000,1000,BREAKOUT,BUY,2025-10-02 11:45:00,2025-10-02 12:00:00,3875.26,3874.47,3868.276,3889.2280000000005,6.984000000000196,-0.7900000000004184,-0.11311569301265695,FILTER_EXIT,1.9600000000000364,0.6502890173410336,0.6215360499039948,9.680000000000291,3868.46,6.800000000000182,3.069627021974867,1,3.153477582358717,0.7024793388429729,0.9447941240410836,1.0,0.0,1.3860252004581928,0.2820733104238544,3870.659221061524,3869.3232771068124,3868.3101330765685,3867.001427669346,3862.341405958966,3.153477582358717,0.08044503589812645,0.9447941240410836,0.0,1.0,0,0,1,1,1000,3873.3,3863.62
2025-10-03_1000,1000,BREAKOUT,BUY,2025-10-03 10:35:00,2025-10-03 11:20:00,3862.03,3862.06,3858.952,3868.186,3.0780000000000656,0.02999999999974534,0.009746588693874172,FILTER_EXIT,1.2000000000002728,0.4702380952381194,0.47900082676981154,3.9299999999998363,3858.865,3.1650000000004184,1.5687277076707107,1,2.505214882597571,0.8053435114505216,0.8695003028869767,1.0,0.0,1.2768031189083018,0.6432748538011618,3860.5107856023183,3858.42639846786,3855.176892317516,3855.658790044146,3861.384131890765,2.505214882597571,0.06282822397914095,0.8695003028869767,0.0,1.0,0,0,1,1,1000,3860.83,3856.9
2025-10-03_1630,1630,BREAKOUT,BUY,2025-10-03 18:30:00,2025-10-03 18:35:00,3887.6,3885.54,3878.708,3905.3839999999996,8.891999999999825,-2.0599999999999454,-0.2316689158794406,FILTER_EXIT,0.25,0.3836633663365264,0.045852626611534435,14.569999999999709,3880.065,7.5349999999998545,2.6722910789201735,1,5.452250361097337,0.5171585449553882,0.9154265325897535,1.0,0.0,1.6385515069725591,0.2440395861448623,3881.4496616433266,3879.025942142818,3874.5891536422455,3864.494580339308,3862.274459817915,5.452250361097337,0.13564696231714798,0.9154265325897535,0.0,1.0,0,0,1,1,1630,3887.35,3872.78
2025-10-06_1630,1630,BREAKOUT,BUY,2025-10-06 17:05:00,2025-10-06 17:20:00,3945.56,3948.76,3934.538,3967.604,11.021999999999935,3.200000000000273,0.29032843404103537,FILTER_EXIT,0.6399999999998727,0.1276864728191813,0.11307329196060496,17.730000000000018,3936.0550000000003,9.504999999999654,3.1324835413467604,1,5.660045700472313,0.53609701071628,1.172937099651765,1.0,0.0,1.6086009798584762,0.08074759571764452,3941.117329803365,3938.4532771095965,3937.6260221047255,3924.3742562950233,3874.205268842775,5.660045700472313,0.15189375292293955,1.172937099651765,0.0,1.0,0,0,1,1,1630,3944.92,3927.19
2025-10-07_0300,0300,BREAKOUT,BUY,2025-10-07 03:20:00,2025-10-07 03:35:00,3973.36,3975.28,3969.286,3981.5080000000003,4.073999999999978,1.9200000000000728,0.4712812960235845,FILTER_EXIT,1.0199999999999818,0.64229765013057,0.2813640382775523,5.769999999999982,3969.455,3.9050000000002,1.5916377459426474,1,3.625196760197905,0.6767764298093956,0.903468300981026,1.0,0.0,1.4162984781541517,0.6529209621993922,3970.223791222916,3968.425685056657,3965.089609790289,3949.10564521001,3881.68192174909,3.625196760197905,0.08952897101968248,0.903468300981026,0.0,1.0,0,0,1,1,0300,3972.34,3966.57
2025-10-07_1000,1000,BREAKOUT,BUY,2025-10-07 12:15:00,2025-10-07 12:55:00,3958.78,3956.26,3953.3920000000003,3969.556,5.388000000000011,-2.519999999999982,-0.46770601336302464,FILTER_EXIT,2.6700000000000728,0.8485477178424051,0.8396912976834419,6.309999999999945,3952.955,5.825000000000273,1.984438984412857,1,3.1797399917876072,0.923137876386739,0.8328848648032161,0.6666666666666666,0.0,1.171121009651064,0.6755753526355457,3953.4294212408668,3952.6643646035263,3955.825955800943,3956.5049164783104,3888.450463417704,3.1797399917876072,0.0813735480325027,0.8328848648032161,0.0,0.6666666666666666,0,0,1,1,1000,3956.11,3949.8
