Market,Trades,BreakoutDistance_lose_above_win75_pct,BreakoutDistance_win_above_win75_pct,RangeAtrRatio_lose_above_win75_pct,RangeAtrRatio_win_above_win75_pct,EntryOffset_lose_above_win75_pct,EntryOffset_win_above_win75_pct,Trend_Score_lose_above_win75_pct,Trend_Score_win_above_win75_pct,Consolidation_Score_lose_above_win75_pct,Consolidation_Score_win_above_win75_pct,ATR_Ratio_lose_above_win75_pct,ATR_Ratio_win_above_win75_pct
EURJPY,489,22.884012539184955,24.705882352941178,25.391849529780565,25.294117647058822,26.332288401253916,25.294117647058822,0.0,0.0,15.360501567398119,14.705882352941178,23.824451410658305,25.294117647058822
GBPJPY,505,25.862068965517242,24.840764331210192,25.287356321839084,24.840764331210192,29.310344827586203,24.840764331210192,0.0,0.0,15.229885057471265,10.828025477707007,34.48275862068966,24.840764331210192
NDQ,102,40.0,24.324324324324326,18.461538461538463,24.324324324324326,20.0,24.324324324324326,0.0,0.0,16.923076923076923,24.324324324324326,23.076923076923077,24.324324324324326
RUSS2000,10,16.666666666666664,25.0,66.66666666666666,25.0,50.0,25.0,0.0,0.0,0.0,0.0,50.0,25.0
US500,394,22.426470588235293,25.40983606557377,19.852941176470587,25.40983606557377,27.573529411764707,25.40983606557377,0.0,0.0,0.3676470588235294,1.639344262295082,26.10294117647059,25.40983606557377
USDJPY,480,31.832797427652732,24.85207100591716,18.006430868167204,24.85207100591716,26.04501607717042,24.85207100591716,23.47266881028939,20.118343195266274,8.360128617363344,8.875739644970414,31.832797427652732,24.85207100591716
UT100,157,26.744186046511626,25.352112676056336,33.72093023255814,25.352112676056336,26.744186046511626,25.352112676056336,0.0,0.0,0.0,1.4084507042253522,25.581395348837212,25.352112676056336
XAUUSD,514,20.0,24.867724867724867,23.692307692307693,24.867724867724867,22.153846153846153,24.867724867724867,0.0,0.0,10.153846153846153,13.756613756613756,24.923076923076923,24.867724867724867
