Market,Trades,WinRate,BreakoutDistance_win_mean,BreakoutDistance_lose_mean,BreakoutDistance_delta,BreakoutDistance_win_p25,BreakoutDistance_win_p75,BreakoutDistance_lose_p25,BreakoutDistance_lose_p75,BreakoutBodyPct_win_mean,BreakoutBodyPct_lose_mean,BreakoutBodyPct_delta,BreakoutBodyPct_win_p25,BreakoutBodyPct_win_p75,BreakoutBodyPct_lose_p25,BreakoutBodyPct_lose_p75,BreakoutAtrMultiple_win_mean,BreakoutAtrMultiple_lose_mean,BreakoutAtrMultiple_delta,BreakoutAtrMultiple_win_p25,BreakoutAtrMultiple_win_p75,BreakoutAtrMultiple_lose_p25,BreakoutAtrMultiple_lose_p75,RangeWidth_win_mean,RangeWidth_lose_mean,RangeWidth_delta,RangeWidth_win_p25,RangeWidth_win_p75,RangeWidth_lose_p25,RangeWidth_lose_p75,EntryOffset_win_mean,EntryOffset_lose_mean,EntryOffset_delta,EntryOffset_win_p25,EntryOffset_win_p75,EntryOffset_lose_p25,EntryOffset_lose_p75,RangeAtrRatio_win_mean,RangeAtrRatio_lose_mean,RangeAtrRatio_delta,RangeAtrRatio_win_p25,RangeAtrRatio_win_p75,RangeAtrRatio_lose_p25,RangeAtrRatio_lose_p75,ATR_Ratio_win_mean,ATR_Ratio_lose_mean,ATR_Ratio_delta,ATR_Ratio_win_p25,ATR_Ratio_win_p75,ATR_Ratio_lose_p25,ATR_Ratio_lose_p75,Trend_Score_win_mean,Trend_Score_lose_mean,Trend_Score_delta,Trend_Score_win_p25,Trend_Score_win_p75,Trend_Score_lose_p25,Trend_Score_lose_p75,Consolidation_Score_win_mean,Consolidation_Score_lose_mean,Consolidation_Score_delta,Consolidation_Score_win_p25,Consolidation_Score_win_p75,Consolidation_Score_lose_p25,Consolidation_Score_lose_p75,PriceAboveEMA200_5M_win_mean,PriceAboveEMA200_5M_lose_mean,PriceAboveEMA200_5M_delta,PriceAboveEMA200_5M_win_p25,PriceAboveEMA200_5M_win_p75,PriceAboveEMA200_5M_lose_p25,PriceAboveEMA200_5M_lose_p75
EURJPY,489,0.3476482617586912,0.07710000000000046,0.06266457680250738,0.01443542319749308,0.0120000000000004,0.0709999999999979,0.0130000000000052,0.06350000000000475,0.6026980981992083,0.6120938430112359,-0.009395744812027651,0.426763071044007,0.7967545638943682,0.4493212254631773,0.7914792603697124,0.720897093702512,0.6324548861477525,0.08844220755475951,0.15220550086916548,0.6806002066558834,0.14552130923903084,0.6539465790510195,0.18572941176470512,0.19643573667711547,-0.010706324912410359,0.11824999999999618,0.22650000000000142,0.12950000000002143,0.2389999999999901,-0.027952941176469473,-0.005503134796238373,-0.0224498063802311,-0.12662500000000415,0.1228749999999934,-0.1295000000000072,0.1302500000000037,1.949328528462156,2.0296685443589415,-0.08034001589678552,1.483460124329425,2.3467325805693684,1.5421947448513178,2.3577398652863,1.140794444794368,1.1280660155346356,0.012728429259732499,1.0115275278051092,1.2402198143607692,0.9956785196056414,1.2321190260544705,0.5235294117647059,0.5830721003134797,-0.05954268854877376,0.3333333333333333,1.0,0.3333333333333333,1.0,0.07647058823529412,0.0768025078369906,-0.0003319196016964704,0.0,0.0,0.0,0.0,0.5588235294117647,0.5391849529780565,0.019638576433708255,0.0,1.0,0.0,1.0
GBPJPY,505,0.3108910891089109,0.08047133757961716,0.07952011494253082,0.0009512226370863436,0.0139999999999815,0.0860000000000127,0.0180000000000006,0.09049999999999866,0.6277337918385304,0.6374315783674317,-0.009697786528901298,0.4659685863874213,0.8073394495411624,0.5,0.8069220430107847,0.6514655295384607,0.610009220243658,0.04145630929480271,0.1544891227512161,0.7328882441312512,0.1757422816605892,0.6999925247404637,0.2326369426751596,0.25431321839080373,-0.021676275715644122,0.1550000000000011,0.2660000000000195,0.1577500000000142,0.3052500000000009,-0.008273885350321418,-0.011544540229885015,0.003270654879563597,-0.1595000000000084,0.1389999999999815,-0.164750000000005,0.1570000000000107,2.016935142068923,2.030329230928683,-0.0133940888597599,1.537024933591742,2.3758413080890453,1.5364242804956012,2.394509398943267,1.1133103290730912,1.1386415551168148,-0.02533122604372351,1.0017475810782297,1.194301149558427,1.0127526162586806,1.2365782282249014,0.5859872611464968,0.5076628352490421,0.0783244258974547,0.3333333333333333,1.0,0.0,1.0,0.05732484076433121,0.07614942528735633,-0.018824584523025115,0.0,0.0,0.0,0.0,0.5859872611464968,0.4827586206896552,0.1032286404568416,0.0,1.0,0.0,1.0
NDQ,102,0.3627450980392157,9.543027027027042,11.206907692307924,-1.6638806652808817,2.8699999999989814,11.287000000000262,2.5100000000020373,17.989999999997963,0.6975557516251999,0.7407565685624228,-0.043200816937222886,0.5970856102004064,0.9161947904868116,0.6433070866139988,0.9406007424907676,0.45010290689596266,0.4803198408167357,-0.030216933920773015,0.1284444219653661,0.5945954564221098,0.1405727241810344,0.7486567197518907,38.33775675675684,36.62963076923076,1.7081259875260812,21.9800000000032,45.43400000000111,20.56999999999971,48.0,-1.818635135135009,-8.154261538461567,6.3356264033265575,-21.289999999997235,21.229999999999563,-31.915000000000877,19.470000000001164,1.6794800910236485,1.5474297252880753,0.13205036573557316,1.2310184176406107,2.03165336846253,1.1085914315798786,1.7826982262185,0.9137787526959458,0.9200407877441255,-0.006262035048179682,0.7613584228319391,1.0601122344813376,0.7868985538026367,1.0289649103088239,0.8198198198198198,0.6974358974358974,0.12238392238392237,0.6666666666666666,1.0,0.3333333333333333,1.0,0.14864864864864866,0.1,0.04864864864864865,0.0,0.0,0.0,0.0,0.8108108108108109,0.676923076923077,0.1338877338877339,1.0,1.0,0.0,1.0
RUSS2000,10,0.4,2.150000000000091,1.775000000000091,0.375,0.48749999999984084,2.762500000000159,0.17499999999995447,1.7000000000001592,0.8220047216210149,0.6712309904918979,0.15077373112911696,0.7533444816052455,0.8914027149320904,0.6612103174603167,0.8488042794211119,0.6421182475855006,0.47958227499460165,0.16253597259089897,0.29382137825518306,0.9532121149254943,0.12485575161917817,0.7230454061556153,7.7999999999999545,8.300000000000031,-0.5000000000000764,2.3374999999999773,8.262499999999932,5.100000000000023,12.287499999999795,-3.550000000000182,2.7416666666666365,-6.291666666666819,-5.412500000000023,2.14999999999975,-2.2687499999999545,7.1375000000000455,2.233893980441455,2.4623371233553972,-0.2284431429139424,1.4514710858105908,2.355821684015843,1.8916945626628054,3.054932481368451,1.1210442102633422,1.5242337061862388,-0.40318949592289655,0.9108237972652953,1.2570736745289737,0.9693718170441576,2.030771683565818,0.6666666666666666,0.4444444444444444,0.2222222222222222,0.5,1.0,0.08333333333333333,0.6666666666666666,0.25,0.08333333333333333,0.16666666666666669,0.0,0.5,0.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0.75,1.0,0.25,1.0
US500,394,0.3096446700507614,3.923360655737709,4.064154411764715,-0.14079375602700583,0.75,4.635000000000218,0.7225000000005366,4.184999999999491,0.64540979873348,0.6283053504764781,0.01710444825700197,0.4975165562914491,0.8470976011720022,0.46983306836248706,0.8,0.7096545070337161,0.7904638530798287,-0.08080934604611256,0.2115047128864911,0.8300729449980527,0.22002486169636143,0.8490569181448276,13.307295081967226,12.309154411764696,0.9981406702025293,5.25,16.839999999999918,5.0,15.25,-1.0425819672130825,0.8928492647059209,-1.9354312319190035,-7.238750000000437,6.839999999999918,-6.5,7.492499999999836,2.328133546058346,2.245878396938381,0.08225514911996479,1.783568318594545,2.761839706662812,1.750956339871565,2.645340531706883,1.247973821523364,1.2719666185660394,-0.02399279704267543,0.963079472553461,1.4374170599974838,1.0287969233324927,1.4746926699626433,0.5573770491803278,0.5943627450980392,-0.03698569591771139,0.3333333333333333,1.0,0.3333333333333333,1.0,0.1598360655737705,0.11948529411764706,0.04035077145612344,0.0,0.5,0.0,0.0,0.5327868852459017,0.5992647058823529,-0.06647782063645125,0.0,1.0,0.0,1.0
USDJPY,480,0.35208333333333336,0.06643786982248555,0.08236012861736332,-0.01592225879487777,0.0169999999999959,0.0640000000000213,0.0169999999999959,0.0785000000000053,0.667728087652684,0.6504562320818265,0.01727185557085753,0.5333333333334912,0.8564593301435374,0.5,0.8203283527025282,0.6432494645971123,0.8039343475838907,-0.1606848829867784,0.1726777392455249,0.6389871401552082,0.18419224487308875,0.8118637770936155,0.20537278106508874,0.1987749196141484,0.006597861450940351,0.1270000000000095,0.2519999999999811,0.12699999999999528,0.22350000000001555,-0.007266272189349162,-0.010432475884245156,0.0031662036948959943,-0.1359999999999956,0.1290000000000191,-0.1312500000000085,0.1322499999999848,2.0904055628136367,2.0393761986441516,0.051029364169485,1.6037005716013308,2.558123610321222,1.5330596297374697,2.373321253542692,1.1127435293366719,1.1503894346999515,-0.03764590536327961,0.9775409820679942,1.195005351543455,1.0015849052245236,1.230588176270024,0.4635108481262327,0.4683815648445873,-0.004870716718354595,0.0,0.6666666666666666,0.0,0.6666666666666666,0.04437869822485207,0.04180064308681672,0.0025780551380353497,0.0,0.0,0.0,0.0,0.46153846153846156,0.5273311897106109,-0.06579272817214932,0.0,1.0,0.0,1.0
UT100,157,0.45222929936305734,13.593239436619806,19.790697674418773,-6.197458237798967,2.100000000000364,18.56499999999869,3.5924999999997453,20.590000000001965,0.6330320488936548,0.6065743064813216,0.02645774241233323,0.4613559923475703,0.822785788085145,0.42760005371980175,0.8006806579695711,0.6711886087416449,0.825759097294738,-0.15457048855309308,0.14736172939866204,0.7382240765285626,0.2119375596397818,0.9330724834380625,49.335492957746425,55.73848837209275,-6.402995414346329,21.125,76.31500000000051,19.37250000000131,78.55999999999858,2.601267605633631,0.41959302325550785,2.1816745823781227,-22.217500000002474,29.25500000000102,-35.092500000000655,33.681250000000546,2.333640849997242,2.520455260156787,-0.18681441015954503,1.8453689939876199,2.786002020570306,1.9560397561059775,2.9549034348328043,1.3257281180538205,1.323897349234456,0.0018307688193646143,1.0652008906863388,1.5765266221989171,1.0080092863218977,1.5787552835766632,0.6431924882629108,0.6240310077519379,0.019161480510972884,0.3333333333333333,1.0,0.3333333333333333,1.0,0.14084507042253522,0.12209302325581395,0.01875204716672127,0.0,0.5,0.0,0.0,0.6056338028169014,0.5697674418604651,0.03586636095643625,0.0,1.0,0.0,1.0
XAUUSD,514,0.36770428015564205,2.467989417989439,2.4670153846153826,0.0009740333740562157,0.3600000000001273,3.1200000000003456,0.5700000000001637,2.519999999999982,0.6117705131552961,0.637641530837978,-0.025871017682681963,0.452261306532648,0.8274999999999864,0.4689655172411782,0.8241206030149134,0.683048145103263,0.6677402200365228,0.015307925066740169,0.157238547533921,0.8019592319368173,0.19716442083455,0.7234624959086716,7.634550264550266,7.298184615384618,0.33636564916564815,4.200000000000273,8.710000000000036,3.970000000000255,8.679999999999836,0.47605820105820057,0.5468461538461508,-0.07078795278795019,-3.730000000000018,5.300000000000182,-4.235000000000127,4.894999999999982,2.1342088143915015,2.0475034098147953,0.08670540457670617,1.6718187249217449,2.443457595166456,1.5297246652106764,2.373818614378787,1.156203037226422,1.1496445525655319,0.0065584846608901515,1.0100133216245046,1.2500879348261704,0.997792068141196,1.246175084683519,0.6261022927689595,0.6102564102564102,0.01584588251254926,0.3333333333333333,1.0,0.3333333333333333,1.0,0.07142857142857142,0.05076923076923077,0.020659340659340657,0.0,0.0,0.0,0.0,0.5925925925925926,0.6,-0.007407407407407418,0.0,1.0,0.0,1.0
