WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow
2025-04-30_0300,0300,BREAKOUT,BUY,2025-04-30 03:50:00,2025-04-30 23:30:00,142.495,143.15700000000004,142.164,143.15700000000004,0.3310000000000173,0.6620000000000346,2.0,TP_HIT,0.16499999999999204,0.8564593301435374,1.9984241078885203,0.16600000000002524,142.247,0.24799999999999045,2.0105357691488535,1,0.08256505681085206,142.31970794536974,142.28548252545474,142.26952114441008,142.31512834056662,142.72374468845095,0.08256505681085206,0.05794242381195976,1.354880587807723,0.0,0.6666666666666666,0,0,1,0,0300,142.33,142.164
2025-05-01_0300,0300,BREAKOUT,SELL,2025-05-01 03:15:00,2025-05-01 04:00:00,142.929,143.028,143.028,142.73100000000002,0.09899999999998954,-0.09899999999998954,-1.0,SL_HIT,0.014000000000010004,0.46250000000000446,0.24606485526681215,0.08499999999997954,142.9855,-0.05649999999999977,1.4939651926899322,1,0.056895569197923754,142.98270619052525,142.99417476901465,142.97782683447048,142.8436564317132,142.73723000208054,0.056895569197923754,0.039806875580129825,1.1255550791447668,0.5,0.6666666666666666,0,1,1,1,0300,143.028,142.943
2025-05-01_1000,1000,BREAKOUT,SELL,2025-05-01 10:30:00,2025-05-01 15:50:00,144.494,144.735,144.735,144.01199999999997,0.24100000000001387,-0.24100000000001387,-1.0,SL_HIT,0.02199999999999136,0.6693548387096904,0.18042364752329915,0.2190000000000225,144.6255,-0.1314999999999884,1.7960354003464587,1,0.12193523577418183,144.5354859837725,144.39101960589224,144.08319340258305,143.39168576938656,142.81166500081005,0.12193523577418183,0.08438775020013414,1.0933391819039373,0.0,1.0,0,0,1,1,1000,144.735,144.516
2025-05-01_1630,1630,BREAKOUT,BUY,2025-05-01 16:45:00,2025-05-01 16:55:00,144.75,144.589,144.589,145.072,0.16100000000000136,-0.16100000000000136,-1.0,SL_HIT,0.04400000000001114,0.7062146892655666,0.39457311349884955,0.11699999999999022,144.64749999999998,0.10250000000002046,1.049205779076133,1,0.11151291989929119,144.65071646278898,144.58443778416688,144.46773209926462,143.92764274645828,142.9057382640284,0.11151291989929119,0.07703828663163467,0.9335638879442021,0.0,1.0,0,0,1,1,1630,144.706,144.589
2025-05-02_0300,0300,BREAKOUT,BUY,2025-05-02 03:15:00,2025-05-02 05:20:00,145.665,145.316,145.316,146.36299999999997,0.34899999999998954,-0.34899999999998954,-1.0,SL_HIT,0.09399999999999409,0.7625899280574598,1.1125533171654003,0.25499999999999545,145.4435,0.22149999999999181,3.0180967646509558,1,0.08449033277748015,145.5215810750225,145.46850206766186,145.43275915716598,145.00457171843993,143.17198094287727,0.08449033277748015,0.05800318043282886,1.4139776906589596,0.0,1.0,0,0,1,1,0300,145.571,145.316
2025-05-02_1000,1000,BREAKOUT,SELL,2025-05-02 11:40:00,2025-05-02 12:45:00,144.99,144.48400000000004,145.243,144.48400000000004,0.2529999999999859,0.5059999999999718,2.0,TP_HIT,0.042999999999977945,0.7904761904762524,0.5494973646179291,0.21000000000000796,145.13799999999998,-0.1479999999999677,2.68359178069369,0,0.07825333253395358,145.07875827503534,145.11613769236865,145.18245262336157,145.1812926614858,143.33009689132226,0.07825333253395358,0.05397153771567252,0.8288866851217527,0.0,0.3333333333333333,0,0,0,1,1000,145.243,145.033
2025-05-02_1630,1630,BREAKOUT,BUY,2025-05-02 18:15:00,2025-05-05 15:25:00,144.219,143.721,143.721,145.21499999999997,0.49799999999999045,-0.49799999999999045,-1.0,SL_HIT,0.031999999999982265,0.8679245283017856,0.25563343297030017,0.4660000000000082,143.954,0.26499999999998636,3.722661867632125,0,0.12517924446799597,144.10101964822206,144.10352714742464,144.26295552970444,144.74205892557933,143.4020002874429,0.12517924446799597,0.08679802555002876,0.8066074873593136,0.5,0.3333333333333333,0,1,0,1,1630,144.187,143.721
2025-05-05_1630,1630,BREAKOUT,SELL,2025-05-05 16:50:00,2025-05-05 17:00:00,143.563,143.724,143.724,143.24099999999999,0.16100000000000136,-0.16100000000000136,-1.0,SL_HIT,0.043000000000006366,0.6161616161617525,0.5768398020550007,0.117999999999995,143.665,-0.10200000000000387,1.5829557358715611,0,0.07454409325919986,143.62989402359688,143.67986867910562,143.78776233794719,144.14146640462832,143.59171983633007,0.07454409325919986,0.051924307279173514,1.0337268832959179,0.0,0.0,0,0,0,0,1630,143.724,143.606
2025-05-06_0300,0300,BREAKOUT,BUY,2025-05-06 03:15:00,2025-05-06 04:30:00,143.867,144.23499999999999,143.683,144.23499999999999,0.1839999999999975,0.367999999999995,2.0,TP_HIT,0.08499999999997954,0.8898305084745273,1.2750128994016972,0.09900000000001796,143.73250000000002,0.1344999999999743,1.4850150240096625,0,0.06666599219495425,143.72935511250685,143.70850798875531,143.7339470465861,143.90624768501283,143.6192926642229,0.06666599219495425,0.046338626783733766,1.465254329799108,0.0,0.6666666666666666,0,0,0,1,0300,143.782,143.683
2025-05-06_1000,1000,BREAKOUT,SELL,2025-05-06 10:25:00,2025-05-06 14:30:00,143.423,142.83100000000002,143.719,142.83100000000002,0.29599999999999227,0.5919999999999845,2.0,TP_HIT,0.14599999999998658,0.8418367346938458,1.4231058929220326,0.15000000000000568,143.644,-0.22100000000000364,1.4620950954680314,0,0.1025925060996044,143.62325593981996,143.6932472922999,143.7414052632239,143.8397061607557,143.626640997504,0.1025925060996044,0.07153141832175063,1.5422636552982787,0.0,0.0,0,0,0,0,1000,143.719,143.569
