WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EntryOffsetRatio,ATR_Ratio_Entry,Trend_Score_Entry,Consolidation_Score_Entry,MaxRetestDepth,MaxMaeRatio,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,ML_Probability,AI_Approved
2025-10-01_1000,1000,BREAKOUT,BUY,2025-10-01 10:20:00,2025-10-01 11:00:00,3868.44,3879.8160000000003,3862.752,3879.8160000000003,5.68800000000001,11.376000000000204,2.000000000000032,TP_HIT,1.3299999999999272,0.6153846153845514,0.39624352386343165,8.150000000000091,3863.035,5.4050000000002,2.428108811644497,1,3.356521734493563,0.6631901840490969,1.105836357657743,1.0,0.0,1.4328410689170317,0.1793248945147644,3863.7590759604573,3862.756376995511,3862.645695122014,3861.8401557803336,3860.343414674677,3.356521734493563,0.08316685676539053,1.105836357657743,0.0,1.0,0,0,1,1,1000,3867.11,3858.96,0.8108143958515991,True
2025-10-15_0300,0300,BREAKOUT,BUY,2025-10-15 05:40:00,2025-10-15 06:15:00,4170.51,4185.474,4163.028,4185.474,7.482000000000152,14.963999999999942,1.9999999999999516,TP_HIT,0.9400000000005093,0.2116788321167552,0.1603147313564281,11.529999999999745,4163.805,6.704999999999927,1.9664136729133763,1,5.863466145918962,0.58152645273201,1.0265167449604562,1.0,0.0,1.5410318096764917,0.31007751937992134,4176.582089347888,4176.01972272821,4169.32896251911,4149.041640557401,4018.2385464940307,5.863466145918962,0.136137196499359,1.0265167449604562,0.0,0.6666666666666666,0,0,1,1,0300,4169.57,4158.04,0.7104302359816324,True
2025-10-28_1630,1630,BREAKOUT,BUY,2025-10-28 16:55:00,2025-10-28 18:10:00,3934.04,3957.092,3922.514,3957.092,11.526000000000021,23.052000000000135,2.000000000000008,TP_HIT,0.6999999999998181,0.5545774647887644,0.08899788547427205,18.51000000000022,3924.085,9.954999999999927,2.353358371613176,0,7.865355410069575,0.5378173960021507,1.2409770490024377,0.6666666666666666,0.0,1.6059344091619108,0.0,3927.7367695306007,3925.0088813564125,3923.3221329252387,3952.741962052567,4095.6038410343,7.865355410069575,0.20258272266509086,1.2409770490024377,0.0,0.6666666666666666,0,0,0,0,1630,3933.34,3914.83,0.8486345155315648,True
