retest_depth,completed,wins,losses,win_rate,avg_r,pnl,filter_exits
0.8,0,0,0,0.0,0.0,0.0,352
1.0,0,0,0,0.0,0.0,0.0,352
1.2,11,11,0,100.0,1.9999999999999927,2.7527999999999793,341
1.4,34,34,0,100.0,2.0000000000000058,9.372000000000043,318
1.6,56,56,0,100.0,2.0000000000000133,14.026800000000065,296
1.8,70,70,0,100.0,2.0000000000000058,17.760000000000048,281
2.0,70,70,0,100.0,2.0000000000000058,17.760000000000048,281
