Market,Status,Type,MaxFavorableR,MaxAdverseR,FirstMoveR,PostRetestDepthR,PreRetestDepthR,PreClosesBeyondEdge,BarsToHalfR,Risk,EntryTime
USDJPY,TP_HIT,BUY,2.0946745562133118,0.6272189349112746,0.07692307692311574,0.34319526627218144,2.118343195266345,0.8,4.0,0.1689999999999827,2024-10-29 16:45:00
USDJPY,SL_HIT,SELL,0.2228915662649303,1.4698795180723163,0.018072289156541934,0.891566265060235,0.6746987951807044,0.5,,0.1659999999999968,2024-10-30 03:20:00
USDJPY,SL_HIT,SELL,1.2580645161291286,0.23790322580645074,0.22983870967737965,0.06854838709676035,0.9032258064516057,0.0,5.0,0.2479999999999904,2024-10-30 10:15:00
USDJPY,SL_HIT,BUY,0.20765027322392413,1.4207650273223462,-0.09836065573769731,1.0163934426228722,2.2240437158467965,0.0,,0.1830000000000211,2024-10-30 17:00:00
USDJPY,SL_HIT,SELL,3.2045454545453467,1.4545454545454546,-0.15909090909080142,1.3560606060605702,1.0606060606059171,0.1,4.0,0.132000000000005,2024-10-31 04:20:00
USDJPY,SL_HIT,SELL,1.037267080745343,2.7763975155279446,0.04968944099384914,2.677018633540423,5.1055900621117765,0.0,2.0,0.1610000000000013,2024-10-31 10:15:00
USDJPY,TP_HIT,SELL,1.9999999999997318,0.41509433962271236,0.6132075471697392,0.1839622641510022,2.3396226415092847,0.0,1.0,0.2120000000000175,2024-10-31 17:15:00
USDJPY,SL_HIT,BUY,0.07119741100330083,0.6504854368931878,-0.019417475728156233,0.07119741100330083,0.7087378640777485,0.1,,0.3089999999999975,2024-11-01 03:35:00
USDJPY,SL_HIT,BUY,0.292096219931302,0.6254295532645703,-0.13402061855665875,0.4742268041236368,2.8144329896907125,0.0,,0.2909999999999968,2024-11-01 17:00:00
USDJPY,SL_HIT,SELL,0.8275862068965713,0.6502463054187345,-0.07881773399010297,0.3546798029556734,1.9556650246304714,0.0,5.0,0.2030000000000029,2024-11-04 03:20:00
USDJPY,TP_HIT,SELL,0.4423963133639148,0.6221198156682548,-0.08755760368665588,0.42857142857148484,1.0691244239630668,0.0,,0.2170000000000129,2024-11-04 10:25:00
USDJPY,SL_HIT,SELL,0.10655737704910685,1.7663934426230006,-0.25819672131154375,1.4426229508196897,1.053278688524612,0.25,,0.2439999999999997,2024-11-04 17:05:00
USDJPY,SL_HIT,SELL,0.49468085106380427,0.8031914893618086,-0.515957446808588,0.712765957446931,0.9095744680851229,0.3,,0.1879999999999881,2024-11-05 03:40:00
USDJPY,TP_HIT,SELL,0.7117647058824601,0.39411764705872815,0.07058823529412551,0.28235294117633486,0.9176470588234645,0.15,11.0,0.1699999999999875,2024-11-05 10:40:00
USDJPY,SL_HIT,BUY,0.6397058823528144,0.8823529411764398,-0.09558823529414914,0.26102941176467936,0.3786764705882395,0.65,,0.2720000000000198,2024-11-05 17:00:00
USDJPY,TP_HIT,BUY,2.5448430493271834,0.6053811659192696,0.1973094170403333,0.4215246636770786,2.25112107623303,0.0,4.0,0.4460000000000264,2024-11-06 04:05:00
USDJPY,SL_HIT,SELL,0.5668202764976923,0.3133640552996171,0.12442396313371963,0.25806451612910414,0.9447004608294872,0.35,1.0,0.2169999999999845,2024-11-06 10:50:00
USDJPY,TP_HIT,SELL,3.02439024390279,0.4308943089431009,0.5284552845528683,0.13821138211379866,0.7073170731706983,0.7,1.0,0.1229999999999904,2024-11-06 16:50:00
USDJPY,SL_HIT,BUY,0.14400000000000546,1.1599999999999682,-0.20799999999997,0.9519999999999982,1.4480000000000928,0.3,,0.25,2024-11-07 03:30:00
USDJPY,SL_HIT,SELL,0.4078212290503167,1.3463687150838615,0.07821229050284832,1.20111731843576,0.9385474860335447,0.55,,0.179000000000002,2024-11-07 10:15:00
USDJPY,TP_HIT,SELL,1.0517799352751447,0.3883495145630327,0.2265372168285507,0.16504854368928198,1.7087378640776565,0.0,8.0,0.3089999999999975,2024-11-07 16:45:00
USDJPY,TP_HIT,SELL,1.4438775510205026,0.7040816326529504,0.2142857142857247,0.6428571428570291,1.7091836734693018,0.0,5.0,0.1959999999999979,2024-11-08 10:25:00
USDJPY,SL_HIT,BUY,0.5911949685534524,1.943396226415179,0.1320754716982144,1.691823899371191,2.0314465408806552,0.6,3.0,0.1589999999999918,2024-11-08 16:45:00
USDJPY,TP_HIT,BUY,1.833333333333162,0.42753623188402373,0.057971014492822284,0.31159420289858514,2.115942028985439,0.0,9.0,0.1380000000000052,2024-11-11 03:40:00
USDJPY,SL_HIT,BUY,0.2099999999999901,0.6649999999999924,0.08999999999999576,0.4999999999999291,2.3249999999998194,0.0,,0.200000000000017,2024-11-11 10:15:00
USDJPY,SL_HIT,BUY,0.4944444444444182,0.5166666666667457,0.1833333333332544,0.13888888888891524,0.811111111111006,0.5,,0.1800000000000068,2024-11-11 16:45:00
USDJPY,SL_HIT,BUY,0.6666666666668148,0.7291666666666762,0.11979166666665976,0.5364583333332895,2.244791666666827,0.0,8.0,0.1919999999999788,2024-11-12 03:25:00
USDJPY,TP_HIT,BUY,0.5438596491227693,0.4444444444444261,0.04678362573088725,0.263157894736781,1.0760233918128999,0.1,9.0,0.1709999999999922,2024-11-12 10:15:00
USDJPY,TP_HIT,BUY,1.1296296296295862,0.3796296296295859,-0.0046296296296515615,0.2731481481481263,0.9398148148147932,0.0,9.0,0.2160000000000081,2024-11-12 17:50:00
USDJPY,SL_HIT,BUY,0.04761904761888192,2.4897959183671077,-0.7891156462584921,2.2312925170065236,1.7959183673467662,0.0,,0.1470000000000197,2024-11-13 10:25:00
