Market,Trades,WinRate,W_MaxFavR_mean,L_MaxFavR_mean,W_MaxAdvR_mean,L_MaxAdvR_mean,W_FirstMoveR_mean,L_FirstMoveR_mean,W_PostRetestR_mean,L_PostRetestR_mean,W_PreRetestR_mean,L_PreRetestR_mean,W_BarsToHalf_median,L_BarsToHalf_median,L_PreClosesBeyond_mean,W_PreClosesBeyond_mean
EURJPY,489,0.3476482617586912,1.3001780302805,0.5702075477619629,0.47420818215573607,1.0398998681381584,0.10951084129936102,-0.006372299820306466,0.31630671315775527,0.8707054637722644,1.3265779069269468,1.3795953457460712,3.0,3.0,0.17586206896551723,0.18411764705882352
GBPJPY,505,0.3108910891089109,1.2481978234768762,0.5612270033538324,0.5337834536510899,0.9585197877222491,0.08747298235754472,-0.06154622843941969,0.36371338627669886,0.7843369496814018,1.3272599320732408,1.3418461589230526,3.0,4.0,0.1682471264367816,0.1837579617834395
NDQ,102,0.3627450980392157,1.4506686545510759,0.5644295979206062,0.532815967182341,1.619611788920577,0.016249196734525826,-0.1409806002894525,0.33333454343424945,1.388586499063841,2.1181459595291625,1.795814869004554,3.5,5.0,0.2579161043634728,0.1929356213798938
RUSS2000,10,0.4,1.0163430858300053,0.5426698671051647,0.5850317512477825,0.79895262922564,0.14938799985442286,-0.026384132582883763,0.4408193911481588,0.6426342374032185,1.084758034811574,0.9671046207934483,4.0,5.5,0.09166666666666667,0.05
US500,394,0.3096446700507614,1.074496073850886,0.5378240435121452,0.5000391990285785,0.9194658079516068,0.048293339988725675,-0.016542428849021122,0.3219146202415077,0.7341268706674393,1.1469406005973413,1.135216278713666,4.0,4.0,0.1652573529411765,0.15122950819672126
USDJPY,480,0.35208333333333336,1.1659150227408361,0.5570790578128253,0.4959886237417569,0.9734309834016832,0.11114579989651378,-0.03847825341938568,0.32974562296945303,0.7742985790808309,1.3678699148898639,1.3154278575693883,4.0,3.0,0.19991961414790999,0.21331360946745564
UT100,157,0.45222929936305734,1.0419223148516217,0.5177331295381319,0.49351020890827835,0.7074691916948415,0.10715359307295177,-0.01042150101697504,0.3412665369992776,0.5316669025832393,1.1114023436933451,1.0952785266980274,3.0,4.0,0.138953488372093,0.14154929577464787
XAUUSD,514,0.36770428015564205,1.3435319916396586,0.5371359774802145,0.5145744889505965,1.0442253978039442,0.09160193035077326,-0.025349434759231577,0.336547296888155,0.849085296020309,1.2828723120238728,1.3153618621327479,3.0,3.0,0.16676923076923078,0.1611111111111111
