Threshold,SelectedTrades,WinRate,TotalPnL,AvgPnL
0.4,567,50.44091710758377,1066.5849999999955,1.8811022927689516
0.5,298,51.006711409395976,610.722499999993,2.049404362416084
0.6,0,,,
0.7,0,,,
